ref_info,seanuts_id2,species_name,nutrient,concentration,subgroup,abs_lat,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,max_length,length_from_study,commonlength,commonlengthf,commonlengthref,lengthfemale,maxlengthref,length_source_1,mean_length,tl,food_item_id_2,feedingtyperef,feeding_habit,demerspelag,brackishwater,brack,marine,fresh,trophic_level,diettroph,dietsetroph,foodsetroph,isotroph,isosetroph,ecotroph,ecosetroph,weight,weightfemale,maxweightref,weight_from_study
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1574,Aequipecten opercularis,prot_g,10.6,mollusc,NA,NaN,11.0,NaN,NA,mainly plants/detritus (troph. 2-2.19),NA,11.0,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1534,Alosa sapidissima,prot_g,18.8,finfish,NA,74.25,62.0,3.609999895,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NaN,NA,50.0,NA,188,61.7,6885,NA,76.0,NA,NA,188,NA,pelagic-neritic,NA,-1,NA,-1,3.609999895,3.48,0.32,0.56,NA,NA,NA,NA,5500.0,NA,7251,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1534,Alosa sapidissima,prot_g,18.8,finfish,NA,74.25,62.0,3.609999895,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NaN,NA,50.0,NA,188,61.7,6885,NA,76.0,NA,NA,188,NA,pelagic-neritic,0,-1,1,-1,3.609999895,NA,NA,NA,NA,NA,NA,NA,5500.0,NA,7251,NA
"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",311,Anabas testudineus,prot_g,19.63,finfish,22.816667,25.0,25.0,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),potamodromous,25.0,NA,12.5,NA,2686,NA,4833,NA,25.0,2.7,900180,12975,NA,demersal,NA,-1,NA,-1,2.76,2.98,0.37,0.32,NA,NA,NA,NA,NA,NA,NA,NA
"Oku T. Sugawara A., Choudhury M., Komatsu M., Yamada S., Ando S. (2009). Lipid and fatty acid compositions differntiate between wild and cultured Japanese eel (Anguilla japonica). Food Chemistry 115: 436-440",323,Anguilla japonica,prot_g,19.0,finfish,31.596553,150.0,150.0,3.55,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),catadromous,150.0,NA,40.0,NA,35840,NA,9828,NA,150.0,3.6,900691,5258,NA,demersal,NA,-1,NA,-1,3.55,NA,NA,0.51,NA,NA,NA,NA,1889.0,NA,82795,NA
"Oku T. Sugawara A., Choudhury M., Komatsu M., Yamada S., Ando S. (2009). Lipid and fatty acid compositions differntiate between wild and cultured Japanese eel (Anguilla japonica). Food Chemistry 115: 436-440",323,Anguilla japonica,prot_g,19.0,finfish,31.596553,150.0,150.0,3.55,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),catadromous,150.0,NA,40.0,NA,35840,NA,9828,NA,150.0,3.6,900691,5258,NA,demersal,NA,-1,NA,-1,3.55,NA,NA,0.51,NA,NA,NA,NA,1889.0,NA,82795,NA
"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76",324,Anguilla rostrata,prot_g,19.1,finfish,35.131275,152.0,152.0,3.62,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),catadromous,152.0,43.0,50.0,NA,3242,122.0,26938,NA,152.0,3.7,900091,NA,NA,demersal,NA,-1,NA,-1,3.62,3.83,0.216,0.54,NA,NA,NA,NA,7330.0,NA,4699,NA
"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76",324,Anguilla rostrata,prot_g,19.1,finfish,35.131275,152.0,152.0,3.62,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),catadromous,152.0,43.0,50.0,NA,3242,122.0,26938,NA,152.0,3.7,900091,NA,NA,demersal,NA,-1,NA,-1,3.62,3.83,0.216,0.54,NA,NA,NA,NA,7330.0,NA,4699,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1528,Anoplopoma fimbria,prot_g,13.8,finfish,NA,117.25,98.0,4.11,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NaN,NA,80.0,NA,9988,NA,9988,NA,120.0,NA,NA,42024,NA,bathydemersal,NA,0,NA,0,4.11,3.84,0.205,0.88,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1635,Apostichopus californicus,prot_g,10.6,mollusc,NA,7.5,NaN,NaN,NA,plants/detritus+animals (troph. 2.2-2.79),NA,NaN,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1575,Argopecten irradians,prot_g,15.9,mollusc,NA,7.5,7.5,NaN,NA,filtering plankton,NA,7.5,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",342,Aristeus antennatus,prot_g,21.4,crustacean,37.017954,6.0,6.0,NaN,NA,NA,NA,6.0,3.5,NA,NA,NA,NA,NA,NA,6.0,3.29,901191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",343,Aristeus antennatus,prot_g,22.0,crustacean,37.017954,6.0,6.0,NaN,NA,NA,NA,6.0,3.5,NA,NA,NA,NA,NA,NA,6.0,3.29,901192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
