page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",meat,raw (Alaska Native),88,NA,0.99,0.29,18.9,6.1,NA,1.82,NA,33,NA,NA
6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,not specified,raw (Alaska Native),88,7,0.54,0.56,20.7,3.67,NA,0.77,0.03,26,0.17,NA
6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,not specified,raw (Alaska Native),88,5,0.41,0.55,22.6,5.57,NA,2.41,NA,28,0.491,NA
6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,meat,raw (Alaska Native),88,7,0.52,0.53,21.9,7.28,NA,1.37,0.014,27,0.33,NA
6446,Fish,Searun Fish,Chinook Salmon,Oncorhynchus tshawytscha,not specified,raw (Alaska Native),88,42,0.52,0.79,20.2,11.7,NA,1.6,NA,24,0.44,NA
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",meat,raw,88,43,0.66,1.5,20.8,6.61,NA,1.499,0.851,22,0.202,NA
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",meat,raw,36,11.6,0.514,0.441,19.5,2.73,NA,NA,0.03,26.27,NA,NA
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",meat,raw,40,NA,NA,NA,21.3,5.7,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",meat,raw,53,38,0.4,0.4,19,3,NA,NA,0.01,26,0.2,NA
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",meat,raw,62,43,0.66,1.5,20.8,6.6,NA,2.33,0.851,22,NA,NA
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",liver,raw,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,flesh,raw,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,flesh,raw,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,23,NA,NA,NA,NA,9.7,NA,3.4,NA,NA,0.5,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,82,NA,0.44,0.75,20.5,2.7,NA,NA,NA,30,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,24,7,0.4,0.5,21,3.9,NA,NA,0.01,27,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,20,NA,NA,NA,NA,3.9,NA,NA,NA,NA,0.1,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,60,NA,NA,NA,22.4,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,43,4,0.4,0.2,12,1.4,0.6,1,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,32,NA,NA,NA,22.4,2.1,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,meat,raw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,2,6.1,0.4,0.3,20.9,1.4,NA,NA,NA,20.8,0.072,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,27,NA,0.21,0.478,NA,NA,NA,NA,0.026,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,offal,raw,27,NA,NA,NA,15.6,18.1,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,liver,raw,43,8.7,8.2,6,9.7,2.2,0.92,1.2,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,eggs,raw,43,41.2,4.3,0.4,19.6,2.6,2.4,3.3,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,fillet,raw,56,NA,NA,NA,18.6,7.2,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,fillet,raw,79,44,0.7,0.7,18.1,9.4,1.4,2.6,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,whole,raw,73,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,11,54,NA,NA,24.4,1.5,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,33,54,NA,NA,24.4,1.5,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,23,NA,NA,NA,NA,3.4,NA,1.2,NA,NA,0.1,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,82,127,0.48,0.4,18.4,6.7,NA,2.02,0.02,25,0.32,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,8,NA,NA,NA,20,4.6,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,13,67,1.09,1.9,20.5,3.36,NA,1.2,0.7,31,0.138,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,63,67,1.08,0.7,20.5,3.46,NA,1.24,0.158,31,0.167,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.377,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,meat,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,liver,raw,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,liver,raw,33,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,29,NA,NA,NA,13.7,2.1,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,27,32,1.28,2.37,20.7,6.8,NA,NA,0.21,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,muscle,raw,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,whole,raw,27,NA,11.8,3.392,18.9,9.3,NA,NA,0.77,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,roe,raw,27,NA,NA,NA,27.8,9,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Rainbow Trout,Oncorhynchus mykiss,roe,raw,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459,NA
