sample,FD,region,sample_size
1,3.6771175947269263,global,40
2,3.7305969860728947,global,40
3,3.9835336193576456,global,40
4,2.878033279767024,global,40
5,4.2160080591635785,global,40
6,3.1890402056678577,global,40
7,3.243462451494594,global,40
8,2.8752995970651773,global,40
9,3.5936331853121417,global,40
10,4.5521573048156565,global,40
11,3.102370963509709,global,40
12,4.13881391865632,global,40
13,3.966656777765203,global,40
14,5.139234033148365,global,40
15,3.761469425280485,global,40
16,4.8202041097175234,global,40
17,3.5947481700476045,global,40
18,2.926733928926032,global,40
19,3.1541223098719615,global,40
20,4.2020640051505875,global,40
21,3.1576638085468103,global,40
22,3.6005633236844665,global,40
23,3.614053429193442,global,40
24,3.3295015258028386,global,40
25,3.5312225635477974,global,40
26,4.63845687698114,global,40
27,4.020746836679854,global,40
28,3.0829493857004286,global,40
29,3.8901418764211915,global,40
30,3.25364736230617,global,40
31,3.6507753929944857,global,40
32,4.179107104828858,global,40
33,3.1917852287769737,global,40
34,3.7768094228646762,global,40
35,2.9686922075735875,global,40
36,3.6268125180143023,global,40
37,3.699273779438604,global,40
38,3.880585785210827,global,40
39,3.4270359481435477,global,40
40,3.7289432736692874,global,40
41,2.970197777526418,global,40
42,3.737263486574011,global,40
43,3.4549539727346814,global,40
44,3.4655591305247535,global,40
45,3.581600933179371,global,40
46,2.9768107025517487,global,40
47,3.3647359833651223,global,40
48,3.6410762345486387,global,40
49,4.0936408133459,global,40
50,3.539970688509743,global,40
51,3.8565825154757856,global,40
52,4.032539226714326,global,40
53,2.858638124248632,global,40
54,3.9071741690080968,global,40
55,3.187156486852449,global,40
56,3.512788904258277,global,40
57,3.3462985546602897,global,40
58,3.1333313390487083,global,40
59,3.4054675043511002,global,40
60,3.07096678983582,global,40
61,3.6479611251899784,global,40
62,3.8108514100496946,global,40
63,5.104897085941299,global,40
64,4.853511455475962,global,40
65,3.779323214324058,global,40
66,3.7021736651741466,global,40
67,4.776757369376366,global,40
68,3.647768359650497,global,40
69,3.2653913644613444,global,40
70,2.942478279561849,global,40
71,4.142300340387877,global,40
72,3.541372843616195,global,40
73,4.947931702960996,global,40
74,3.5452964038033703,global,40
75,4.430171106140059,global,40
76,4.265947511742305,global,40
77,3.052159713611808,global,40
78,3.1230773922798334,global,40
79,3.0233267938773074,global,40
80,4.195287357874143,global,40
81,3.7012841980879183,global,40
82,3.7717576057901914,global,40
83,3.1000639624074395,global,40
84,3.0894370507528537,global,40
85,3.735502113945602,global,40
86,5.166153115600013,global,40
87,3.8724182773453055,global,40
88,3.2489676226553277,global,40
89,5.5926113699113476,global,40
90,3.5869080948614642,global,40
91,3.925939795449785,global,40
92,3.269432687255142,global,40
93,3.8300512387867327,global,40
94,5.090696783690433,global,40
95,5.963310668632475,global,40
96,3.517479033550151,global,40
97,3.038881009370644,global,40
98,3.1553009264950513,global,40
99,3.950607244863711,global,40
100,2.7764102014398113,global,40
101,4.005575762443676,global,40
102,3.6520220263312377,global,40
103,4.639328256206537,global,40
104,5.407725954012768,global,40
105,3.944034986629523,global,40
106,4.3815097045311315,global,40
107,3.3369224545970635,global,40
108,4.674048551033355,global,40
109,3.108553521499838,global,40
110,5.00234552711133,global,40
111,3.7023855712915297,global,40
112,5.436683145737679,global,40
113,5.3565277973931975,global,40
114,3.1899737729641306,global,40
115,5.457794802168631,global,40
116,4.000192980190517,global,40
117,2.933547826298433,global,40
118,3.178195183449749,global,40
119,4.595837266514551,global,40
120,3.7978754524676264,global,40
121,4.831849201823876,global,40
122,2.8792499166378334,global,40
123,3.6021855381217636,global,40
124,4.013907886882035,global,40
125,5.180989634766163,global,40
126,4.447965162891573,global,40
127,3.4104694757540344,global,40
128,5.558069887771522,global,40
129,4.401149208151993,global,40
130,3.2926058307667954,global,40
131,3.9287963675182582,global,40
132,3.0591609411916134,global,40
133,3.876108643180499,global,40
134,2.8704925895548925,global,40
135,3.9183438487408706,global,40
136,3.9043989453515504,global,40
137,3.810803093547148,global,40
138,4.396841467580841,global,40
139,3.335426042096008,global,40
140,3.7376864576555624,global,40
141,3.8877425926354947,global,40
142,6.614508219372232,global,40
143,2.9980462235974557,global,40
144,3.544385619441398,global,40
145,4.1839829001338735,global,40
146,4.059168394109686,global,40
147,5.304350058932222,global,40
148,3.9843670115368135,global,40
149,3.16634915547022,global,40
150,3.816133617350007,global,40
151,2.935595774329205,global,40
152,4.0615262171157305,global,40
