sample_size,mean,std.error,group
1,1.071,0.042776030540348044,all
2,1.901,0.049412960249722346,all
3,2.455,0.048891362891265014,all
4,2.97,0.047616881117597015,all
5,3.315,0.04406491480437375,all
6,3.599,0.0404949236181381,all
7,3.84,0.03768049654423121,all
8,4.071,0.03401640951241204,all
9,4.205,0.03181174291023657,all
10,4.368,0.028660031357229835,all
11,4.421,0.027175310439763102,all
12,4.56,0.023599935528661024,all
13,4.555,0.02382315139822065,all
14,4.642,0.02145451692059964,all
15,4.735,0.018415051292736444,all
16,4.755,0.017414886685771985,all
17,4.832,0.014352072393281118,all
18,4.844,0.013778746454371453,all
19,4.84,0.014021290832038133,all
20,4.859,0.01277819558006068,all
21,4.899,0.010996359393904873,all
22,4.903,0.010280889878638752,all
23,4.918,0.010554022332143673,all
24,4.942,0.008043674577001527,all
25,4.943,0.007862112490470535,all
26,4.945,0.00812656391355172,all
27,4.958,0.006948689393280166,all
28,4.974,0.0055995852842291235,all
29,4.968,0.006083832099344377,all
30,4.983,0.004327785776783519,all
