number_of_targets,subgroup,number_of_species,sd,se,culture
2.11,all,1,1.1710129253220356,1.1710129253220356,global
3.176,all,2,1.0918865399922357,0.7720803767148262,global
3.679,all,3,0.985357767478356,0.5688965723017175,global
4.027,all,4,0.8677695685053861,0.43388478425269306,global
4.224,all,5,0.7889527529874311,0.35283039734309923,global
4.371,all,6,0.6912574316684319,0.28220466474907796,global
4.472,all,7,0.6209682774519175,0.2347039477425616,global
4.555,all,8,0.5632870425389637,0.19915204376690823,global
4.626,all,9,0.5257379579223859,0.17524598597412863,global
4.674,all,10,0.48369200733313544,0.1529568429191574,global
4.723,all,11,0.44997052511633856,0.1356712180481896,global
4.761,all,12,0.4290257137550884,0.12384905566288582,global
4.788,all,13,0.40892936214366316,0.11341659871167387,global
4.82,all,14,0.38437969216355294,0.10272979389354654,global
4.852,all,15,0.3552776691859794,0.09173229973577908,global
4.872,all,16,0.3342569785774528,0.0835642446443632,global
4.895,all,17,0.3067068128833611,0.07438732856556761,global
4.919,all,18,0.27297163499805893,0.0643400313929022,global
4.939,all,19,0.239450070654273,0.0549336136845079,global
4.95,all,20,0.21805400144814482,0.04875835700038894,global
4.959,all,21,0.19838941090279583,0.04329211869236949,global
4.97,all,22,0.17067257872642908,0.03638751604673399,global
4.974,all,23,0.15921478998305827,0.03319857864253761,global
4.979,all,24,0.14345584540052586,0.029282801820906458,global
4.985,all,25,0.12161327966052798,0.024322655932105596,global
4.988,all,26,0.10893974420691407,0.021364841596802363,global
4.991,all,27,0.09448771310560929,0.018184168865545216,global
4.993,all,28,0.08341437500789632,0.015763835145626792,global
4.995,all,29,0.07056897321046962,0.01310432934512547,global
4.999,all,30,0.03162277660168379,0.005773502691896257,global
5,all,31,0,0,global
5,all,32,0,0,global
5,all,33,0,0,global
5,all,34,0,0,global
5,all,35,0,0,global
5,all,36,0,0,global
5,all,37,0,0,global
5,all,38,0,0,global
5,all,39,0,0,global
5,all,40,0,0,global
