fdis,targets,replicate
1.6985206691999397,2,1
1.7826018496568463,5,2
1.6457245005766705,4,3
1.5972241142189094,5,4
1.8306894620024134,5,5
1.7666165761961885,5,6
1.6875589510660596,3,7
1.7935296532297946,3,8
1.687529284998983,5,9
1.6962494481989665,5,10
1.788473130649011,2,11
1.6536130512565126,4,12
1.7627393399292952,3,13
1.7626317306834387,5,14
1.7301117418056235,5,15
1.807723419945556,5,16
1.736206375022645,5,17
1.8336204862377354,4,18
1.729125644424652,4,19
1.6919331040043513,3,20
1.7980658154812936,5,21
1.8035499640418267,4,22
1.7521778084084396,5,23
1.7670055848706414,5,24
1.658143741166075,4,25
1.7584387857003638,2,26
1.8279969377129626,3,27
1.8182176042422777,5,28
1.806416758378568,4,29
1.627498384330434,4,30
1.7425238136225467,3,31
1.732597143284563,3,32
1.772015562007428,4,33
1.8052836429332195,5,34
1.8107710702275366,4,35
1.8068259482311624,5,36
1.8488023529859259,5,37
1.8041112762102618,3,38
1.817227908323088,5,39
1.720858009540113,5,40
1.764569170814719,3,41
1.6898167082130464,3,42
1.6486402913577396,3,43
1.7127178881202698,4,44
1.7995403083008743,3,45
1.8180910556195156,4,46
1.6217246085047647,5,47
1.7236854078077986,3,48
1.6502645012505492,2,49
1.7409432781139522,4,50
1.6911531216136528,5,51
1.7055369224575678,5,52
1.6840303705014308,3,53
1.8063452995741567,3,54
1.7015409213442332,3,55
1.6125400314824865,5,56
1.7658274271340377,4,57
1.829912149946504,3,58
1.8464465447913951,5,59
1.7769052610777945,5,60
1.7455596891665177,5,61
1.759376411597189,5,62
1.7274778968211684,4,63
1.7535926538697915,4,64
1.7754930885458209,5,65
1.8424281666224747,5,66
1.793177422678946,5,67
1.776795774150949,4,68
1.6883405414649058,4,69
1.7583476624146044,5,70
1.7846759013504117,3,71
1.7389751163762384,3,72
1.6789462999862483,5,73
1.757338705873846,5,74
1.7442742236867539,4,75
1.7556583079741883,2,76
1.7544087112714828,4,77
1.7711935112533037,5,78
1.7193308638799043,3,79
1.7783714002106152,5,80
1.796748855337944,5,81
1.850049409408993,3,82
1.7480844393497361,2,83
1.8193128421805738,3,84
1.7583566057116466,3,85
1.7458964341089331,5,86
1.7032067751361388,3,87
1.7944565130995709,4,88
1.6979437283964156,5,89
1.6946046440810492,3,90
1.758640432194408,5,91
1.763125964365625,2,92
1.752149097156432,5,93
1.7418527704754605,3,94
1.784048545677027,4,95
1.6920146164277003,3,96
1.8010676248975575,3,97
1.7792830578766938,2,98
1.818459960645717,5,99
1.76960143145755,3,100
1.7441188491509663,3,101
1.7976979230421921,5,102
1.673870822442063,3,103
1.6418357194073194,4,104
1.7416106851719877,5,105
1.7628359000140184,5,106
1.7907944491333203,5,107
1.8193253112819359,5,108
1.8337764020070015,4,109
1.7540805428836503,5,110
