dirty_inf_name,clean_fishbase_name
Acanthuridae,Acanthurus xanthopterus
Aetomylaeus niehofii,Aetomylaeus nichofii
Ariomma indica,Ariomma indicum
Gadiformes/Gadidae,Boreogadus saida
Callorhinchidae,Callorhinchus capensis
Chamelea gallina,Chamelea gallina
Clupea pallasii,Clupea pallasii pallasii
Ctenopharyngodon idellus,Ctenopharyngodon idella
Loligo opalescens,Doryteuthis opalescens
Eleutheronema tradactylum,Eleutheronema tetradactylum
Leiognathus splendens,Eubleekeria splendens
Penaeus brasiliensis,Farfantepenaeus brasiliensis
Penaeus brasiliensis/Penaeus paulensis,Farfantepenaeus brasiliensis
Glossogobius giurias,Glossogobius giuris
Erythrinidae,Hoplias malabaricus
Anostomidae,Leporinus elongatus
Strombus galeatus,Lobatus galeatus
Brachyura,Maja brachydactyla
Loricariidae,Megalancistrus aculeatus
Megalancistrus aculeatus,Megalancistrus parananus
Megalapsis cordyla,Megalaspis cordyla
Cancer magister,Metacarcinus magister
Valamugil cunnesius,Moolgarda cunnesius
Torpediniformes/Narcinidae,Narcine bancroftii
Ommastrephes bartrami,Ommastrephes bartramii
Oncorhynchus clarki,Oncorhynchus clarkii
Oreochromis =Tilapia spp,Oreochromis niloticus
"Natantia/Palaemonidae, Crangonidae",Palaemon serratus
Bivalvia/Hiatellidae,Panopea generosa
Leiognathus bindus,Photopectoralis bindus
Pinirampus pinirampu,Pinirampus pirinampu
Protothaca staminea,Protothaca staminea
Ruditapes philippinarum,Ruditapes philippinarum
Salminus maxillosus,Salminus brasiliensis
Salvelinus alpinus,Salvelinus alpinus alpinus
Saxidomus nuttalli,Saxidomus nuttalli
Sepia aculeata,Sepia aculeata
Sepia officinalis,Sepia officinalis
Characidae,Serrasalmus marginatus
Gadiformes nei/Gadidae,Trisopterus luscus
