user_supplied_name	submitted_name	matched_name2	score
Illex illecebrosus	Illex illecebrosus	Illex illecebrosus	0.988
Katharina turnicata	Katharina turnicata	Katharina tunicata	0.75
Lota lota	Lota lota	Lota lota	0.988
Mallotus villosus	Mallotus villosus	Mallotus villosus	0.988
Melanogrammus aeglefinus	Melanogrammus aeglefinus	Melanogrammus aeglefinus	0.988
Mercenaria mercenaria 	Mercenaria mercenaria 	Mercenaria	0.75
Merluccius spp.	Merluccius spp.	Merluccius	0.75
Microgadus tomcod	Microgadus tomcod	Microgadus tomcod	0.988
Micropogonias undulatus	Micropogonias undulatus	Micropogonias undulatus	0.988
Micropterus spp.	Micropterus spp.	Micropterus	0.75
Microstomus pacificus	Microstomus pacificus	Microstomus pacificus	0.988
Myoxocephalus scorpius	Myoxocephalus scorpius	Myoxocephalus scorpius	0.988
Myoxocephalus spp.	Myoxocephalus spp.	Myoxocephalus	0.75
Mytilidae	Mytilidae	Mytilidae	0.75
Mytilus edulis	Mytilus edulis	Mytilus edulis	0.988
Nephropidae	Nephropidae	Nephropidae	0.75
Oncorhynchus gorbuscha	Oncorhynchus gorbuscha	Oncorhynchus gorbuscha	0.988
Oncorhynchus keta	Oncorhynchus keta	Oncorhynchus keta	0.988
Oncorhynchus kisutch	Oncorhynchus kisutch	Oncorhynchus kisutch	0.988
Oncorhynchus mykiss	Oncorhynchus mykiss	Oncorhynchus mykiss	0.988
Oncorhynchus nerka	Oncorhynchus nerka	Oncorhynchus nerka	0.988
Oncorhynchus tshawytscha	Oncorhynchus tshawytscha	Oncorhynchus tshawytscha	0.988
Ophiodon elongatus	Ophiodon elongatus	Ophiodon elongatus	0.988
Osmerus mordax	Osmerus mordax	Osmerus mordax	0.988
Parastichopus californicus	Parastichopus californicus	Parastichopus californicus	0.988
Pectinidae	Pectinidae	Pectinidae	0.75
Perca flavescens	Perca flavescens	Perca flavescens	0.988
Percidae	Percidae	Percidae	0.75
Pomatomus saltatrix	Pomatomus saltatrix	Pomatomus saltatrix	0.988
Pseudopleuronectes americanus	Pseudopleuronectes americanus	Pseudopleuronectes americanus	0.988
Pungitius pungitius	Pungitius pungitius	Pungitius pungitius	0.988
Salmo salar	Salmo salar	Salmo salar	0.988
Salvelinus alpinus	Salvelinus alpinus	Salvelinus alpinus	0.988
Salvelinus fontinalis	Salvelinus fontinalis	Salvelinus fontinalis	0.988
Salvelinus malma	Salvelinus malma	Salvelinus malma	0.988
Salvelinus namaycush	Salvelinus namaycush	Salvelinus namaycush	0.988
Scomber scombrus	Scomber scombrus	Scomber scombrus	0.988
Scomber spp.	Scomber spp.	Scomber	0.75
Sebastes norvegicus	Sebastes norvegicus	Sebastes norvegicus	0.988
Sebastes spp.	Sebastes spp.	Sebastes	0.75
Sparidae	Sparidae	Sparidae	0.75
Spisula solidissima	Spisula solidissima	Spisula solidissima	0.988
Thaleichthys pacificus	Thaleichthys pacificus	Thaleichthys pacificus	0.988
Thymallus arcticus	Thymallus arcticus	Thymallus arcticus	0.988
Barbonymus goniontus	Barbonymus goniontus	Barbonymus gonionotus	0.75
Oreochromis niloticus	Oreochromis niloticus	Oreochromis niloticus	0.988
Pangasius hypophthalamus	Pangasius hypophthalamus	Pangasius hypophthalmus	0.75
Clarias macrocephalus	Clarias macrocephalus	Clarias macrocephalus	0.988
Channa striata	Channa striata	Channa striata	0.988
Monopterus albus	Monopterus albus	Monopterus albus	0.988
Notopterus spp	Notopterus spp	Notopterus	0.75
Lates calcarifer	Lates calcarifer	Lates calcarifer	0.988
Lutjanus malabaricus	Lutjanus malabaricus	Lutjanus malabaricus	0.988
Epinephelus sexfasciatus	Epinephelus sexfasciatus	Epinephelus sexfasciatus	0.988
Scomberomorus commerson	Scomberomorus commerson	Scomberomorus commerson	0.988
Seriolina nigrofasciata	Seriolina nigrofasciata	Seriolina nigrofasciata	0.988
Parastromateus niger	Parastromateus niger	Parastromateus niger	0.988
Rastrelliger brachysoma	Rastrelliger brachysoma	Rastrelliger brachysoma	0.988
Pampus argenteus	Pampus argenteus	Pampus argenteus	0.988
Perca fluviatilis	Perca fluviatilis	Perca fluviatilis	0.988
Sander lucioperca	Sander lucioperca	Sander lucioperca	0.988
Pinirampus pinirampu	Pinirampus pinirampu	Pinirampus pirinampu	0.75
Pinirampus pinirampu	Pinirampus pinirampu	Pinirampus pirinampus	0.75
Paulicea luetkeni	Paulicea luetkeni	Paulicea luetkeni	0.988
Sorubim lima	Sorubim lima	Sorubim lima	0.988
Hemisorubim platyrhynchos	Hemisorubim platyrhynchos	Hemisorubim platyrhynchos	0.988
Pimelodus maculatus	Pimelodus maculatus	Pimelodus maculatus	0.988
Siluroidei	Siluroidei	Siluroidei	0.75
Ageneiosus brevifilis	Ageneiosus brevifilis	Ageneiosus brevifilis	0.988
Macrourus berglax	Macrourus berglax	Macrourus berglax	0.988
Mora moro	Mora moro	Mora moro	0.988
Centroscymnus coelolepis	Centroscymnus coelolepis	Centroscymnus coelolepis	0.988
Centroscyllium fabricii	Centroscyllium fabricii	Centroscyllium fabricii	0.988
Centrophorus squamosus	Centrophorus squamosus	Centrophorus squamosus	0.988
Etmopterus princeps	Etmopterus princeps	Etmopterus princeps	0.988
Hydrolagus affinis	Hydrolagus affinis	Hydrolagus affinis	0.988
Deania calceus	Deania calceus	Deania calceus	0.988
Alepocephalus bairdii	Alepocephalus bairdii	Alepocephalus bairdii	0.988
Alepocephalus spp	Alepocephalus spp	Alepocephalus	0.75
Cyprinus carpio	Cyprinus carpio	Cyprinus carpio	0.988
Silurus glanis	Silurus glanis	Silurus glanis	0.988
Notothenia neglecta	Notothenia neglecta	Notothenia neglecta	0.988
Notothenia gibberifrons	Notothenia gibberifrons	Notothenia gibberifrons	0.988
Chaenocephalus aceratus	Chaenocephalus aceratus	Chaenocephalus aceratus	0.988
Champsocephalus gunnari	Champsocephalus gunnari	Champsocephalus gunnari	0.988
