user_supplied_name	submitted_name	matched_name2	score
Penaeus semisulcatus	Penaeus semisulcatus	Penaeus semisulcatus	0.988
Metapenaeus monoceros	Metapenaeus monoceros	Metapenaeus monoceros	0.988
Portunus pelagicus	Portunus pelagicus	Portunus pelagicus	0.988
Mactra violacea	Mactra violacea	Mactra violacea	0.988
Loligo plei	Loligo plei	Loligo plei	0.988
Perca Fluviatilis	Perca fluviatilis	Perca fluviatilis	0.988
Channa marulius	Channa marulius	Channa marulius	0.988
Channa micropeltes	Channa micropeltes	Channa micropeltes	0.988
Cyclocheilichthys apogon	Cyclocheilichthys apogon	Cyclocheilichthys apogon	0.988
Hemiramphus spp	Hemiramphus spp	Hemiramphus	0.75
Soleidae	Soleidae	Soleidae	0.75
Helostoma temminckii	Helostoma temminckii	Helostoma temminckii	0.988
Osteochilus hasselti	Osteochilus hasselti	Osteochilus hasselti	0.988
Parachela siamensis	Parachela siamensis	Parachela siamensis	0.988
Trichogaster spp	Trichogaster spp	Trichogaster	0.75
Ambassidae	Ambassidae	Ambassidae	0.75
Puntioplites proctozystron	Puntioplites proctozystron	Puntioplites proctozystron	0.988
Parapenaeopsis atlantica	Parapenaeopsis atlantica	Parapenaeopsis atlantica	0.988
Penaeus notialis	Penaeus notialis	Penaeus notialis	0.988
Palaemon serratus	Palaemon serratus	Palaemon serratus	0.988
Crassostrea rhizophorae	Crassostrea rhizophorae	Crassostrea rhizophorae	0.988
Euphausia superba	Euphausia superba	Euphausia superba	0.988
Xiphopenaeus kroyeri	Xiphopenaeus kroyeri	Xiphopenaeus kroyeri	0.988
Panaeus brasiliensis	Panaeus brasiliensis	Penaeus brasiliensis	0.75
Penaeus schmitti	Penaeus schmitti	Penaeus schmitti	0.988
Crangon crangon	Crangon crangon	Crangon crangon	0.988
Tellina palatam	Tellina palatam	Tellina palatam	0.988
Pinctada radiata	Pinctada radiata	Pinctada radiata	0.988
Bivalvia	Bivalvia	Bivalvia	0.75
Perna viridis	Perna viridis	Perna viridis	0.988
Gastropoda	Gastropoda	Gastropoda	0.75
Moroteuthis ingens	Moroteuthis ingens	Moroteuthis ingens	0.988
Eriocheir sinensis	Eriocheir sinensis	Eriocheir sinensis	0.988
Parapenaeus longirostris	Parapenaeus longirostris	Parapenaeus longirostris	0.988
Aristaeomorpha foliacea	Aristaeomorpha foliacea	Aristaeomorpha foliacea	0.988
Eledone moschata	Eledone moschata	Eledone moschata	0.988
Orconectes limosus	Orconectes limosus	Orconectes limosus	0.988
Penaeus monodon	Penaeus monodon	Penaeus monodon	0.988
Penaeus indicus	Penaeus indicus	Penaeus indicus	0.988
Metapenaeus dobsoni	Metapenaeus dobsoni	Metapenaeus dobsoni	0.988
Parapenaeopsis stylifera	Parapenaeopsis stylifera	Parapenaeopsis stylifera	0.988
Strombus gracilior	Strombus gracilior	Strombus gracilior	0.988
Cyclopterus lumpus	Cyclopterus lumpus	Cyclopterus lumpus	0.988
Anarhichas lupus	Anarhichas lupus	Anarhichas lupus	0.988
Arctica islandica	Arctica islandica	Arctica islandica	0.988
Velesunio ambiguus	Velesunio ambiguus	Velesunio ambiguus	0.988
Protopterus spp	Protopterus spp	Protopterus	0.75
Scomber spp	Scomber spp	Scomber	0.75
Gymnura spp	Gymnura spp	Gymnura	0.75
Plotosus spp	Plotosus spp	Plotosus	0.75
Brevoortia spp	Brevoortia spp	Brevoortia	0.75
Palaemonidae	Palaemonidae	Palaemonidae	0.75
Abramis spp	Abramis spp	Abramis	0.75
Sardinella spp	Sardinella spp	Sardinella	0.75
Dentex spp	Dentex spp	Dentex	0.75
Oreochromis =Tilapia spp	Oreochromis =tilapia spp	Oreochromis	0.75
Euphausia spp	Euphausia spp	Euphausia	0.75
Danio dangila	Danio dangila	Danio dangila	0.988
Mytilus spp	Mytilus spp	Mytilus	0.75
Chanda nama	Chanda nama	Chanda nama	0.988
Gudusia chapra	Gudusia chapra	Gudusia chapra	0.988
Colisha lalius	Colisha lalius	Colisha lalius	0.988
Chela cachius	Chela cachius	Chela cachius	0.988
Macrognathus aculeatus	Macrognathus aculeatus	Macrognathus aculeatus	0.988
Mastacembelus armatus	Mastacembelus armatus	Mastacembelus armatus	0.988
Mastacembelus pancalus	Mastacembelus pancalus	Mastacembelus pancalus	0.988
Macrobrachium spp.	Macrobrachium spp.	Macrobrachium	0.75
Esomus danricus	Esomus danricus	Esomus danricus	0.988
Lepidocephalus guntea	Lepidocephalus guntea	Lepidocephalus guntea	0.988
Xenentodon cancila	Xenentodon cancila	Xenentodon cancila	0.988
Corica soborna	Corica soborna	Corica soborna	0.988
Colisa fasciatus	Colisa fasciatus	Colisa fasciatus	0.988
Puntius sophore	Puntius sophore	Puntius sophore	0.988
Puntius ticto	Puntius ticto	Puntius ticto	0.988
Mystus spp	Mystus spp	Mystus	0.75
Amblypharyngodon mola	Amblypharyngodon mola	Amblypharyngodon mola	0.988
Glossogobius giuris	Glossogobius giuris	Glossogobius giuris	0.988
Pseudambassis ranga	Pseudambassis ranga	Pseudambassis ranga	0.988
Osteobrama cotio	Osteobrama cotio	Osteobrama cotio	0.988
Hyporhamphus limbatus	Hyporhamphus limbatus	Hyporhamphus limbatus	0.988
Mystus cavasius	Mystus cavasius	Mystus cavasius	0.988
Lepidocephalichthys guntea	Lepidocephalichthys guntea	Lepidocephalichthys guntea	0.988
Ailia coila	Ailia coila	Ailia coila	0.988
Xenontedon cancila	Xenontedon cancila	Xenentodon cancila	0.75
Eleotris fusca	Eleotris fusca	Eleotris fusca	0.988
Ompok pabda	Ompok pabda	Ompok pabda	0.988
Botia dario	Botia dario	Botia dario	0.988
Channa striatus	Channa striatus	Channa striatus	0.988
Macrobrachium malcolmsonii	Macrobrachium malcolmsonii	Macrobrachium malcolmsonii	0.988
Stolephorus tri	Stolephorus tri	Stolephorus tri	0.988
Pennahia argentata	Pennahia argentata	Pennahia argentata	0.988
Platycephalus indicus	Platycephalus indicus	Platycephalus indicus	0.988
Liza parsia	Liza parsia	Liza parsia	0.988
Sillaginopsis panijus	Sillaginopsis panijus	Sillaginopsis panijus	0.988
Salvelinus alpinus [naresi]	Salvelinus alpinus [naresi]	Salvelinus alpinus	0.988
Salmo and Salvelinus sp.	Salmo and salvelinus sp.	Salmo	0.75
Coregonus sp.: clupeaformis, nasus	Coregonus sp.: clupeaformis, nasus	Coregonus	0.75
Salvelinus naresi	Salvelinus naresi	Salvelinus	0.75
Acanthocottus groenlandicus	Acanthocottus groenlandicus	Acanthocottus	0.75
Mya spp.	Mya spp.	Mya	0.75
Coregonus autumnalis	Coregonus autumnalis	Coregonus autumnalis	0.988
Stenodus leucichtys	Stenodus leucichtys	Stenodus leucichthys	0.75
Coregonus sp.	Coregonus sp.	Coregonus	0.75
Stenodus leucichthys	Stenodus leucichthys	Stenodus leucichthys	0.988
Coregonos nasus	Coregonos nasus	Coregonus nasus	0.75
Coregonos spp.	Coregonos spp.	Coregonus	0.5
Loricariidae	Loricariidae	Loricariidae	0.75
Pterodoras granulosus	Pterodoras granulosus	Pterodoras granulosus	0.988
Plagioscion squamosissimus	Plagioscion squamosissimus	Plagioscion squamosissimus	0.988
Prochilodus lineatus	Prochilodus lineatus	Prochilodus lineatus	0.988
Salminus maxillosus	Salminus maxillosus	Salminus maxillosus	0.988
Anostomidae	Anostomidae	Anostomidae	0.75
Leporinus friderici	Leporinus friderici	Leporinus friderici	0.988
Pseudoplatystoma corruscans	Pseudoplatystoma corruscans	Pseudoplatystoma corruscans	0.988
Erythrinidae	Erythrinidae	Erythrinidae	0.75
Salmo spp	Salmo spp	Salmo	0.75
Oreochromis mossambicus	Oreochromis mossambicus	Oreochromis mossambicus	0.988
Glossogobius giurias	Glossogobius giurias	Glossogobius giuris	0.75
Glossogobius giurias	Glossogobius giurias	Glossogobius giurus	0.75
Glossogobius giurias	Glossogobius giurias	Glossigobius giuris	0.75
Glossogobius giurias	Glossogobius giurias	Glossogabius giuris	0.75
Callorhinchidae	Callorhinchidae	Callorhinchidae	0.75
Pecten maximus	Pecten maximus	Pecten maximus	0.988
Thryssa purava	Thryssa purava	Thryssa purava	0.988
Protonibea diacanthus	Protonibea diacanthus	Protonibea diacanthus	0.988
Muraenesox spp	Muraenesox spp	Muraenesox	0.75
Caranx spp	Caranx spp	Caranx	0.75
Harpadon nehereus	Harpadon nehereus	Harpadon nehereus	0.988
Carcharhinidae	Carcharhinidae	Carcharhinidae	0.75
Ariidae	Ariidae	Ariidae	0.75
Labeo rohita	Labeo rohita	Labeo rohita	0.988
Catla catla	Catla catla	Catla catla	0.988
Lethrinus spp	Lethrinus spp	Lethrinus	0.75
Siganus spp	Siganus spp	Siganus	0.75
Megalops cyprinoides	Megalops cyprinoides	Megalops cyprinoides	0.988
Natantia	Natantia	Natantia	0.75
Hypophthalmichthys spp	Hypophthalmichthys spp	Hypophthalmichthys	0.75
Sepia aculeata	Sepia aculeata	Sepia aculeata	0.988
Loligo duvauceli	Loligo duvauceli	Loligo duvaucelii	0.75
Haliotis spp	Haliotis spp	Haliotis	0.75
Saxidomus nuttalli	Saxidomus nuttalli	Saxidomus nuttalli	0.988
Protothaca staminea	Protothaca staminea	Protothaca staminea	0.988
Cancer magister	Cancer magister	Cancer magister	0.988
Holothurioidea	Holothurioidea	Holothurioidea	0.75
Hippoglossus stenolepis	Hippoglossus stenolepis	Hippoglossus stenolepis	0.988
Clupea pallasii	Clupea pallasii	Clupea pallasii	0.988
Octopodidae	Octopodidae	Octopodidae	0.75
Ostrea lurida	Ostrea lurida	Ostrea lurida	0.988
Hydrolagus colliei	Hydrolagus colliei	Hydrolagus colliei	0.988
Sebastes crameri	Sebastes crameri	Sebastes crameri	0.988
Sebastes aleutianus	Sebastes aleutianus	Sebastes aleutianus	0.988
Sebastes paucispinis	Sebastes paucispinis	Sebastes paucispinis	0.988
Sebastes goodei	Sebastes goodei	Sebastes goodei	0.988
Sebastes spp	Sebastes spp	Sebastes	0.75
Sebastes elongatus	Sebastes elongatus	Sebastes elongatus	0.988
Sebastes alutus	Sebastes alutus	Sebastes alutus	0.988
Sebastes ruberrimus	Sebastes ruberrimus	Sebastes ruberrimus	0.988
Sebastes rosaceus	Sebastes rosaceus	Sebastes rosaceus	0.988
Sebastes entomelas	Sebastes entomelas	Sebastes entomelas	0.988
Raja spp	Raja spp	Raja	0.75
Hippoglossoides elassodon	Hippoglossoides elassodon	Hippoglossoides elassodon	0.988
Eopsetta jordani	Eopsetta jordani	Eopsetta jordani	0.988
Glyptocephalus zachirus	Glyptocephalus zachirus	Glyptocephalus zachirus	0.988
Psettichthys melanostictus	Psettichthys melanostictus	Psettichthys melanostictus	0.988
Asteroidea	Asteroidea	Asteroidea	0.75
Oncorhynchus clarki	Oncorhynchus clarki	Oncorhynchus clarki	0.988
Venerupis spp	Venerupis spp	Venerupis	0.75
Loligo opalescens	Loligo opalescens	Loligo opalescens	0.988
Argopecten irradians	Argopecten irradians	Argopecten irradians	0.988
Ruditapes decussatus	Ruditapes decussatus	Ruditapes decussatus	0.988
Brachyura	Brachyura	Brachyura	0.75
Donax trunculus	Donax trunculus	Donax trunculus	0.988
Ommastrephes bartrami	Ommastrephes bartrami	Ommastrephes bartrami	0.988
Dosidicus gigas	Dosidicus gigas	Dosidicus gigas	0.988
Ucides cordatus	Ucides cordatus	Ucides cordatus	0.988
Haliotis rubra	Haliotis rubra	Haliotis rubra	0.988
Perna perna	Perna perna	Perna perna	0.988
Scapharca broughtonii	Scapharca broughtonii	Scapharca broughtonii	0.988
Corbicula japonica	Corbicula japonica	Corbicula japonica	0.988
Ruditapes philippinarum	Ruditapes philippinarum	Ruditapes philippinarum	0.988
Mytilus coruscus	Mytilus coruscus	Mytilus coruscus	0.988
Meretrix lusoria	Meretrix lusoria	Meretrix lusoria	0.988
Patinopecten yessoensis	Patinopecten yessoensis	Patinopecten yessoensis	0.988
Turbo cornutus	Turbo cornutus	Turbo cornutus	0.988
Rapana venosa	Rapana venosa	Rapana venosa	0.988
Sinonovacula constricta	Sinonovacula constricta	Sinonovacula constricta	0.988
Strombus galeatus	Strombus galeatus	Strombus galeatus	0.988
Cyclopteridae	Cyclopteridae	Cyclopteridae	0.75
Mercenaria mercenaria	Mercenaria mercenaria	Mercenaria mercenaria	0.988
Placopectens magellanicus	Placopectens magellanicus	Placopecten magellanicus	0.75
Nacella deaurata	Nacella deaurata	Nacella deaurata	0.988
Mytilus chilensis	Mytilus chilensis	Mytilus chilensis	0.988
Acanthina monodon	Acanthina monodon	Acanthina monodon	0.988
Aulacomya ater	Aulacomya ater	Aulacomya ater	0.988
Fissurella picta	Fissurella picta	Fissurella picta	0.988
Perunytitus purpuratus	Perunytitus purpuratus	Perumytilus purpuratus	0.75
Scorpena scrofa	Scorpena scrofa	Scorpaena scrofa	0.75
Trigla lucerna	Trigla lucerna	Trigla lucerna	0.988
Eriphia verrucosa	Eriphia verrucosa	Eriphia verrucosa	0.988
Calappa granulata	Calappa granulata	Calappa granulata	0.988
Scyllarides latus	Scyllarides latus	Scyllarides latus	0.988
Palinurus vulgaris	Palinurus vulgaris	Palinurus vulgaris	0.988
Illex coindetii	Illex coindetii	Illex coindetii	0.988
Chlamys glabra	Chlamys glabra	Chlamys glabra	0.988
