culture,number_of_targets,subgroup,number_of_species,sd,se
Nass-Gitksan,3.352,all,6,0.8190035206070647,0.3343567871717194
Nass-Gitksan,3.512,all,7,0.8151812807716579,0.3081095631938465
Nass-Gitksan,3.638,all,8,0.7997472073071563,0.2827533367609469
Nass-Gitksan,3.736,all,9,0.7828901052618541,0.260963368420618
Nass-Gitksan,3.825,all,10,0.7700441337793361,0.24350933615941053
Nass-Gitksan,3.92,all,11,0.760380285237708,0.22926328219244477
Nass-Gitksan,4.023,all,12,0.7314410475260504,0.21114884284275354
Nass-Gitksan,4.095,all,13,0.7158823139926614,0.1985500300229502
Nass-Gitksan,4.192,all,14,0.6881930031681589,0.18392731670216317
Nass-Gitksan,4.271,all,15,0.6587814455439627,0.17009663782548104
Nass-Gitksan,4.346,all,16,0.6486175334545812,0.1621543833636453
Nass-Gitksan,4.409,all,17,0.6229824292121786,0.1510954328556288
Nass-Gitksan,4.464,all,18,0.6058639047435249,0.14280349184010233
Nass-Gitksan,4.525,all,19,0.58798020436127,0.13489191008490362
Nass-Gitksan,4.589,all,20,0.5624903513798218,0.1257766662373024
Nass-Gitksan,4.637,all,21,0.539928256829111,0.11782200508404567
Nass-Gitksan,4.67,all,22,0.5209331736138249,0.11106332578786904
Nass-Gitksan,4.73,all,23,0.48096915839930043,0.10028900224315451
Nass-Gitksan,4.768,all,24,0.45208448367576204,0.09228135880293403
Nass-Gitksan,4.812,all,25,0.40598130599920584,0.08119626119984116
Nass-Gitksan,4.848,all,26,0.37017973071608473,0.07259821809453225
Nass-Gitksan,4.902,all,27,0.3041192011177336,0.05852776754368581
Nass-Gitksan,4.944,all,28,0.23003677296666486,0.043472863833544366
Nass-Gitksan,4.972,all,29,0.16505527329729044,0.03064999479284607
Nass-Gitksan,5,all,30,0,0
Quileute,2.004,all,1,0.8559887363258448,0.8559887363258448
Quileute,2.558,all,2,0.8907465573491875,0.6298529310201824
Quileute,2.863,all,3,0.9534884058760967,0.5504967878017516
Quileute,3.147,all,4,0.9881130336997723,0.49405651684988616
Quileute,3.378,all,5,0.9839126404737791,0.4400191096041362
Quileute,3.566,all,6,0.9594605591500698,0.39169813304051815
Quileute,3.728,all,7,0.9115080070119225,0.34451764351395225
Quileute,3.909,all,8,0.8599177044685489,0.3040268200460402
Quileute,4.044,all,9,0.8165358110522347,0.27217860368407826
Quileute,4.169,all,10,0.7635587875350673,0.24145848960473973
Quileute,4.289,all,11,0.7028321086667662,0.21191185409654154
Quileute,4.368,all,12,0.6519210082525344,0.1881933848024865
Quileute,4.452,all,13,0.6165031030547017,0.17098719611895286
Quileute,4.528,all,14,0.5723142000191359,0.1529574038612299
Quileute,4.586,all,15,0.531871118680914,0.13732853233199255
Quileute,4.646,all,16,0.4949029490000327,0.12372573725000817
Quileute,4.705,all,17,0.464963645020975,0.11277024826433382
Quileute,4.754,all,18,0.43321088591085943,0.1021087850371335
Quileute,4.786,all,19,0.41033202698835536,0.0941366231021287
Quileute,4.836,all,20,0.3704608498090469,0.08283756431753689
Quileute,4.883,all,21,0.32158111638343195,0.07017475275692765
Quileute,4.924,all,22,0.26513071171460745,0.05652605766542714
Quileute,4.963,all,23,0.1888562063228706,0.03937924120245538
Quileute,5,all,24,0,0
Siuslaw,2.16,all,1,0.366789496216201,0.366789496216201
Siuslaw,2.333,all,2,0.5199820971739136,0.3676828670072766
Siuslaw,2.516,all,3,0.5916874969898334,0.3416109356632162
Siuslaw,2.695,all,4,0.6359083105129067,0.3179541552564534
Siuslaw,2.88,all,5,0.6663662987006801,0.29800806836193006
Siuslaw,3.06,all,6,0.6832765668943044,0.2789464903486171
Siuslaw,3.252,all,7,0.6549236023575001,0.2475378542263572
Siuslaw,3.432,all,8,0.6080672214038064,0.21498422783594665
Siuslaw,3.632,all,9,0.5337235809488474,0.17790786031628247
Siuslaw,3.813,all,10,0.3901066305296325,0.12336254828074167
Siuslaw,4,all,11,0,0
Tillamook,2.378,all,1,0.6446173528005056,0.6446173528005056
Tillamook,2.698,all,2,0.7819254487528894,0.5529047871955023
Tillamook,2.995,all,3,0.8231966063175021,0.47527278225339625
Tillamook,3.263,all,4,0.7825876586322094,0.3912938293161047
Tillamook,3.479,all,5,0.7028890759238281,0.3143415508815381
Tillamook,3.652,all,6,0.6093170498740924,0.24875264396158261
Tillamook,3.792,all,7,0.47640630029730185,0.18006465623014534
Tillamook,3.906,all,8,0.3118673776804193,0.1102617687943453
Tillamook,3.97,all,9,0.17067257872642908,0.056890859575476356
Tillamook,4,all,10,0,0
Tillamook,4,all,11,0,0
Tsimshian,2.011,all,1,0.954877369503954,0.954877369503954
Tsimshian,2.714,all,2,0.9513722242682456,0.6727217512126054
Tsimshian,3.059,all,3,0.934018945948845,0.5392560898717762
Tsimshian,3.291,all,4,0.9017383945092569,0.45086919725462843
Tsimshian,3.485,all,5,0.8582024886421104,0.38379982061264994
Tsimshian,3.634,all,6,0.7979227285149112,0.3257505898384736
Tsimshian,3.757,all,7,0.7486731673510888,0.28297185915400325
Tsimshian,3.834,all,8,0.7049403811251991,0.24923406191292877
Tsimshian,3.921,all,9,0.6474397100720485,0.21581323669068284
Tsimshian,3.995,all,10,0.6044339007206168,0.19113878212972382
Tsimshian,4.045,all,11,0.565061319056874,0.17037239807772275
Tsimshian,4.104,all,12,0.5229315992149045,0.15095734978724332
Tsimshian,4.138,all,13,0.5284271333260956,0.14655931727336027
Tsimshian,4.178,all,14,0.500566245932111,0.13378195654725603
Tsimshian,4.207,all,15,0.47998060521377467,0.12393045936636707
Tsimshian,4.239,all,16,0.47550510523558537,0.11887627630889634
Tsimshian,4.261,all,17,0.47655650882776335,0.11558193073367432
Tsimshian,4.287,all,18,0.47418968341356377,0.11176758023681103
Tsimshian,4.306,all,19,0.47811357708455904,0.10968677716033351
Tsimshian,4.334,all,20,0.48236570843777515,0.1078602514081709
Tsimshian,4.356,all,21,0.4852829066632159,0.10589741205963699
Tsimshian,4.372,all,22,0.4897508099593669,0.10441522351907745
Tsimshian,4.388,all,23,0.49365949773067236,0.10293512091302098
Tsimshian,4.405,all,24,0.4931715910494219,0.10066822947563493
Tsimshian,4.428,all,25,0.4970543864237223,0.09941087728474446
Tsimshian,4.45,all,26,0.49974968709319845,0.0980089771692349
Tsimshian,4.467,all,27,0.49915945364198017,0.09606328164291458
Tsimshian,4.483,all,28,0.49996095943679536,0.09448374027935799
