median,lower,upper,culture
0.056239907290668176,0.03998680456953331,0.07428690417728422,CS
0.17074476644758815,0.15598664346239052,0.18705521301268999,CR
0.10135405065339219,0.084384872406498,0.11882754813066833,II
0.11319752055887936,0.09773450605411933,0.13029337649477035,HA
0.1297243032890339,0.11151009257833167,0.14909294259338685,MN
0.16180716635313824,0.14431898422445275,0.1801361763557487,NO
0.14094510809192312,0.12481417954388693,0.15749330818977977,BC
0.20857198736108526,0.1784034963892773,0.23876523387472542,GL
0.14577720463882213,0.13001944312181207,0.1642562065711427,KW
0.13578956645701631,0.11903390763019792,0.15188689241387424,TS
0.15994548613820878,0.14310241711912747,0.17746955617936225,TL
0.16021147976051087,0.14586236600424637,0.1749787334395779,WA
0.12813495643376613,0.1119261329978027,0.146299131731653,YU
0.1681462973020348,0.1530052169764118,0.18489211565685346,AB
0.1572803529802908,0.13976118240658292,0.1744246842142362,MI
