seanuts_id2,food_item_id_2,database,biblioid,biblioid.x,biblioid.y,biblioid_y,nutrient_ref,species_name,subgroup,food_name_clean,prot_g,protcnt_g,protein_g,fat_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season.x,season.y,fapun3,fapun_all_g
1,NA,NA,NA,fi151,fi151,NA,NA,Oncorhynchus kisutch,Finfish,NA,NA,20.15,NA,12.2,0.41,NA,41206.0,NA,40945.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oncorhynchus kisutch,NA,NA,NA,NA
2,901090,NA,NA,NA,NA,fi184,NA,Trichogaster microlepis,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,1502.82,2.61885,1.99,3.4,NA,NA,12.265754,12.265754,NA,http://www.fishbase.org/summary/4729,0.02188,3.04,NA,Miscellaneous freshwater fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
3,901079,NA,NA,NA,NA,fi184,NA,Channa marulius,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,1306.45,1.321593,1.35,4.5,NA,NA,12.265754,12.265754,NA,http://www.fishbase.se/summary/5144,0.00912,2.93,NA,Miscellaneous freshwater fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
4,901091,NA,NA,NA,NA,fi184,NA,Parambassis wolffii,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,1252.61,1.809024,1.53,3.7,NA,NA,12.265754,12.265754,NA,http://www.fishbase.org/summary/16235,0.01995,3.01,NA,Miscellaneous coastal fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
5,901086,NA,NA,NA,NA,fi184,NA,Helostoma temminkii,Finfish,Kissing_gourami_cleaned_fish_raw,NA,NA,NA,NA,NA,NA,1225.15,1.82922,1.5,2.8,NA,NA,12.265754,12.265754,NA,http://fishbase.sinica.edu.tw/summary/SpeciesSummary.php?id=500,0.01,3.04,NA,Miscellaneous freshwater fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
6,900603,NA,NA,NA,NA,fi103,NA,Cipangopaludina chinensis,Molluscs,Small_apple_snail_wild_shelled_raw,NA,13.0,NA,0.4,0.00334248,0.003676728,1200.0,8.1,4.3,NA,NA,NA,14.903036,14.903036,NA,http://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=1045,NA,NA,NA,"Abalones, winkles, conchs",NA,dry season,NA,NA,NA,0.01002744,0.044789232
7,901083,NA,NA,NA,NA,fi184,NA,Dermogenys pusilla juv.,Finfish,cleaned_fish_raw,NA,NA,NA,NA,NA,NA,1174.0,3.1698,5.12,3.4,NA,NA,12.265754,12.265754,NA,http://www.fishbase.org/summary/11300,0.01,3.04,NA,Miscellaneous pelagic fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
8,901081,NA,NA,NA,NA,fi184,NA,Cyclocheilichthys apogon,Finfish,Beardless_barb_cleaned_fish_raw,NA,NA,NA,NA,NA,NA,1130.22,2.02878,0.68,2.8,NA,NA,12.265754,12.265754,NA,NA,NA,NA,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
9,901087,NA,NA,NA,NA,fi184,NA,Osteochilus hasselti,Finfish,Nilem_carp_cleaned_fish_raw,NA,NA,NA,NA,NA,NA,1103.31,1.8122,1.11,2.6,NA,NA,12.265754,12.265754,NA,http://www.fishbase.us/summary/Osteochilus-vittatus.html,0.01122,3.09,NA,"Carps, barbels and other cyprinids",NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
10,901080,NA,NA,NA,NA,fi184,NA,Channa micropeltes,Finfish,Indonesian_snakehead_cleaned_fish_raw,NA,NA,NA,NA,NA,NA,1085.84,1.440597,1.23,3.9,NA,NA,12.265754,12.265754,NA,NA,NA,NA,NA,Miscellaneous freshwater fishes,NA,"Oct, Nov 2001",NA,NA,NA,NA,NA
