species,concentration,dataset,contaminant
alopias vulpinus,327.08333333333337,karimi,mercury
alosa aestivalis,96.33021158803811,karimi,mercury
alosa mediocris,51.43789763774584,karimi,mercury
alosa sapidissima,63.8851525836414,karimi,mercury
ambloplites rupestris,139.37499999999997,karimi,mercury
ameiurus nebulosus,72.06084973254893,karimi,mercury
anguilla rostrata,119.71003449262705,karimi,mercury
anoplopoma fimbria,214.50833333333335,karimi,mercury
callinectes sapidus,56.831155578316796,karimi,mercury
carcharhinus acronotus,664.0625,karimi,mercury
carcharhinus brevipinna,425,karimi,mercury
carcharhinus falciformis,584.375,karimi,mercury
carcharhinus leucas,579.6875,karimi,mercury
carcharhinus limbatus,673.9583333333333,karimi,mercury
carcharhinus obscurus,967.7884615384617,karimi,mercury
carcharhinus perezi,1406.25,karimi,mercury
carcharhinus plumbeus,368.3901563104915,karimi,mercury
carcharhinus signatus,1088.75,karimi,mercury
centropristis striata,41.33461463137304,karimi,mercury
cerastoderma edule),85,karimi,mercury
clupea harengus,35.28141071428571,karimi,mercury
clupea pallasii,16.5625,karimi,mercury
coregonus clupeaformis,83.17891081871345,karimi,mercury
coregonus nasus,33.75,karimi,mercury
crassostrea gigas,20.885416666666664,karimi,mercury
crassostrea virginica,22.118922299155717,karimi,mercury
cynoscion arenarius,108.9375,karimi,mercury
cynoscion nebulosus,159.1965029691603,karimi,mercury
cynoscion regalis,56.30510427616889,karimi,mercury
cyprinus carpio,85.31937709993927,karimi,mercury
doryteuthis (amerigo) pealeii,59.375,karimi,mercury
engraulis mordax,28.125,karimi,mercury
epinephelus morio,222.08333333333331,karimi,mercury
esox lucius,384.30267857142854,karimi,mercury
euthynnus alletteratus,698.9285714285713,karimi,mercury
farfantepenaeus aztecus,20.105522569444446,karimi,mercury
gadus chalcogrammus,26.875,karimi,mercury
gadus morhua,68.91782407407408,karimi,mercury
galeocerdo cuvier,602.0833333333333,karimi,mercury
genyonemus lineatus,81.70273664529914,karimi,mercury
hippoglossoides elassodon,103.28125000000001,karimi,mercury
hippoglossoides platessoides,30.46875,karimi,mercury
hippoglossus stenolepis,181.1720625,karimi,mercury
homarus americanus,79.76629273504274,karimi,mercury
hyporthodus flavolimbatus,151.99999999999997,karimi,mercury
hyporthodus nigritus,233.93303571428575,karimi,mercury
hyporthodus niveatus,205.625,karimi,mercury
hypsopsetta guttulata,24.20138888888889,karimi,mercury
ictalurus furcatus,87.5400950791947,karimi,mercury
ictalurus punctatus,83.23647120987904,karimi,mercury
ictiobus bubalus,120.95863970588235,karimi,mercury
ictiobus cyprinellus,232.55758101851848,karimi,mercury
illex illecebrosus,24.125000000000004,karimi,mercury
isurus oxyrinchus,742.1875,karimi,mercury
kajikia albida,168.75,karimi,mercury
