culture,latin_name,calcium,zinc,iron,epa,dha
Bella Coola,Melanogrammus aeglefinus,24,0.5626666666666666,0.6930000000000001,0.078,0.16325
Bella Coola,Mercenaria mercenaria ,49,2.3,2.8,0.09,0.08
Bella Coola,Micropogonias undulatus,56,0.3855,0.976,0.1,0.1
Bella Coola,Microstomus pacificus,39.5,0.2,0.2,0.08,0.09
Bella Coola,Morone saxatillis,15,0.3425,0.8266666666666667,0.1845,0.5925
Bella Coola,Mugil cephalus,93,0.499,1.45,0.4,0.4
Bella Coola,Mya arenaria,53,1.7,40.5,0.2,0.2
Bella Coola,Mytilidae,101,3.63,17,0.13,0.17
Bella Coola,Mytilus edulis,42.75,2.3916666666666666,8.116666666666667,0.1605,0.19
Bella Coola,Octopoda,30.714285714285715,1.68,3.07,0.1,0.1
Bella Coola,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Bella Coola,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Bella Coola,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Bella Coola,Oncorhynchus mykiss,52.22222222222222,2.805,566.4783333333334,0.26016666666666666,0.8166666666666667
Bella Coola,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Bella Coola,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Bella Coola,Ophiodon elongatus,26.8,0.29333333333333333,0.642,0,0
Bella Coola,Pleuronectinae,23.5,0.78,0.55,0.192,0.1165
Bella Coola,Pomatomus saltatrix,40.63333333333333,0.7957500000000001,1.8824,0.326,0.6595
Bella Coola,Pseudopleuronectes americanus,13.1,0.397,0.1015,0.07,0.12
Bella Coola,Reinhardtius hippoglossoides,10.6,0.4,0.6425000000000001,0.6586666666666666,0.5543333333333333
Bella Coola,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Bella Coola,Salvelinus fontinalis,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Bella Coola,Salvelinus namaycush,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Bella Coola,Sebastes norvegicus,101.66666666666667,0.6915,0.7343333333333334,0.093,0.07150000000000001
Bella Coola,Sebastes pinniger,9,0.4,0.4,0.2,0.3
Bella Coola,Sebastes spp.,12,0.3385,0.53,0.2565,0.35950000000000004
Bella Coola,Sparidae,45.5,0.8674999999999999,0.75625,0.12733333333333335,0.16
Bella Coola,Thaleichthys pacificus,194.82857142857142,1.3,1.1333333333333333,0.12,0.18
Bella Coola,Theragra chalcogramma,5,0.44,0.23,0.15,0.222
Beothuk,Coregonus artedi,17.483333333333334,1.81,0.376,0.10333333333333333,0.3413333333333333
Beothuk,Coregonus autumnalis,30,0.4,1,0.3,0.3
Beothuk,Coregonus clupeaformis,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Beothuk,Mercenaria mercenaria ,49,2.3,2.8,0.09,0.08
Beothuk,Mya arenaria,53,1.7,40.5,0.2,0.2
Beothuk,Mytilidae,101,3.63,17,0.13,0.17
Beothuk,Mytilus edulis,42.75,2.3916666666666666,8.116666666666667,0.1605,0.19
Beothuk,Nephropidae,34,2.54,0.935,0.18733333333333332,0.108
Beothuk,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Beothuk,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Beothuk,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Beothuk,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Beothuk,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Beothuk,Osmerus mordax,67,1.75,0.8,0.1975,0.299
Beothuk,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Beothuk,Stenodus leucichthys,13,0.3,0.30000000000000004,0.2,0.2
Carrier,Coregonus artedi,17.483333333333334,1.81,0.376,0.10333333333333333,0.3413333333333333
Carrier,Coregonus autumnalis,30,0.4,1,0.3,0.3
Carrier,Coregonus clupeaformis,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Carrier,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Carrier,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Carrier,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Carrier,Oncorhynchus mykiss,52.22222222222222,2.805,566.4783333333334,0.26016666666666666,0.8166666666666667
Carrier,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Carrier,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Carrier,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Carrier,Salvelinus alpinus,39.166666666666664,2.079090909090909,1.676923076923077,0.6266666666666667,0.49666666666666665
Carrier,Salvelinus fontinalis,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Carrier,Salvelinus namaycush,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Carrier,Stenodus leucichthys,13,0.3,0.30000000000000004,0.2,0.2
Central Salish,Alosa sapidissima,47,0.3466666666666667,0.86,1.09,1.32
Central Salish,Anarhichadidae,7,1,0.12,0.26766666666666666,0.255
Central Salish,Anoplopoma fimbria,35,0.3,1.2,0.5249999999999999,0.5599999999999999
Central Salish,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Central Salish,Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Central Salish,Catostomus commersonii,50.4,0.6,0.8,0.15433333333333332,0.2523333333333333
Central Salish,Centropristes striata,48.1,0.29433333333333334,0.812,0.1,0.3
Central Salish,Clupea harengus,44.4,0.8662,1.1,0.75725,1.0755
Central Salish,Clupea pallasii,57.4,0.515,1.7533333333333334,0.9844999999999999,0.6944999999999999
Central Salish,Coregonus artedi,17.483333333333334,1.81,0.376,0.10333333333333333,0.3413333333333333
Central Salish,Coregonus autumnalis,30,0.4,1,0.3,0.3
Central Salish,Coregonus clupeaformis,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Central Salish,Cyprinus carpio,53.333333333333336,3.05,1.3166666666666667,0.2,0.1
Central Salish,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Central Salish,Gadus macrocephalus,8.5,0.35,0.23,0.09,0.11750000000000001
Central Salish,Gadus morhua,15.555555555555555,1.0265,1.22,0.9558571428571428,0.853
Central Salish,Hippoglossus hippoglossus,15.5,0.4,0.5,0.22050000000000003,0.315
Central Salish,Hippoglossus stenolepis,28,0.19,0.095,0.1,0.3
Central Salish,Melanogrammus aeglefinus,24,0.5626666666666666,0.6930000000000001,0.078,0.16325
Central Salish,Micropogonias undulatus,56,0.3855,0.976,0.1,0.1
Central Salish,Microstomus pacificus,39.5,0.2,0.2,0.08,0.09
Central Salish,Morone saxatillis,15,0.3425,0.8266666666666667,0.1845,0.5925
Central Salish,Mugil cephalus,93,0.499,1.45,0.4,0.4
Central Salish,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Central Salish,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Central Salish,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Central Salish,Oncorhynchus mykiss,52.22222222222222,2.805,566.4783333333334,0.26016666666666666,0.8166666666666667
Central Salish,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Central Salish,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Central Salish,Ophiodon elongatus,26.8,0.29333333333333333,0.642,0,0
Central Salish,Pleuronectinae,23.5,0.78,0.55,0.192,0.1165
Central Salish,Pomatomus saltatrix,40.63333333333333,0.7957500000000001,1.8824,0.326,0.6595
Central Salish,Pseudopleuronectes americanus,13.1,0.397,0.1015,0.07,0.12
Central Salish,Reinhardtius hippoglossoides,10.6,0.4,0.6425000000000001,0.6586666666666666,0.5543333333333333
Central Salish,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Central Salish,Salvelinus fontinalis,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Central Salish,Salvelinus namaycush,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Central Salish,Sebastes norvegicus,101.66666666666667,0.6915,0.7343333333333334,0.093,0.07150000000000001
Central Salish,Sebastes pinniger,9,0.4,0.4,0.2,0.3
Central Salish,Sebastes spp.,12,0.3385,0.53,0.2565,0.35950000000000004
Central Salish,Sparidae,45.5,0.8674999999999999,0.75625,0.12733333333333335,0.16
Central Salish,Squalus acanthias,11,0.613,1.25,0.7,1.2
Central Salish,Stenodus leucichthys,13,0.3,0.30000000000000004,0.2,0.2
Central Salish,Thaleichthys pacificus,194.82857142857142,1.3,1.1333333333333333,0.12,0.18
Central Salish,Theragra chalcogramma,5,0.44,0.23,0.15,0.222
Central Salish,Thymallus arcticus,273.8375,0.7,1,0.1,0.1
Chilcotin,Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Chilcotin,Catostomus commersonii,50.4,0.6,0.8,0.15433333333333332,0.2523333333333333
Chilcotin,Coregonus artedi,17.483333333333334,1.81,0.376,0.10333333333333333,0.3413333333333333
Chilcotin,Coregonus autumnalis,30,0.4,1,0.3,0.3
Chilcotin,Coregonus clupeaformis,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Chilcotin,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Chilcotin,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Chilcotin,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Chilcotin,Oncorhynchus mykiss,52.22222222222222,2.805,566.4783333333334,0.26016666666666666,0.8166666666666667
Chilcotin,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Chilcotin,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Chilcotin,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Chilcotin,Salvelinus fontinalis,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Chilcotin,Salvelinus namaycush,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Chilcotin,Stenodus leucichthys,13,0.3,0.30000000000000004,0.2,0.2
Chinook,Mercenaria mercenaria ,49,2.3,2.8,0.09,0.08
Chinook,Mya arenaria,53,1.7,40.5,0.2,0.2
Chinook,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Chinook,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Chinook,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Chinook,Oncorhynchus mykiss,52.22222222222222,2.805,566.4783333333334,0.26016666666666666,0.8166666666666667
Chinook,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Chinook,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Chinook,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Chinook,Salvelinus fontinalis,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Chinook,Salvelinus namaycush,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Chinook,Thaleichthys pacificus,194.82857142857142,1.3,1.1333333333333333,0.12,0.18
Chipewyan,Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Chipewyan,Catostomus commersonii,50.4,0.6,0.8,0.15433333333333332,0.2523333333333333
Chipewyan,Coregonus artedi,17.483333333333334,1.81,0.376,0.10333333333333333,0.3413333333333333
Chipewyan,Coregonus autumnalis,30,0.4,1,0.3,0.3
Chipewyan,Coregonus clupeaformis,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Chipewyan,Esox lucius,69.1094,1.5491000000000001,0.42972727272727274,0.0508,0.13285714285714287
Chipewyan,Lota lota,44.90909090909091,1.191,0.9,0.3936363636363636,0.52
Chipewyan,Oncorhynchus mykiss,52.22222222222222,2.805,566.4783333333334,0.26016666666666666,0.8166666666666667
Chipewyan,Salvelinus alpinus,39.166666666666664,2.079090909090909,1.676923076923077,0.6266666666666667,0.49666666666666665
Chipewyan,Salvelinus fontinalis,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Chipewyan,Salvelinus namaycush,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Chipewyan,Stenodus leucichthys,13,0.3,0.30000000000000004,0.2,0.2
Chipewyan,Thymallus arcticus,273.8375,0.7,1,0.1,0.1
Coosan,Alosa sapidissima,47,0.3466666666666667,0.86,1.09,1.32
Coosan,Clupea harengus,44.4,0.8662,1.1,0.75725,1.0755
Coosan,Clupea pallasii,57.4,0.515,1.7533333333333334,0.9844999999999999,0.6944999999999999
Coosan,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Coosan,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Coosan,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Coosan,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Coosan,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Coosan,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Cree,Boreogadus saida,20.2,0.5,0.6,0.165,0.329
Cree,Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Cree,Catostomus commersonii,50.4,0.6,0.8,0.15433333333333332,0.2523333333333333
Cree,Coregonus artedi,17.483333333333334,1.81,0.376,0.10333333333333333,0.3413333333333333
Cree,Coregonus autumnalis,30,0.4,1,0.3,0.3
Cree,Coregonus clupeaformis,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Cree,Crassostrea virginica,54.75,94.43333333333334,6.8025,0.18933333333333335,0.194
Cree,Esox lucius,69.1094,1.5491000000000001,0.42972727272727274,0.0508,0.13285714285714287
Cree,Gadiformes,29,0.71,0.364,0.09,0.21500000000000002
Cree,Gadus macrocephalus,8.5,0.35,0.23,0.09,0.11750000000000001
Cree,Gadus morhua,15.555555555555555,1.0265,1.22,0.9558571428571428,0.853
Cree,Lota lota,44.90909090909091,1.191,0.9,0.3936363636363636,0.52
Cree,Melanogrammus aeglefinus,24,0.5626666666666666,0.6930000000000001,0.078,0.16325
Cree,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Cree,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Cree,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Cree,Oncorhynchus mykiss,52.22222222222222,2.805,566.4783333333334,0.26016666666666666,0.8166666666666667
Cree,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Cree,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Cree,Ophiodon elongatus,26.8,0.29333333333333333,0.642,0,0
Cree,Ostreidae,84.66666666666667,53.6,2050.14,0.22349999999999998,0.183
Cree,Perca flavescens,77.385,0.982,0.45633333333333337,0.1,0.2
Cree,Percidae,110,642.76,0.6,0.054,0.245
Cree,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Cree,Salvelinus alpinus,39.166666666666664,2.079090909090909,1.676923076923077,0.6266666666666667,0.49666666666666665
Cree,Salvelinus fontinalis,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Cree,Salvelinus namaycush,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Cree,Stenodus leucichthys,13,0.3,0.30000000000000004,0.2,0.2
Cree,Theragra chalcogramma,5,0.44,0.23,0.15,0.222
Dogrib,Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Dogrib,Catostomus commersonii,50.4,0.6,0.8,0.15433333333333332,0.2523333333333333
Dogrib,Coregonus artedi,17.483333333333334,1.81,0.376,0.10333333333333333,0.3413333333333333
Dogrib,Coregonus autumnalis,30,0.4,1,0.3,0.3
Dogrib,Coregonus clupeaformis,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Dogrib,Esox lucius,69.1094,1.5491000000000001,0.42972727272727274,0.0508,0.13285714285714287
Dogrib,Lota lota,44.90909090909091,1.191,0.9,0.3936363636363636,0.52
Dogrib,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Dogrib,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Dogrib,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Dogrib,Oncorhynchus mykiss,52.22222222222222,2.805,566.4783333333334,0.26016666666666666,0.8166666666666667
Dogrib,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Dogrib,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Dogrib,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Dogrib,Salvelinus fontinalis,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Dogrib,Salvelinus namaycush,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Dogrib,Stenodus leucichthys,13,0.3,0.30000000000000004,0.2,0.2
Eyak,Alosa sapidissima,47,0.3466666666666667,0.86,1.09,1.32
Eyak,Clupea harengus,44.4,0.8662,1.1,0.75725,1.0755
Eyak,Clupea pallasii,57.4,0.515,1.7533333333333334,0.9844999999999999,0.6944999999999999
Eyak,Coregonus artedi,17.483333333333334,1.81,0.376,0.10333333333333333,0.3413333333333333
Eyak,Coregonus autumnalis,30,0.4,1,0.3,0.3
Eyak,Coregonus clupeaformis,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Eyak,Mercenaria mercenaria ,49,2.3,2.8,0.09,0.08
Eyak,Mya arenaria,53,1.7,40.5,0.2,0.2
Eyak,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
Eyak,Oncorhynchus keta,11.285714285714286,0.756,0.525,0.2886666666666667,0.46266666666666667
Eyak,Oncorhynchus kisutch,46.5,0.4075,225.01,2.9712,7.208600000000001
Eyak,Oncorhynchus mykiss,52.22222222222222,2.805,566.4783333333334,0.26016666666666666,0.8166666666666667
Eyak,Oncorhynchus nerka,36.857142857142854,0.5700000000000001,0.6842857142857143,0.7276,1.2492
Eyak,Oncorhynchus tshawytscha,24.5,0.5700000000000001,1.36,0.7040000000000001,0.571
Eyak,Salmo salar,15.575,0.67,0.80625,0.3676666666666667,1.0886666666666667
Eyak,Salvelinus fontinalis,29.26,0.6862,0.6652,0.13733333333333334,0.24066666666666667
Eyak,Salvelinus namaycush,18.5,1.8812499999999999,1.166,0.224,0.5773333333333334
Eyak,Stenodus leucichthys,13,0.3,0.30000000000000004,0.2,0.2
Eyak,Thaleichthys pacificus,194.82857142857142,1.3,1.1333333333333333,0.12,0.18
Gwich'in,Alosa sapidissima,47,0.3466666666666667,0.86,1.09,1.32
Gwich'in,Catostomus catostomus,63.1,0.5,0.3,0.075,0.212
Gwich'in,Catostomus commersonii,50.4,0.6,0.8,0.15433333333333332,0.2523333333333333
Gwich'in,Clupea harengus,44.4,0.8662,1.1,0.75725,1.0755
Gwich'in,Clupea pallasii,57.4,0.515,1.7533333333333334,0.9844999999999999,0.6944999999999999
Gwich'in,Coregonus artedi,17.483333333333334,1.81,0.376,0.10333333333333333,0.3413333333333333
Gwich'in,Coregonus autumnalis,30,0.4,1,0.3,0.3
Gwich'in,Coregonus clupeaformis,23.5,1.4211111111111112,0.69875,0.21180000000000002,0.4502
Gwich'in,Esox lucius,69.1094,1.5491000000000001,0.42972727272727274,0.0508,0.13285714285714287
Gwich'in,Lota lota,44.90909090909091,1.191,0.9,0.3936363636363636,0.52
Gwich'in,Oncorhynchus gorbuscha,13,0.5375000000000001,0.8733333333333334,0.4126666666666667,0.5906666666666667
