page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",muscle,raw,88,43,NA,NA,20.8,NA,NA,1499,NA,22,NA,0.528
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",muscle,raw,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",muscle,raw,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",muscle,raw,53,38,0.4,0.4,19,3,NA,NA,0.01,26,0.2,NA
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",muscle,raw,62,43,NA,NA,NA,NA,NA,NA,NA,22,NA,NA
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",liver,raw,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,82,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,24,7,0.4,0.5,21,3.9,NA,NA,0.01,27,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,20,NA,NA,NA,NA,3.9,NA,NA,NA,NA,0.1,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6151,Fish,Freshwater Fish,Lake Trout,Salvelinus namaycush,muscle,raw,43,4,NA,NA,12,NA,NA,1,NA,NA,NA,NA
