latin_name,feeding_mode,feeding_level,BodyShapeI,part,DemersPelag,EnvTemp,nutrient,reference,AgeMatMin,log_concentration,log_length,bulk_trophic_level,DepthRangeDeep
Alosa sapidissima,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,pelagic-neritic,subtropical,epa,69,3.25,NA,4.330733340286331,3.6099998950958248,250
Alosa sapidissima,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,pelagic-neritic,subtropical,epa,79,3.25,NA,4.330733340286331,3.6099998950958248,250
Alosa sapidissima,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,offal,pelagic-neritic,subtropical,dha,27,3.25,NA,4.330733340286331,3.6099998950958248,250
Alosa sapidissima,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,offal,pelagic-neritic,subtropical,epa,27,3.25,NA,4.330733340286331,3.6099998950958248,250
Alosa sapidissima,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,skin,pelagic-neritic,subtropical,dha,64,3.25,NA,4.330733340286331,3.6099998950958248,250
Alosa sapidissima,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,skin,pelagic-neritic,subtropical,epa,64,3.25,NA,4.330733340286331,3.6099998950958248,250
Aloseinae,NA,NA,NA,eggs,NA,NA,dha,27,NA,NA,NA,NA,NA
Aloseinae,NA,NA,NA,eggs,NA,NA,epa,27,NA,NA,NA,NA,NA
Aloseinae,NA,NA,NA,muscle,NA,NA,dha,27,NA,NA,NA,NA,NA
Aloseinae,NA,NA,NA,muscle,NA,NA,epa,27,NA,NA,NA,NA,NA
Ameiurus nebulosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,dha,44,2,NA,4.007333185232471,3.27999997138977,40
Ameiurus nebulosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,dha,56,2,NA,4.007333185232471,3.27999997138977,40
Ameiurus nebulosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,epa,44,2,NA,4.007333185232471,3.27999997138977,40
Ameiurus nebulosus,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),fusiform / normal,muscle,demersal,subtropical,epa,56,2,NA,4.007333185232471,3.27999997138977,40
Amia calva,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,subtropical,dha,27,3.3333333333333335,NA,4.6913478822291435,3.81,NA
Amia calva,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,muscle,demersal,subtropical,epa,27,3.3333333333333335,NA,4.6913478822291435,3.81,NA
Amia calva,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,whole,demersal,subtropical,dha,27,3.3333333333333335,NA,4.6913478822291435,3.81,NA
Amia calva,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),elongated,whole,demersal,subtropical,epa,27,3.3333333333333335,NA,4.6913478822291435,3.81,NA
Anarhichadidae,NA,NA,NA,muscle,NA,NA,dha,23,NA,-1.2039728043259361,NA,NA,NA
Anarhichadidae,NA,NA,NA,muscle,NA,NA,dha,27,NA,NA,NA,NA,NA
Anarhichadidae,NA,NA,NA,muscle,NA,NA,dha,55,NA,-2.8134107167600364,NA,NA,NA
Anarhichadidae,NA,NA,NA,muscle,NA,NA,dha,72,NA,NA,NA,NA,NA
