genus_species,common_name,part_edited,biblio_id,cine_id,ca_mg,fe_mg,zn_mg,epa,dha,page_id,trad_food_id,subgroup
Centropristis striata,Black Sea Bass,viscera,27,110,NA,NA,NA,NA,NA,6437,NA,NA
Centropristis striata,Black Sea Bass,eggs,27,111,NA,NA,NA,NA,NA,6437,NA,NA
Clinocardium nuttallii,Nuttall Cockle,muscle,19,114,30,16.2,NA,NA,NA,6506,NA,NA
Clinocardium nuttallii,Nuttall Cockle,whole,27,116,NA,NA,NA,NA,NA,6506,NA,NA
Clupea harengus,Atlantic Herring,muscle,27,121,20,1,0.701,NA,NA,6431,NA,NA
Clupea harengus,Atlantic Herring,whole,27,123,NA,NA,NA,NA,NA,6431,NA,NA
Clupea harengus,Atlantic Herring,muscle,55,127,NA,NA,NA,1.05,1.29,6431,NA,NA
Clupea pallasii pallasii,Pacific Herring,eggs,19,131,19,2.7,NA,NA,NA,6431,NA,NA
Clupea pallasii pallasii,Pacific Herring,eggs,27,132,NA,NA,NA,NA,NA,6431,NA,NA
Clupea pallasii pallasii,Pacific Herring,eggs,34,134,NA,0.9,NA,NA,NA,6431,NA,NA
Clupea pallasii pallasii,Pacific Herring,muscle,27,135,83,1.7,NA,NA,NA,6431,NA,NA
Clupea pallasii pallasii,Pacific Herring,whole,27,136,NA,NA,NA,NA,NA,6431,NA,NA
Coregonus artedi,Lake Herring,muscle,27,143,12,NA,NA,NA,NA,6388,NA,NA
Coregonus artedi,Lake Herring,whole,27,144,NA,NA,NA,NA,NA,6388,NA,NA
Coregonus artedi,Lake Herring,viscera,27,145,NA,NA,NA,NA,NA,6388,NA,NA
Coregonus clupeaformis,Lake Whitefish,muscle,27,169,NA,NA,1.3,NA,NA,6388,NA,NA
Coregonus clupeaformis,Lake Whitefish,muscle,2,170,25.7,0.3,0.3,0.059,0.251,6388,NA,NA
Coregonus clupeaformis,Lake Whitefish,viscera,27,172,NA,NA,NA,NA,NA,6388,NA,NA
Coregonus nasus,Broad Whitefish,muscle,34,176,NA,NA,NA,NA,NA,6388,NA,NA
Coregonus nasus,Broad Whitefish,muscle_organs,34,179,NA,3.9,NA,NA,NA,6388,NA,NA
Coregonus nasus,Broad Whitefish,liver,34,181,NA,8.6,NA,NA,NA,6388,NA,NA
Coregonus nasus,Broad Whitefish,eggs,34,183,NA,0.9,NA,NA,NA,6388,NA,NA
Cottidae,Sculpins,muscle,27,186,NA,NA,NA,NA,NA,6438,NA,NA
Couesius plumbeus,Lake Chub,muscle,27,188,NA,NA,NA,NA,NA,6408,NA,NA
Crassostrea virginica,Eastern Oyster,muscle,55,190,NA,NA,NA,0.11,0.09,6507,NA,NA
Crassostrea virginica,Eastern Oyster,muscle,65,191,61,7.65,82.5,NA,NA,6507,NA,NA
Cyclopterus lumpus,Lumpfish,muscle,27,196,NA,NA,NA,NA,NA,6437,NA,NA
Cyclopterus lumpus,Lumpfish,eggs,27,197,NA,NA,NA,NA,NA,6437,NA,NA
Cyclopterus lumpus,Lumpfish,whole,27,198,NA,NA,NA,NA,NA,6437,NA,NA
Cyprinus carpio,Common Carp,muscle,27,203,37,1.25,4.7,NA,NA,6408,NA,NA
Cyprinus carpio,Common Carp,whole,27,204,NA,NA,NA,NA,NA,6408,NA,NA
Dallia pectoralis,Alaska Blackfish,whole,34,210,236,4.6,NA,NA,NA,6413,NA,NA
Dallia pectoralis,Alaska Blackfish,muscle,11,211,880,NA,NA,NA,NA,6413,NA,NA
Eleginus gracilis,Saffron Cod,muscle,34,213,NA,NA,NA,NA,NA,6432,NA,NA
Eleginus gracilis,Saffron Cod,liver,34,214,6,3.8,NA,NA,NA,6432,NA,NA
Engraulidae,Anchovies,muscle,27,217,150,1.53,0.88,NA,NA,6445,NA,NA
Engraulidae,Anchovies,whole,27,218,2150,NA,NA,NA,NA,6445,NA,NA
Ensis directus,Atlantic Jackknife Clam,whole,27,221,50,11,6.32,NA,NA,6504,NA,NA
Enteroctopus dofleini,Pacific Giant Octopus,muscle,19,223,24,5.3,NA,NA,NA,6527,NA,NA
Esox lucius,Northern Pike,muscle,34,232,NA,0.55,NA,NA,NA,6404,NA,NA
Esox lucius,Northern Pike,muscle,44,233,19.894,0.217,0.581,NA,NA,6404,NA,NA
Esox lucius,Northern Pike,muscle,59,236,NA,NA,NA,0.044,0.217,6404,NA,NA
Esox lucius,Northern Pike,muscle,27,239,259,0.47,1.11,NA,NA,6404,NA,NA
Esox lucius,Northern Pike,muscle,2,240,32.6,0.2,0.4,0.044,0.165,6404,NA,NA
Esox lucius,Northern Pike,viscera,27,241,NA,NA,NA,NA,NA,6404,NA,NA
Esox lucius,Northern Pike,liver,34,246,NA,NA,NA,NA,NA,6404,NA,NA
Esox spp.,Pike,muscle,40,248,NA,NA,NA,NA,NA,6404,NA,NA
Esox spp.,Pike,muscle,11,252,80,NA,NA,NA,NA,6404,NA,NA
Esox spp.,Pike,muscle,11,254,62,NA,NA,NA,NA,6404,NA,NA
Esox spp.,Pike,muscle,11,256,28,NA,NA,NA,NA,6404,NA,NA
Esox spp.,Pike,muscle,27,259,40,0.59,NA,NA,NA,6404,NA,NA
Gadidae,Cod and Relatives,muscle,27,262,30,NA,0.793,NA,NA,6432,NA,NA
Gadidae,Cod and Relatives,whole,27,264,NA,NA,NA,NA,NA,6432,NA,NA
Gadiformes,Cod and Relatives,muscle,55,266,NA,NA,NA,0.08,0.23,6432,NA,NA
Gadiformes,Cod and Relatives,muscle,27,270,15,0.478,1.05,NA,NA,6432,NA,NA
Gadiformes,Cod and Relatives,eggs,27,272,NA,NA,NA,NA,NA,6432,NA,NA
Gadus macrocephalus,Pacific Cod,muscle,27,278,NA,NA,NA,NA,NA,6432,NA,NA
Gadus macrocephalus,Pacific Cod,viscera,27,279,NA,NA,NA,NA,NA,6432,NA,NA
Gadus macrocephalus,Pacific Cod,eggs,27,280,NA,NA,NA,NA,NA,6432,NA,NA
Gadus morhua,Atlantic Cod,muscle,55,283,NA,NA,NA,0.08,0.23,6432,NA,NA
Gadus morhua,Atlantic Cod,muscle,59,284,NA,NA,NA,0.087,0.195,6432,NA,NA
Gadus morhua,Atlantic Cod,muscle,27,288,16,1.75,0.589,NA,NA,6432,NA,NA
Gadus morhua,Atlantic Cod,muscle,55,290,NA,NA,NA,NA,NA,6432,NA,NA
Gadus morhua,Atlantic Cod,whole,27,295,NA,NA,NA,NA,NA,6432,NA,NA
Gadus morhua,Atlantic Cod,viscera,27,296,NA,NA,NA,NA,NA,6432,NA,NA
Gastropoda,Sea Snails and relatives,whole,27,306,179,2.5,NA,NA,NA,2223,NA,NA
Haliotididae,Abalones,muscle,27,311,34,2.06,1.42,NA,NA,6510,NA,NA
Hexagrammos spp.,Greenlings,muscle,27,312,12,1,NA,NA,NA,6433,NA,NA
Hippoglossinae,Halibut,muscle,55,313,NA,NA,NA,0.16,0.22,6152,NA,NA
Hippoglossinae,Halibut,muscle,27,318,19,1,NA,NA,NA,6152,NA,NA
Hippoglossus hippoglossus,Atlantic Halibut,muscle,27,321,NA,NA,NA,NA,NA,6152,NA,NA
Hippoglossus hippoglossus,Atlantic Halibut,muscle,27,322,NA,NA,NA,NA,NA,6152,NA,NA
Hippoglossus hippoglossus,Atlantic Halibut,muscle,27,324,NA,NA,NA,NA,NA,6152,NA,NA
Hippoglossus hippoglossus,Atlantic Halibut,muscle,55,325,NA,NA,NA,0.16,0.22,6152,NA,NA
Hippoglossus stenolepis,Pacific Halibut,muscle,27,331,NA,NA,NA,NA,NA,6152,NA,NA
Hippoglossus stenolepis,Pacific Halibut,muscle,27,332,NA,NA,NA,NA,NA,6152,NA,NA
Hippoglossus stenolepis,Pacific Halibut,muscle,27,333,22,0.09,0.08,NA,NA,6152,NA,NA
Homarus americanus,American lobster,muscle,55,337,NA,NA,NA,0.24,0.12,6520,NA,NA
Hydrolagus spp.,Ratfish,muscle,27,342,NA,NA,NA,NA,NA,6444,NA,NA
Hypomesus olidus,Pond Smelt,whole,27,344,750,NA,NA,NA,NA,6418,NA,NA
Hypomesus olidus,Pond Smelt,muscle,27,345,NA,5,NA,NA,NA,6418,NA,NA
