genus_species,common_name,part_edited,biblio_id,cine_id,ca_mg,fe_mg,zn_mg,epa,dha,page_id,trad_food_id,subgroup
Perca flavescens,Yellow Perch,viscera,27,664,NA,NA,NA,NA,NA,6411,NA,NA
Percidae,Perch and Darters,muscle,59,667,NA,NA,NA,0.054,0.245,6411,NA,NA
Percidae,Perch and Darters,muscle,27,669,NA,NA,1.285,NA,NA,6411,NA,NA
Petromyzontinae,Lampreys,muscle,27,670,16,NA,NA,NA,NA,6452,NA,NA
Platichthys stellatus,Starry Flounder,muscle,27,672,NA,NA,NA,NA,NA,6152,NA,NA
Pleuronectinae,Flounders and Soles,muscle,27,679,NA,NA,NA,NA,NA,6152,NA,NA
Pleuronectinae,Flounders and Soles,eggs,27,680,NA,NA,NA,NA,NA,6152,NA,NA
Pleuronectinae,Flounders and Soles,whole,27,681,NA,NA,NA,NA,NA,6152,NA,NA
Pomatomus saltatrix,Bluefish,muscle,65,685,6.8,0.452,0.763,NA,NA,6437,NA,NA
Pomatomus saltatrix,Bluefish,muscle,27,686,59,5.2,NA,NA,NA,6437,NA,NA
Pseudopleuronectes americanus,Winter Flounder,muscle,65,689,13.2,0.103,0.394,NA,NA,6152,NA,NA
Pseudopleuronectes americanus,Winter Flounder,muscle,55,690,NA,NA,NA,0.07,0.12,6152,NA,NA
Pseudopleuronectes americanus,Winter Flounder,muscle,55,691,NA,NA,NA,0.07,0.12,6152,NA,NA
Pseudopleuronectes americanus,Winter Flounder,muscle,27,692,NA,NA,NA,NA,NA,6152,NA,NA
Pseudopleuronectes americanus,Winter Flounder,viscera,27,693,NA,NA,NA,NA,NA,6152,NA,NA
Ptychocheilus spp.,Pikeminnows,muscle,27,695,NA,NA,NA,NA,NA,6408,NA,NA
Pungitius pungitius,Ninespine Stickleback,whole,11,696,901,NA,NA,NA,NA,6419,NA,NA
Pungitius pungitius,Ninespine Stickleback,whole,34,699,93,6.2,NA,NA,NA,6419,NA,NA
Rajidae,Skates,muscle,27,700,38,0.075,0.98,NA,NA,6441,NA,NA
Rajidae,Rays,muscle,27,701,123,NA,NA,NA,NA,6441,NA,NA
Salmo salar,Atlantic Salmon,muscle,59,713,NA,NA,NA,0.345,1,6446,NA,NA
Salmo salar,Atlantic Salmon,muscle,27,717,15,1.15,0.47,NA,NA,6446,NA,NA
Salmo salar,Atlantic Salmon,muscle,2,720,11.6,0.4,0.6,0.269,0.612,6446,NA,NA
Salmo trutta,Brown Trout,muscle,27,725,20,1,0.46,NA,NA,6151,NA,NA
Salvelinus alpinus,Arctic Char,muscle,30,729,34,1.8,0.8,NA,NA,6449,NA,NA
Salvelinus alpinus,Arctic Char,muscle,9,732,18.8,0.32,0.6,NA,NA,6449,NA,NA
Salvelinus alpinus,Arctic Char,muscle,2,743,7.2,0.7,0.6,0.78,0.69,6449,NA,NA
Salvelinus alpinus,Arctic Char,muscle,50,744,NA,NA,2.3,NA,NA,6449,NA,NA
Salvelinus alpinus,Arctic Char,muscle,27,745,NA,NA,NA,NA,NA,6449,NA,NA
Salvelinus alpinus,Arctic Char,liver,50,748,NA,NA,13,NA,NA,6449,NA,NA
Salvelinus fontinalis,Brook Trout,muscle,65,753,14.3,0.226,0.471,NA,NA,6151,NA,NA
Salvelinus fontinalis,Brook Trout,whole,27,757,NA,NA,NA,NA,NA,6151,NA,NA
Salvelinus fontinalis,Brook Trout,whole,27,759,NA,NA,NA,NA,NA,6151,NA,NA
Salvelinus fontinalis,Brook Trout,muscle,27,763,NA,NA,NA,NA,NA,6151,NA,NA
Salvelinus fontinalis,Brook Trout,muscle,2,765,9.3,0.3,0.5,0.112,0.322,6151,NA,NA
Salvelinus fontinalis,Brook Trout,muscle,27,766,38,1.2,0.46,NA,NA,6151,NA,NA
Salvelinus malma,Dolly Varden Trout,muscle,34,768,NA,NA,NA,NA,NA,6151,NA,NA
Salvelinus malma,Dolly Varden Trout,muscle,27,769,NA,NA,NA,NA,NA,6151,NA,NA
Salvelinus namaycush,Lake Trout,muscle,2,780,6.1,0.3,0.4,0.072,0.232,6151,NA,NA
Salvelinus namaycush,Lake Trout,muscle,27,781,NA,0.478,0.21,NA,NA,6151,NA,NA
Salvelinus namaycush,Lake Trout,viscera,27,782,NA,NA,NA,NA,NA,6151,NA,NA
Sardinops spp.,Sardine,whole,27,788,554,5.25,NA,NA,NA,6431,NA,NA
Sardinops spp.,Sardine,muscle,27,789,73,2.313,1.03,NA,NA,6431,NA,NA
Saxidomus gigantea,Washington Butterclam,whole,27,791,41,NA,NA,NA,NA,6504,NA,NA
Scomber scombrus,Atlantic Mackerel,muscle,27,797,8,1.01,0.639,NA,NA,6442,NA,NA
Scomber scombrus,Atlantic Mackerel,muscle,55,799,NA,NA,NA,NA,NA,6442,NA,NA
Scomber scombrus,Atlantic Mackerel,muscle,27,800,NA,NA,NA,NA,NA,6442,NA,NA
Scomber scombrus,Atlantic Mackerel,muscle,55,801,NA,NA,NA,NA,NA,6442,NA,NA
Scomber scombrus,Atlantic Mackerel,viscera,27,802,NA,NA,NA,NA,NA,6442,NA,NA
Scomber scombrus,Atlantic Mackerel,muscle,55,808,NA,NA,NA,1.45,2.16,6442,NA,NA
Scomber spp.,Mackerel,muscle,55,811,NA,NA,NA,1.45,2.16,6442,NA,NA
Scomber spp.,Mackerel,muscle,27,812,22,1.409,0.538,NA,NA,6442,NA,NA
Scombridae,Tuna and Mackerel,muscle,27,816,12,1,1.13,NA,NA,6442,NA,NA
Sebastes flavidus,Yellowtail Rockfish,muscle,27,817,8,NA,NA,NA,NA,6436,NA,NA
Sebastes flavidus,Yellowtail Rockfish,muscle,27,818,NA,NA,NA,NA,NA,6436,NA,NA
Sebastes norvegicus,Golden Redfish,muscle,27,821,141,0.633,0.683,NA,NA,6436,NA,NA
Sebastes norvegicus,Golden Redfish,whole,27,823,NA,NA,NA,NA,NA,6436,NA,NA
Sebastes norvegicus,Golden Redfish,viscera,27,825,NA,NA,NA,NA,NA,6436,NA,NA
Sebastes norvegicus,Golden Redfish,muscle,55,827,NA,NA,NA,0.14,0.07,6436,NA,NA
Sebastes pinniger,Canary Rockfish,muscle,27,834,NA,NA,NA,NA,NA,6436,NA,NA
Sebastes spp.,Rockfish,muscle,59,840,NA,NA,NA,0.373,0.649,6436,NA,NA
Sebastes spp.,Rockfish,muscle,55,841,NA,NA,NA,0.14,0.07,6436,NA,NA
Sebastes spp.,Rockfish,muscle,27,844,NA,NA,0.147,NA,NA,6436,NA,NA
Sebastes spp.,Rockfish,viscera,27,845,NA,NA,NA,NA,NA,6436,NA,NA
Somniosus microcephalus,Greenland Shark,muscle,27,846,NA,NA,NA,NA,NA,6440,NA,NA
Sparidae,Porgies,muscle,27,847,35,0.933,NA,NA,NA,6437,NA,NA
Sparidae,Porgies,muscle,27,848,47,0.982,1.92,NA,NA,6437,NA,NA
Sparidae,Porgies,muscle,59,849,NA,NA,NA,0.199,0.273,6437,NA,NA
Sparidae,Porgies,eggs,27,852,NA,NA,NA,NA,NA,6437,NA,NA
Spisula solidissima,Atlantic Surf Clam,muscle,55,856,NA,NA,NA,0.15,0.21,6504,NA,NA
Spisula solidissima,Atlantic Surf Clam,muscle,55,858,NA,NA,NA,0.15,0.21,6504,NA,NA
Spisula solidissima,Atlantic Surf Clam,muscle,27,859,41,NA,NA,NA,NA,6504,NA,NA
Squaliformes,Sharks,muscle,27,863,48,1.4,NA,NA,NA,6440,NA,NA
Squalus acanthias,Spiny Dogfish,eggs,27,864,NA,NA,NA,NA,NA,6440,NA,NA
Squalus acanthias,Spiny Dogfish,muscle,27,867,NA,NA,0.52,NA,NA,6440,NA,NA
Squalus acanthias,Spiny Dogfish,muscle,27,869,11,1.25,0.819,NA,NA,6440,NA,NA
Squalus acanthias,Spiny Dogfish,eggs,27,870,NA,NA,NA,NA,NA,6440,NA,NA
Stenodus leucichthys,Inconnu,muscle,27,879,NA,NA,NA,NA,NA,6388,NA,NA
Thaleichthys pacificus,Eulachon,muscle,38,882,273,1.6,1.3,NA,NA,6448,NA,NA
Thaleichthys pacificus,Eulachon,muscle,5,883,NA,NA,NA,NA,NA,6448,NA,NA
Thaleichthys pacificus,Eulachon,muscle,55,886,NA,NA,NA,0.12,0.18,6448,NA,NA
Thaleichthys pacificus,Eulachon,oil,6,888,NA,NA,NA,NA,NA,6448,NA,NA
Thaleichthys pacificus,Eulachon,oil,5,889,NA,NA,NA,NA,NA,6448,NA,NA
Thaleichthys pacificus,Eulachon,oil,38,890,NA,NA,NA,NA,NA,6448,NA,NA
Thaleichthys pacificus,Eulachon,oil,39,892,6.8,NA,NA,NA,NA,6448,NA,NA
Thaleichthys pacificus,Eulachon,whole,27,895,NA,NA,NA,NA,NA,6448,NA,NA
Thaleichthys pacificus,Eulachon,whole,11,897,476,NA,NA,NA,NA,6448,NA,NA
Thaleichthys pacificus,Eulachon,muscle,27,899,NA,NA,NA,NA,NA,6448,NA,NA
Thaleichthys pacificus,Eulachon,eggs,11,900,32,NA,NA,NA,NA,6448,NA,NA
Thunnus alalunga,Albacore,muscle,27,905,NA,NA,NA,NA,NA,6442,NA,NA
Thunnus thynnus,Bluefin Tuna,muscle,27,909,NA,NA,NA,NA,NA,6442,NA,NA
Thunnus thynnus,Bluefin Tuna,muscle,27,910,NA,NA,NA,NA,NA,6442,NA,NA
Thunnus thynnus,Bluefin Tuna,muscle,27,911,8,1.5,NA,NA,NA,6442,NA,NA
Thymallus arcticus,Arctic Grayling,muscle,34,915,NA,NA,NA,NA,NA,6406,NA,NA
Thymallus arcticus,Arctic Grayling,muscle,11,917,532,NA,NA,NA,NA,6406,NA,NA
Alosa sapidissima,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,5,Finfish
Alosa sapidissima,NA,NA,fi125,NA,14.4,0.9444,0.3792,NA,NA,NA,5,Finfish
Alosa sapidissima,NA,NA,SR27,NA,47,0.97,0.37,1.086,1.321,NA,5,Finfish
Anguilla rostrata,NA,NA,fi21,NA,NA,NA,NA,0.0856776,0.1595376,NA,10,Finfish
Anoplopoma fimbria,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,11,Finfish
Anoplopoma fimbria,NA,NA,fi36,NA,NA,NA,NA,0.35,0.42,NA,11,Finfish
Anoplopoma fimbria,NA,NA,SR27,NA,35,1.28,0.32,0.677,0.718,NA,11,Finfish
Aplodinotus grunniens,NA,NA,SR27,NA,60,0.9,0.66,0.23,0.287,NA,12,Finfish
Callinectes sapidus,NA,NA,fi221,NA,NA,NA,NA,NA,NA,NA,16,Crustacean
Callinectes sapidus,NA,NA,fi221,NA,NA,NA,NA,NA,NA,NA,16,Crustacean
Callinectes sapidus,NA,NA,SR27,NA,89,0.74,3.54,0.17,0.15,NA,16,Crustacean
Cancer magister,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,19,Crustacean
Cancer magister,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,19,Crustacean
Cancer magister,NA,NA,SR27,NA,46,0.37,4.27,0.219,0.088,NA,19,Crustacean
Catostomus commersoni,NA,NA,fi141,NA,NA,NA,NA,NA,NA,NA,24,Finfish
Catostomus commersoni,NA,NA,SR27,NA,70,1.3,0.75,0.19,0.289,NA,24,Finfish
Clinocardium nuttallii,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,26,Molluscs
Clupea harengus,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,27,Finfish
Clupea harengus,NA,NA,fi244,NA,47.7,0.88,0.44,NA,NA,NA,27,Finfish
Clupea harengus,NA,NA,fi244,NA,23.8,0.87,0.5,NA,NA,NA,27,Finfish
Clupea harengus,NA,NA,fi74,NA,NA,NA,NA,0.205817752,0.679594407,NA,27,Finfish
Clupea harengus,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,27,Finfish
Clupea harengus,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,27,Finfish
Clupea harengus,NA,NA,fi119,NA,NA,NA,NA,NA,NA,NA,27,Finfish
Clupea harengus,NA,NA,fi119,NA,NA,NA,NA,NA,NA,NA,27,Finfish
Clupea harengus,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,27,Finfish
Clupea harengus,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,27,Finfish
Clupea harengus,NA,NA,fi146,NA,NA,NA,NA,0.146682,0.32103,NA,27,Finfish
Clupea harengus,NA,NA,DK7,NA,50,1.3,0.85,2.8,2.52,NA,27,Finfish
Clupea harengus,NA,NA,DK7,NA,50,1.3,0.85,0.583,1.34,NA,27,Finfish
Clupea harengus,NA,NA,SR27,NA,57,1.1,0.99,0.709,0.862,NA,27,Finfish
Clupea pallasii,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,28,Finfish
Clupea pallasi,NA,NA,fi59,NA,NA,NA,NA,0.866548276,0.850684692,NA,28,Finfish
Clupea pallasii,NA,NA,SR27,NA,83,1.12,0.53,0.969,0.689,NA,28,Finfish
Coregonus artedi,NA,NA,SR27,NA,12,0.4,0.37,0.095,0.257,NA,29,Finfish
Coregonus clupeaformis,NA,NA,fi4,NA,7,0.23,0.4,NA,NA,NA,31,Finfish
Coregonus clupeaformis,NA,NA,fi4,NA,5,0.3,0.6,NA,NA,NA,31,Finfish
Coregonus clupeaformis,NA,NA,fi4,NA,5,0.2,0.4,NA,NA,NA,31,Finfish
Crassostrea virginica,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,35,Molluscs
Crassostrea virginica,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,35,Molluscs
Crassostrea virginica,NA,NA,SR27,NA,59,4.61,39.3,0.177,0.136,NA,35,Mollusc
Crassostrea virginica,NA,NA,SR27,NA,44,5.78,37.92,0.188,0.203,NA,35,Mollusc
Cyclopterus lumpus,NA,NA,im11,NA,7.9,0.46,0.61,NA,NA,NA,37,Finfish
Cyclopterus lumpus,NA,NA,im11,NA,16,0.34,1.35,NA,NA,NA,37,Finfish
Cyclopterus lumpus,NA,NA,im11,NA,4.5,1.93,2.61,NA,NA,NA,37,Finfish
Cyclopterus lumpus,NA,NA,im11,NA,NA,NA,NA,0.922597746,1.582811631,NA,37,Finfish
Cyclopterus lumpus,NA,NA,im11,NA,NA,NA,NA,0.716296458,1.111066476,NA,37,Finfish
Cyclopterus lumpus,NA,NA,im11,NA,NA,NA,NA,0.790729074,1.095857717,NA,37,Finfish
Cyclopterus lumpus,NA,NA,im11,NA,NA,NA,NA,1.988751156,2.012968768,NA,37,Finfish
Cyclopterus lumpus,NA,NA,im11,NA,NA,NA,NA,1.436085114,1.522607588,NA,37,Finfish
Cyclopterus lumpus,NA,NA,im11,NA,NA,NA,NA,1.39754671,1.463037526,NA,37,Finfish
Cyclopterus lumpus,NA,NA,DK7,NA,20,0.5,NA,1.1,0.944,NA,37,Finfish
Cyprinus carpio,NA,NA,fi17,NA,NA,NA,NA,NA,0.014040524,NA,38,Finfish
Cyprinus carpio,NA,NA,fi41,NA,NA,NA,NA,NA,NA,NA,38,Finfish
Cyprinus carpio,NA,NA,fi44,NA,NA,NA,NA,NA,NA,NA,38,Finfish
Cyprinus carpio,NA,NA,fi75,NA,NA,NA,NA,0.1597524,0.2380624,NA,38,Finfish
Cyprinus carpio,NA,NA,fi16,NA,NA,NA,1.25,NA,NA,NA,38,Finfish
Cyprinus carpio,NA,NA,fi27,NA,NA,NA,NA,0.171254403,NA,NA,38,Finfish
Cyprinus carpio,NA,NA,fi32,NA,52,0.6,0.9,NA,NA,NA,38,Finfish
Cyprinus carpio,NA,NA,fi32,NA,69,0.6,0.9,NA,NA,NA,38,Finfish
Cyprinus carpio,NA,NA,fi34,NA,NA,NA,NA,0.039733144,0.055667084,NA,38,Finfish
Cyprinus carpio,NA,NA,fi47,NA,NA,NA,NA,0.011632,0.05816,NA,38,Finfish
Cyprinus carpio,NA,NA,fi71,NA,NA,NA,0.165168,NA,NA,NA,38,Finfish
Cyprinus carpio,NA,NA,SR27,NA,41,1.24,1.48,0.238,0.114,NA,38,Finfish
Esox lucius,NA,NA,fi41,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi4,NA,7,0.1,1.1,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi4,NA,8,0.1,1,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi26,NA,11.8859,0.10481,0.62663,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi26,NA,10.6455,0.106455,0.613815,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi26,NA,10.4566,0.08624,1.155616,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi110,NA,NA,NA,NA,0.008528929,0.035752452,NA,44,Finfish
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,DK7,NA,50,0.3,0.96,NA,NA,NA,44,Finfish
Esox lucius,NA,NA,SR27,NA,57,0.55,0.67,0.033,0.074,NA,44,Finfish
Gadus macrocephalus,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,49,Finfish
Gadus macrocephalus,NA,NA,fi30,NA,NA,NA,NA,0.054679898,0.144061265,NA,49,Finfish
Gadus macrocephalus,NA,NA,fi125,NA,10.8,0.2099,0.416,NA,NA,NA,49,Finfish
Gadus macrocephalus,NA,NA,fi125,NA,11.3,0.165,0.3627,NA,NA,NA,49,Finfish
Gadus macrocephalus,NA,NA,fi125,NA,13.3,0.1581,0.3731,NA,NA,NA,49,Finfish
Gadus macrocephalus,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,49,Finfish
Gadus macrocephalus,NA,NA,SR27,NA,8,0.16,0.31,0.034,0.096,NA,49,Finfish
Gadus morhua,NA,NA,fi74,NA,NA,NA,NA,0.004089305,0.027430143,NA,50,Finfish
Gadus morhua,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,fi45,NA,NA,NA,NA,0.028,0.075,NA,50,Finfish
Gadus morhua,NA,NA,fi244,NA,1.6,0.5,0.37,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,fi122,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,fi146,NA,NA,NA,NA,0.063226,0.152914,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,8.7,0.12,0.34,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,8.2,0.66,4.27,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,0.05697345,0.129272235,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,0.057327117,0.14931632,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,0.073775946,0.18396877,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,im11,NA,NA,NA,NA,NA,NA,NA,50,Finfish
Gadus morhua,NA,NA,DK7,NA,15,0.2,0.38,0.132,0.132,NA,50,Finfish
Gadus morhua,NA,NA,DK7,NA,10,4,1.94,6.41,4.76,NA,50,Finfish
Gadus morhua,NA,NA,DK7,NA,10,1.5,2.2,0.345,0.575,NA,50,Finfish
Gadus morhua,NA,NA,SR27,NA,16,0.38,0.45,0.064,0.12,NA,50,Finfish
Hippoglossus hippoglossus,NA,NA,fi77,NA,NA,NA,NA,0.016,0.033,NA,55,Finfish
Hippoglossus hippoglossus,NA,NA,fi78,NA,NA,NA,NA,NA,NA,NA,55,Finfish
Hippoglossus hippoglossus,NA,NA,fi361,NA,4.3,0.18,0.42,0.34,0.5,NA,55,Finfish
Hippoglossus hippoglossus,NA,NA,DK7,NA,15,0.5,0.5,0.187,0.272,NA,55,Finfish
Hippoglossus stenolepis,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,56,Finfish
Homarus americanus,NA,NA,fi159,NA,47.3,0.23,2.9,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi159,NA,29.3,2.9,3.1,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi159,NA,17.3,1.2,1.7,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi190,NA,NA,NA,NA,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi190,NA,NA,NA,NA,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi190,NA,NA,NA,NA,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi190,NA,NA,NA,NA,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,fi190,NA,NA,NA,NA,NA,NA,NA,57,Crustacean
Homarus americanus,NA,NA,DK7,NA,48,0.3,4.6,0.251,0.118,NA,57,Crustacean
Homarus americanus,NA,NA,SR27,NA,84,0.26,3.53,0.102,0.068,NA,57,Crustacean
Hypomesus pretious,NA,NA,fi59,NA,NA,NA,NA,0.35548449,0.56855524,NA,60,Finfish
Ictalurus punctatus,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,62,Finfish
Ictalurus punctatus,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,62,Finfish
Ictalurus punctatus,NA,NA,SR27,NA,14,0.3,0.51,0.13,0.234,NA,62,Finfish
Lepidopsetta bilineata,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,65,Finfish
Lepidopsetta bilineata,NA,NA,fi146,NA,NA,NA,NA,0.174717,0.111537,NA,65,Finfish
Lepomis gibbosus,NA,NA,SR27,NA,80,1.2,1.55,0.037,0.072,NA,67,Finfish
Lota lota,NA,NA,fi26,NA,11.5947,0.146668,0.82253,NA,NA,NA,70,Finfish
Lota lota,NA,NA,fi141,NA,NA,NA,NA,NA,NA,NA,70,Finfish
Lota lota,NA,NA,DK7,NA,38,0.4,0.53,NA,NA,NA,70,Finfish
Lota lota,NA,NA,SR27,NA,50,0.9,0.76,0.07,0.096,NA,70,Finfish
Mallotus villosus,NA,NA,fi59,NA,NA,NA,NA,0.36230105,0.45922235,NA,71,Finfish
Mallotus villosus,NA,NA,im11,NA,39,0.16,2.3,NA,NA,NA,71,Finfish
Melanogrammus aeglefinus,NA,NA,fi45,NA,NA,NA,NA,0.018,0.06,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,fi244,NA,9.2,0.28,0.32,NA,NA,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,fi105,NA,NA,NA,NA,NA,NA,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,im11,NA,7.8,0.11,0.29,NA,NA,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,im11,NA,NA,NA,NA,0.060220439,0.137400308,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,im11,NA,NA,NA,NA,0.044520072,0.115993934,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,im11,NA,NA,NA,NA,0.057734954,0.117637353,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,im11,NA,NA,NA,NA,NA,NA,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,DK7,NA,18,0.6,0.3,0.129,0.387,NA,72,Finfish
Melanogrammus aeglefinus,NA,NA,SR27,NA,11,0.17,0.32,0.042,0.089,NA,72,Finfish
Merluccius productus,NA,NA,fi59,NA,NA,NA,NA,0.069467419,0.118810272,NA,75,Finfish
Merluccius productus,NA,NA,fi125,NA,9.2,0.2579,0.3969,NA,NA,NA,75,Finfish
Merluccius productus,NA,NA,fi125,NA,10.4,0.2437,0.3052,NA,NA,NA,75,Finfish
Merluccius productus,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,75,Finfish
Micropogonias undulatus,NA,NA,SR27,NA,15,0.37,0.42,0.123,0.097,NA,78,Finfish
Microstomus pacificus,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,81,Finfish
Microstomus pacificus,NA,NA,fi36,NA,NA,NA,NA,0.08,0.09,NA,81,Finfish
Microstomus pacificus,NA,NA,fi125,NA,11.5,0.1984,0.3428,NA,NA,NA,81,Finfish
Microstomus pacificus,NA,NA,fi125,NA,11.9,0.1795,0.3179,NA,NA,NA,81,Finfish
Microstomus pacificus,NA,NA,fi125,NA,20.2,0.256,0.5056,NA,NA,NA,81,Finfish
Microstomus pacificus,NA,NA,fi156,NA,NA,NA,NA,NA,NA,NA,81,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.108376051,0.137723084,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.116950645,0.127684165,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.109320718,0.092059552,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.153419175,0.2022475,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.030294607,0.039406969,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.202316218,0.217035819,NA,83,Finfish
Morone saxatilis,NA,NA,fi132,NA,NA,NA,NA,0.144192955,0.0885191,NA,83,Finfish
Morone saxatilis,NA,NA,SR27,NA,15,0.84,0.4,0.169,0.585,NA,83,Finfish
Mugil cephalus,NA,NA,fi98,NA,15.7,0.8,2.2,NA,NA,NA,84,Finfish
Mugil cephalus,NA,NA,fi66,NA,NA,NA,NA,0.18973185,0.138955993,NA,84,Finfish
Mugil cephalus,NA,NA,fi67,NA,NA,NA,NA,0.170965683,0.086497201,NA,84,Finfish
Mugil cephalus,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,84,Finfish
Mugil cephalus,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,84,Finfish
Mugil cephalus,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,84,Finfish
Mugil cephalus,NA,NA,fi80,NA,NA,NA,NA,NA,NA,NA,84,Finfish
Mugil cephalus,NA,NA,SR27,NA,41,1.02,0.52,0.217,0.108,NA,84,Finfish
Mytilus edulis,NA,NA,DK7,NA,30,7.7,3.4,0.209,0.085,NA,90,Mollusc
Mytilus edulis,NA,NA,SR27,NA,26,3.95,1.6,0.188,0.253,NA,90,Mollusc
Oncorhynchus gorbuscha,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,95,Finfish
Oncorhynchus gorbusha,NA,NA,fi59,NA,NA,NA,NA,0.289409995,0.68509049,NA,95,Finfish
Oncorhynchus gorbusha,NA,NA,fi84,NA,NA,NA,NA,0.166696,0.328416,NA,95,Finfish
Oncorhynchus gorbuscha,NA,NA,SR27,NA,7,0.38,0.39,0.182,0.333,NA,95,Finfish
Oncorhynchus keta,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,96,Finfish
Oncorhynchus keta,NA,NA,SR27,NA,11,0.55,0.47,0.233,0.394,NA,96,Finfish
Oncorhynchus kisutch,NA,NA,fi195,NA,NA,NA,NA,NA,NA,NA,97,Finfish
Oncorhynchus kisutch,NA,NA,fi120,NA,NA,NA,NA,NA,NA,NA,97,Finfish
