culture,n_species
Abenaki,26
Bella Coola,35
Central Salish,38
Cree,25
Haida,32
Inuit-Inupiaq,47
Kwakiutl,35
Micmac,48
Montagnais-Naskapi,23
Nootkan,42
Tlingit,45
Tsimshian,35
Wampanoag,30
Yupik,36
