species_no,q2.5,q97.5,mean,dataset
1,388.95707596227584,450.98568015239414,420.4105549975061,WA
1.1,383.7213225324181,441.0009129379014,412.661340381162,WA
1.2,378.36357973221413,431.8738958990967,405.7138545973206,WA
1.3,374.0273804413598,424.071423335348,399.42795213383033,WA
1.4,369.7969648068436,417.0185940088406,393.69651528421485,WA
1.5,365.58076066543833,410.3134709494169,388.4359353597888,WA
1.6,361.9359067918104,404.16962286781353,383.5797733087338,WA
1.7000000000000002,358.5708606577317,398.39845017395356,379.0744096687891,WA
1.8,355.38018387297416,393.08926309817423,374.87598173631955,WA
1.9,352.46401144511844,388.2966669259374,370.94817816467275,WA
2,349.72716168224923,383.88676740052097,367.2606193645207,WA
2.1,346.6886066937004,379.56702392349206,363.7876471657798,WA
2.2,344.2785016564782,375.83369915690866,360.5074061302648,WA
2.3,341.73197041543943,372.43202633795164,357.4011364205628,WA
2.4000000000000004,339.43832122232214,368.90443571334674,354.45262259413886,WA
2.5,337.1727602200872,365.4164116811953,351.6477589907882,WA
2.6,334.94528079969183,362.17709337431603,348.9742034540628,WA
2.7,332.85471418178395,359.4979392969503,346.4210987830285,WA
2.8,330.8775967274715,356.77576024234236,343.97884668979725,WA
2.9000000000000004,328.9428738563903,354.02655919591086,341.6389228737979,WA
3,327.09609193014035,351.42379321315775,339.39372459589,WA
3.1,325.1668114615283,349.2517125317687,337.2364441641649,WA
3.2,323.2396366707444,347.0663068483911,335.1609632452216,WA
3.3000000000000003,321.19310619593927,345.0144169492866,333.1617640386222,WA
3.4000000000000004,319.34879190711075,343.08792568438093,331.23385420170206,WA
3.5,317.63192144659035,341.1469996114741,329.372703059952,WA
3.6,315.8931657896833,339.3655734173017,327.57418713689117,WA
3.7,314.2051347271861,337.54357077995326,325.8345434242639,WA
3.8000000000000003,312.3276106187522,335.95014045986414,324.15032911589657,WA
3.9000000000000004,310.96144859547456,334.2731326742418,322.5183867667601,WA
4,309.4673417907181,332.76853605750034,320.9358140276524,WA
4.1,307.96760082756856,331.2810075496811,319.39993725662157,WA
4.2,306.5312762474948,329.8774428613687,317.9082884292428,WA
4.300000000000001,305.05202487348316,328.38666588941203,316.45858486755503,WA
4.4,303.59832388715597,326.88206040033236,315.04871138678135,WA
4.5,302.34635920024175,325.6190082142409,313.67670452368327,WA
4.6,300.9706661034192,324.5130187870443,312.3407385634874,WA
4.7,299.6481899333637,323.19972632182777,311.03911312606425,WA
4.800000000000001,298.2368105691415,321.8349455989667,309.770242108245,WA
4.9,297.04243578408744,320.8720064391843,308.5326438092572,WA
5,295.83205823128066,319.81088188260287,307.32493209138,WA
5.1000000000000005,294.5335914149911,318.6220169155887,306.1458084489655,WA
5.2,293.3011412127705,317.5265691822561,304.99405487667804,WA
5.3,291.9299787631685,316.5220189359067,303.8685274427419,WA
5.4,290.61514962487644,315.4488514543124,302.7681504856469,WA
5.5,289.5985415489188,314.39891544891054,301.69191136351424,WA
5.6000000000000005,288.3803280334041,313.4375078428814,300.63885569449457,WA
5.7,287.24010759278957,312.4805667386763,299.6080830344105,WA
5.800000000000001,286.0615708222771,311.5410473426318,298.5987429445788,WA
5.9,284.90601368191255,310.6554977227196,297.6100314085311,WA
6,283.7765062689119,309.78735684814404,296.6411875613392,WA
6.1000000000000005,282.67003702679455,308.87673917395375,295.69149069956336,WA
6.2,281.5857697653332,307.9791781042858,294.7602575435791,WA
6.300000000000001,280.52291151506284,307.10740898843096,293.84683972728845,WA
6.4,279.4809767857968,306.2560964396661,292.9506214930501,WA
6.5,278.485953140216,305.4964830548923,292.0710175721328,WA
6.6000000000000005,277.5050536779609,304.7937788799243,291.20747123315965,WA
6.7,276.52517661779035,304.10208422758967,290.35945248290506,WA
6.800000000000001,275.56595440657605,303.41966569056234,289.5264564054722,WA
6.9,274.6849523463614,302.74684031201787,288.7080016273448,WA
7,273.77659227221,302.08253113827425,287.9036288971021,WA
7.1000000000000005,272.88405754871496,301.42017475886433,287.11289976972705,WA
7.2,272.00663218691585,300.7078308459758,286.3353953864525,WA
7.300000000000001,271.1039439948361,300.02082694979384,285.57071534198684,WA
