species_no,dataset,mean,median,grams_required_10_std.error,pool_size
1,Abenaki,657.2208379804384,500,14.553377657437682,NA
1,Bella Coola,562.6207782173088,410.11619958988376,13.376276912523199,NA
1,Central Salish,614.6739946669215,500,13.022101789542669,NA
1,Cree,509.09731646813725,487.1794871794872,8.211553132369183,NA
1,Haida,582.667001671675,454.5454545454546,13.34018129127022,NA
1,Inuit-Inupiaq,582.1919113747853,487.1794871794872,12.751384831919504,NA
1,Kwakiutl,564.6473330460029,410.11619958988376,13.104593803495364,NA
1,Micmac,602.7207284534179,470.5882352941177,13.478751140526294,NA
1,Montagnais-Naskapi,531.7635280557909,494.50549450549454,8.085974921508031,NA
1,Nootkan,590.9237906606519,470.5882352941177,13.898334945407033,NA
1,Tlingit,542.2263210848294,430.9312903998085,12.160962499643395,NA
1,Tsimshian,613.9586956212995,470.5882352941177,14.002297919949742,NA
1,Wampanoag,571.836737059468,454.5454545454546,13.965503228522495,NA
1,Yupik,597.9177563577825,487.1794871794872,12.746177115786942,NA
2,Abenaki,477.78990210084226,393.44262295081967,3.655213590711627,NA
2,Bella Coola,393.9679585641278,343.9655172413793,3.1889561174503487,NA
2,Central Salish,450.2335159213898,381.7097415506958,3.4293556260455906,NA
2,Cree,410.9233725176237,363.6363636363636,2.6713536196736305,NA
2,Haida,420.37339353236206,367.11281070745696,3.2552654235407816,NA
2,Inuit-Inupiaq,424.5639435141323,366.66666666666663,3.429951191845234,NA
2,Kwakiutl,400.52759400479073,350.3649635036496,3.23255501753575,NA
2,Micmac,437.6911668280172,374.99999999999994,3.4896217926376822,NA
2,Montagnais-Naskapi,442.96737721161116,397.5155279503105,2.5716001589355875,NA
2,Nootkan,415.0506519254765,354.7671840354767,3.5614505183483725,NA
2,Tlingit,395.5324128707251,346.1538461538462,3.0390147034785486,NA
2,Tsimshian,430.85543157754387,371.3746969560923,3.565777064925461,NA
2,Wampanoag,391.82126771700797,331.4158588908311,3.331963200711924,NA
2,Yupik,439.191932261089,378.698224852071,3.1285857797062615,NA
3,Abenaki,434.28911891709924,395.23212045169385,1.560395078979669,NA
3,Bella Coola,349.88611173270203,317.53031973539134,1.3801039526824257,NA
3,Central Salish,400.57993514931746,367.97274275979555,1.5888826676138637,NA
3,Cree,371.57981576355473,342.0350178708773,1.2735565514550342,NA
3,Haida,379.1561460149504,353.46097201767304,1.4447088436069278,NA
3,Inuit-Inupiaq,375.6677488807226,343.40222575516697,1.5715626869792192,NA
3,Kwakiutl,355.856517472518,322.9699565683309,1.4319631751693778,NA
3,Micmac,391.6809221842954,351.219512195122,1.5789788248006063,NA
3,Montagnais-Naskapi,409.87705336514637,380.54968287526424,1.2019740064813211,NA
3,Nootkan,365.58627822437353,328.54923663516604,1.6017988247866843,NA
3,Tlingit,353.4023668478965,321.1418376449598,1.3622676009733876,NA
3,Tsimshian,380.8698219450275,344.49760765550235,1.5517051913958515,NA
3,Wampanoag,345.4137004563013,310.34482758620686,1.4383801834829633,NA
3,Yupik,398.1097147278321,365.94663278271923,1.4104677154944176,NA
4,Abenaki,416.34924963378523,387.61776581426653,0.9240083278210718,NA
4,Bella Coola,329.4802944484748,308.20103768280285,0.8367475944505315,NA
4,Central Salish,375.0582445602739,354.41791779473294,1.010862718747061,NA
4,Cree,351.9645746685688,328.1727163880331,0.795682596998847,NA
4,Haida,360.43822498018244,347.8323883820617,0.913121482094346,NA
4,Inuit-Inupiaq,350.5436140414432,332.1799307958478,0.9934008439925806,NA
4,Kwakiutl,334.87790363612316,312.15644983974113,0.8892776173992313,NA
4,Micmac,371.24200505870556,340.989817665167,0.9828730923093465,NA
4,Montagnais-Naskapi,394.25104181439457,372.02573401457016,0.7390321396556987,NA
4,Nootkan,341.14256562832827,321.69785076609486,1.0047866871256967,NA
4,Tlingit,333.0598970353565,312.19270468225,0.8541316992011351,NA
4,Tsimshian,358.459960120067,337.7902885292048,0.953207142610894,NA
4,Wampanoag,324.07967937802573,302.63908514985894,0.8864640315736053,NA
4,Yupik,380.19926280481434,355.3625199910784,0.8696222953901468,NA
5,Abenaki,406.6304539115296,385.4389721627409,0.6968617565833362,NA
5,Bella Coola,317.4904046201689,303.0813268226974,0.649752373062412,NA
5,Central Salish,358.67184613220047,344.1682600382409,0.8173706716903288,NA
5,Cree,340.7781300540656,321.46301389434586,0.6236866704000499,NA
5,Haida,349.3561958655149,340.4545148393963,0.7381786700680948,NA
5,Inuit-Inupiaq,334.29802219427893,321.55506831088167,0.8042417665347862,NA
5,Kwakiutl,322.4122441112749,305.03304524656835,0.7038187280195429,NA
5,Micmac,359.95483204589823,334.43484639830916,0.7807150007663536,NA
5,Montagnais-Naskapi,385.6836243103002,368.7768899815611,0.5703896707155718,NA
5,Nootkan,325.6407642477582,314.34184675834973,0.8121309061723547,NA
5,Tlingit,320.54646734081143,305.2636175183057,0.6871724862986899,NA
5,Tsimshian,345.5181788937244,330.8211858641635,0.7509321450982814,NA
5,Wampanoag,311.06558154919486,298.01324503311264,0.7057046653566146,NA
5,Yupik,370.49747685328464,348.8316164699344,0.6796629557581846,NA
6,Abenaki,400.55034098409396,383.318544809228,0.6509083033223347,NA
6,Bella Coola,309.51021094288376,300.08231424954147,0.6246459221127318,NA
6,Central Salish,346.9328219487844,335.7929964432594,0.8143404342443659,NA
6,Cree,333.7203529049939,317.04580530694113,0.6012296735638197,NA
6,Haida,342.0001456242379,336.09574024143797,0.7353735263522283,NA
6,Inuit-Inupiaq,322.525283574029,314.07674530072643,0.8056185595974589,NA
6,Kwakiutl,314.1185116085223,300.1184495756393,0.6863915394681056,NA
6,Micmac,352.92402554817244,331.0344827586207,0.768950890806764,NA
6,Montagnais-Naskapi,380.3563051134609,367.53632547268705,0.5413304851455002,NA
6,Nootkan,314.3398492929297,308.3511777301927,0.8193598638421201,NA
6,Tlingit,311.9314625375286,302.46170313615323,0.685249997803038,NA
6,Tsimshian,337.0531934296491,324.77854065455784,0.7336591666413483,NA
6,Wampanoag,302.0793212531095,295.0819672131148,0.6973381382671197,NA
6,Yupik,364.5238235207151,345.71695117081254,0.6555916006219424,NA
7,Abenaki,396.38664514553557,383.56164383561645,0.7492190838488407,NA
