Length,AgeMatMin,DepthRangeDeep,part,bulk_trophic_level,EnvTemp,feeding_mode,nutrient,BodyShapeI,concentration,feeding_level,species1,DemersPelag,common_name
152,3,464,NA,3.62,subtropical,hunting macrofauna (predator),fapun_all_g,eel-like,0.88632,mainly animals (troph. 2.8 and up),Anguilla rostrata,demersal,NA
98.00000000000004,5,2740,NA,4.11,deep-water,hunting macrofauna (predator),fapun_all_g,fusiform / normal,1.1,mainly animals (troph. 2.8 and up),Anoplopoma fimbria,bathydemersal,NA
110.00000000000004,3,2300,NA,4.48,deep-water,hunting macrofauna (predator),fapun_all_g,eel-like,0.2348,mainly animals (troph. 2.8 and up),Aphanopus carbo,bathypelagic,NA
110.00000000000004,3,2300,NA,4.48,deep-water,hunting macrofauna (predator),fapun_all_g,eel-like,0.20822145,mainly animals (troph. 2.8 and up),Aphanopus carbo,bathypelagic,NA
30.000000000000004,NA,NA,NA,3.5,NA,hunting macrofauna (predator),fapun_all_g,NA,2.7568464300000004,mainly animals (troph. 2.8 and up),Ariomma bondi,NA,NA
30.000000000000004,NA,NA,NA,3.5,NA,hunting macrofauna (predator),fapun_all_g,NA,2.4245312,mainly animals (troph. 2.8 and up),Ariomma bondi,NA,NA
69.00000000000001,5,950,NA,4.010000229,polar,hunting macrofauna (predator),fapun_all_g,short and / or deep,0.853356147,mainly animals (troph. 2.8 and up),Atheresthes stomias,demersal,NA
19.999999999999996,1,NA,NA,3.22,subtropical,hunting macrofauna (predator),fapun_all_g,NA,1.49897312,plants/detritus+animals (troph. 2.2-2.79),Atherina boyeri,NA,NA
19.999999999999996,1,NA,NA,3.22,subtropical,hunting macrofauna (predator),fapun_all_g,NA,0.35052096,plants/detritus+animals (troph. 2.2-2.79),Atherina boyeri,NA,NA
126.99999999999999,3,80,NA,4.08,tropical,hunting macrofauna (predator),fapun_all_g,fusiform / normal,2.3776885,mainly animals (troph. 2.8 and up),Bagrus docmak,benthopelagic,NA
126.99999999999999,3,80,NA,4.08,tropical,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.13,mainly animals (troph. 2.8 and up),Bagrus docmak,benthopelagic,NA
126.99999999999999,3,80,NA,4.08,tropical,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.13048000000000004,mainly animals (troph. 2.8 and up),Bagrus docmak,benthopelagic,NA
56.50000000000001,NA,NA,NA,3.45,NA,hunting macrofauna (predator),fapun_all_g,NA,0.100764925,mainly animals (troph. 2.8 and up),Balistes capriscus,NA,NA
88.99999999999999,2,NA,NA,4.5,temperate,hunting macrofauna (predator),fapun_all_g,NA,3.667559918,mainly animals (troph. 2.8 and up),Belone belone,NA,NA
30.000000000000004,NA,NA,NA,3.11,NA,selective plankton feeding,fapun_all_g,NA,0.894608,mainly animals (troph. 2.8 and up),Boops boops,NA,NA
30.000000000000004,NA,NA,NA,3.11,NA,selective plankton feeding,fapun_all_g,NA,0.20869420000000002,mainly animals (troph. 2.8 and up),Boops boops,NA,NA
30.000000000000004,NA,NA,NA,3.11,NA,selective plankton feeding,fapun_all_g,NA,0.24498521,mainly animals (troph. 2.8 and up),Boops boops,NA,NA
44.99999999999999,NA,NA,NA,3.369999886,NA,hunting macrofauna (predator),fapun_all_g,NA,0.155972461,mainly animals (troph. 2.8 and up),Bothus podas,NA,NA
70.00000000000003,NA,NA,NA,3.63,NA,hunting macrofauna (predator),fapun_all_g,NA,2.103981028,mainly animals (troph. 2.8 and up),Caranx crysos,NA,NA
70.00000000000003,NA,NA,NA,3.63,NA,hunting macrofauna (predator),fapun_all_g,NA,0.26733,mainly animals (troph. 2.8 and up),Caranx crysos,NA,NA
226.00000000000009,4,100,NA,4.46,subtropical,hunting macrofauna (predator),fapun_all_g,fusiform / normal,0.13,mainly animals (troph. 2.8 and up),Carcharhinus limbatus,reef-associated,NA
164.00000000000006,NA,NA,NA,4.4,NA,hunting macrofauna (predator),fapun_all_g,NA,0.423825743,mainly animals (troph. 2.8 and up),Centrophorus squamosus,NA,NA
