number_of_species,mean_targets,low,high
1,1.61432,1.428325,1.843775
2,2.06845,1.7874,2.4285249999999996
3,2.40622,2.076,2.7704999999999997
4,2.6633,2.2890999999999995,3.034
5,2.8602,2.4589999999999996,3.2807249999999994
6,3.01236,2.591025,3.4812250000000002
7,3.13802,2.68995,3.6617749999999996
8,3.2403399999999998,2.753525,3.8011749999999997
9,3.32594,2.8079,3.9301499999999994
10,3.39874,2.8482000000000003,4.0188999999999995
