FEve,replicate
0.7991749458030721,10.Community1
0.7868273076156488,100.Community1
0.8400678669340604,1000.Community1
0.7918707075148222,101.Community1
0.8149409504476349,102.Community1
0.8239976938055479,103.Community1
0.7893808064377091,104.Community1
0.8480726613184326,105.Community1
0.7964366805357838,106.Community1
0.7716558348335139,107.Community1
0.7915538199694212,108.Community1
0.7501012789875223,109.Community1
0.7730582107243315,11.Community1
0.8061036546512176,110.Community1
0.8214219541728471,111.Community1
0.782004261284688,112.Community1
0.8115663758881659,113.Community1
0.8176419025033744,114.Community1
0.7695215896967376,115.Community1
0.7661789544697151,116.Community1
0.7952738370249601,117.Community1
0.7354220141588552,118.Community1
0.8105867879833211,119.Community1
0.7852672025767667,12.Community1
0.7855769829400623,120.Community1
0.7829380307744044,121.Community1
0.7654150458302241,122.Community1
0.8273680078224122,123.Community1
0.7878044520385371,124.Community1
0.8024458494053924,125.Community1
0.8133267723389802,126.Community1
0.7806877124344154,127.Community1
0.7846608632257065,128.Community1
0.790139483398281,129.Community1
0.7541072386999902,13.Community1
0.7728403168358643,130.Community1
0.7932164359632666,131.Community1
0.7850971554992444,132.Community1
0.8033824293751017,133.Community1
0.7683254683500017,134.Community1
0.7870877686869283,135.Community1
0.78713294488747,136.Community1
0.8109117154671261,137.Community1
0.7659235543453635,138.Community1
0.8281142634428087,139.Community1
0.820095282090383,14.Community1
0.8225788681405857,140.Community1
0.8198320439544476,141.Community1
0.7714403765341636,142.Community1
0.8209765557613826,143.Community1
0.8082033826727972,144.Community1
0.8035320944459511,145.Community1
0.820334962396118,146.Community1
0.8294749991688338,147.Community1
0.7659156493633362,148.Community1
0.7681855366774251,149.Community1
0.79751981771275815,15.Community1
0.8034160232529785,150.Community1
0.8024287197152857,151.Community1
0.7834225076225305,152.Community1
0.7559003734712096,153.Community1
0.8061523789542968,154.Community1
0.7635822951800666,155.Community1
0.82002456706883,156.Community1
0.7585635504517833,157.Community1
0.7696895021406822,158.Community1
0.7991418758039622,159.Community1
0.8459282234505959,16.Community1
0.8028501951146864,160.Community1
0.7512565136429504,161.Community1
0.8031648160186348,162.Community1
0.782245762172842,163.Community1
0.8322396308665022,164.Community1
0.7927648304630424,165.Community1
0.7527754007925633,166.Community1
0.8043025890266194,167.Community1
0.7853640864931312,168.Community1
0.7891609285697448,169.Community1
0.7923859855910171,17.Community1
0.7546458734860042,170.Community1
0.7789771808530688,171.Community1
0.7980021834681573,172.Community1
0.7914945777730424,173.Community1
0.8147349727403458,174.Community1
0.820466997412172,175.Community1
0.8003766343179723,176.Community1
0.7544973986594888,177.Community1
0.7905202722990645,178.Community1
0.7912627092394244,179.Community1
0.7789165208672036,18.Community1
0.7798026235784277,180.Community1
0.7883103993152915,181.Community1
0.7795208657119457,182.Community1
0.8050543047999663,183.Community1
0.7776581096937234,184.Community1
0.7803584373545676,185.Community1
0.8268970723240585,186.Community1
0.7591671107645689,187.Community1
0.7715288157533802,188.Community1
0.8302766935053459,189.Community1
0.7791779109102214,19.Community1
0.7830952385949298,190.Community1
0.8305130780274212,191.Community1
0.8110625589207154,192.Community1
0.8250505678034602,193.Community1
0.7988419282191015,194.Community1
0.8348970349552162,195.Community1
0.8442217823099539,196.Community1
0.8284247089675241,197.Community1
0.7809910483534197,198.Community1
0.8208478204458359,199.Community1
0.7833448271491974,2.Community1
0.8087736639817605,20.Community1
0.7623280753745798,200.Community1
0.8381137095897645,201.Community1
0.7855330448755394,202.Community1
0.8174385934261993,203.Community1
0.7672273614392243,204.Community1
0.758772404696228,205.Community1
0.770933033909986,206.Community1
0.8176327896544626,207.Community1
0.8029332109608271,208.Community1
0.7847648118668576,209.Community1
0.793703791010666,21.Community1
0.7949720768243319,210.Community1
0.834556204530724,211.Community1
0.8141627561471031,212.Community1
0.8251487074784952,213.Community1
0.7796810102879039,214.Community1
0.8240180327834529,215.Community1
0.7889553938878523,216.Community1
0.7758270102332646,217.Community1
0.8174576478184776,218.Community1
0.8239750896699535,219.Community1
0.7661180402158464,22.Community1
0.7363669893875221,220.Community1
0.7988157439521497,221.Community1
0.811155301315761,222.Community1
0.7932630294929067,223.Community1
0.8344789077957961,224.Community1
0.8095482926391244,225.Community1
0.8260222838607838,226.Community1
0.8070008974822288,227.Community1
0.8207303452268655,228.Community1
0.7765974454708672,229.Community1
0.7829168415206992,23.Community1
0.8011897211961398,230.Community1
0.8005570754820299,231.Community1
0.7972943012208983,232.Community1
0.7840425772641815,233.Community1
0.8123545335924035,234.Community1
0.8242477227678074,235.Community1
0.8089171395348684,236.Community1
0.8007532542556435,237.Community1
0.815191554367358,238.Community1
0.8205714600931231,239.Community1
0.7616605792756561,24.Community1
0.7496342945144171,240.Community1
0.8174229113426327,241.Community1
0.7880889144410583,242.Community1
0.7734983705453311,243.Community1
0.7993492983127006,244.Community1
0.8026166537529256,245.Community1
0.8264146215111381,246.Community1
0.8139065232323982,247.Community1
