median,lower,upper,nutrient
-0.20679732678160495,-0.21284561334894975,-0.20020573089503493,DHA
-0.2495020910871955,-0.25987712055223555,-0.2367418085040361,EPA
-0.43168442159197756,-0.46609215654898895,-0.4021249686998738,Calcium
-0.39754046875046106,-0.43085430912244543,-0.3589316089266796,Iron
-0.2087160272300678,-0.22960995183864263,-0.18808484261463704,Zinc
-0.48783068707974614,-0.4971207863249714,-0.4770975842213643,5 Micronutrients
0.009213162868259852,0.008556233076157336,0.010015355418215379,Protein
