Food Item ID,ISSCAAP,3-Alpha,Food name in English,Habitat,State of food,RefID,EDIBLE,EDIBLE,ENERC(kJ),ENERC(kcal),WATER(g),NT(g),PROTCNT(g),FAT(g),CHOAVLDF(g),FIBTG(g),CHOLE(mg),ASH(g),CA(mg),CU(mg),FE(mg),K(mg),MG(mg),NA(mg),P(mg),ZN(mg),ID(mcg),SE(mcg),RETOL(mcg),CARTB(mcg),CHOCAL(mcg),TOCPHA(mg),THIA(mg),RIBF(mg),NIAEQ(mg),NIA(mg),PANTAC(mg),VITB6C(mg),FOL(mcg),VITB12(mcg),VITC(mg),ALA(mg),ARG(mg),ASP(mg),CYS(mg),GLU(mg),GLY(mg),HIS(mg),ILE(mg),LEU(mg),LYS(mg),MET(mg),PHE(mg),PRO(mg),SER(mg),THR(mg),TRP(mg),TYR(mg),VAL(mg),XFA,FACID(g),FASAT(g),FAMS(g),FAPU(g),FAUN(g),FATRN(g),FAPUN3(g),FAPUN6(g),F4D0(g),F6D0(g),F8D0(g),F10D0(g),F12D0(g),F13D0(g),F14D0(g),F15D0(g),F16D0(g),F17D0(g),F18D0(g),F19D0(g),F20D0(g),F21D0(g),F22D0(g),F23D0(g),F24D0(g),F26D0(g),F30D0(g),F10D1(g),F14D1N7(g),F14D1(g),F15D1(g),F16D1N9(g),F16D1N7(g),F16D1N5(g),F16D1C(g),F16D1T(g),F16D1(g),F17D1N9(g),F17D1N7(g),F17D1C(g),F17D1(g),F18D1N11(g),F18D1CN9(g),F18D1TN9(g),F18D1N9(g),F18D1CN7(g),F18D1N7(g),F18D1N5(g),F18D1C(g),F18D1T(g),F18D1(g),F19D1(g),F20D1CN11(g),F20D1N11(g),F20D1CN9(g),F20D1N9(g),F20D1N7(g),F20D1C(g),F20D1(g),F22D1N11(g),F22D1N9(g),F22D1C(g),F22D1T(g),F22D1(g),F24D1N9(g),F24D1C(g),F24D1(g),F16D2N6(g),F16D2N4(g),F16D2(g),F17D2(g),F18D2CN6(g),F18D2N6(g),F18D2CLA(g),F18D2C(g),F18D2T(g),F18D2(g),F20D2N9(g),F20D2CN6(g),F20D2N6(g),F20D2C(g),F20D2(g),F22D2N6(g),F22D2(g),F16D3N3(g),F16D3(g),F18D3CN6(g),F18D3N6(g),F18D3N4(g),F18D3CN3(g),F18D3N3(g),F18D3(g),F20D3N9(g),F20D3CN6(g),F20D3N6(g),F20D3N3(g),F20D3(g),F22D3N6(g),F22D3(g),F16D4N3(g),F16D4C(g),F16D4(g),F18D4CN3(g),F18D4N3(g),F18D4(g),F20D4CN6(g),F20D4N6(g),F20D4N3(g),F20D4(g),F22D4CN6(g),F22D4N6(g),F22D4N3(g),F22D4(g),F20D5CN3(g),F20D5N3(g),F20D5(g),F21D5N3,F21D5(g),F22D5N6(g),F22D5CN3(g),F22D5N3(g),F22D5(g),F22D6CN3(g),F22D6N3(g),F22D6(g),F24D6N3(g),F24D6(g)
091069,12,TLN,"Nile tilapia, farmed, fillet w/o skin, steamed (China)",F,c,calc. from 091003,0.30,1,422,100,77.0,3.21,20.1,2.2,0,0,50,1.1,15,0.04,0.2,274,26,27,152,0.38,5.2,24,1,tr,21,0.93,0.03,0.04,6.4,2.9,0.55,0.16,11,1.00,tr,1220,1280,2300,220,3210,1040,470,929,1600,1810,593,809,757,812,949,210,680,969,0.87,1.89,0.63,0.67,0.57,0.02,,0.05,0.29,,,,,tr,,0.05,tr,0.44,0.01,0.11,,tr,tr,tr,0,tr,,,,,tr,,,,,,,0.09,,,,,,,,0.54,,,,,,0.54,,,,,,,,0.02,,,,,tr,,,0.01,,,,,,0.29,,,,0.29,,,,,0.06,,,,,,,,,,0.07,,,,,0.02,,,,,,,tr,tr,,,,0.04,,,,,,tr,tr,,,,,,0.03,,0.05,0.05,,
091130,12,TLN,"Nile tilapia, farmed, fillet w/o skin, boiled in recipe (China)",F,c,calc. from 091003,0.30,1,422,100,77.0,3.21,20.1,2.2,0,0,50,1.1,15,0.04,0.2,365,31,32,179,0.38,5.7,26,1,tr,21,0.93,0.03,0.06,7.5,4.0,0.66,0.20,13,1.1,tr,1220,1280,2300,220,3210,1040,470,929,1600,1810,593,809,757,812,949,210,680,969,0.87,1.89,0.63,0.67,0.57,0.02,,0.05,0.29,,,,,tr,,0.05,tr,0.44,0.01,0.11,,tr,tr,tr,0,tr,,,,,tr,,,,,,,0.09,,,,,,,,0.54,,,,,,0.54,,,,,,,,0.02,,,,,tr,,,0.01,,,,,,0.29,,,,0.29,,,,,0.06,,,,,,,,,,0.07,,,,,0.02,,,,,,,tr,tr,,,,0.04,,,,,,tr,tr,,,,,,0.03,,0.05,0.05,,
091191,12,TLN,"Nile tilapia, farmed, fillet w/o skin, grilled (China)",F,c,calc. from 091003,0.30,1,465,110,74.7,3.54,22.1,2.4,0,0,55,1.3,17,0.04,0.2,342,30,30,178,0.42,6.3,29,1,tr,23,1.0,0.04,0.05,7.8,3.9,0.76,0.23,13,1.2,tr,1340,1410,2530,242,3540,1150,517,1020,1760,1990,653,891,833,895,1050,231,748,1070,0.87,2.10,0.70,0.74,0.63,0.03,,0.06,0.32,,,,,tr,,0.06,tr,0.49,0.01,0.12,,tr,tr,tr,0,tr,,,,,tr,,,,,,,0.10,,,,,,,,0.60,,,,,,0.60,,,,,,,,0.03,,,,,tr,,,0.01,,,,,,0.32,,,,0.32,,,,,0.07,,,,,,,,,,0.08,,,,,0.03,,,,,,,tr,tr,,,,0.04,,,,,,tr,tr,,,,,,0.04,,0.05,0.05,,
091004,12,TLN,"Nile tilapia, dressed w/ head, raw (Bangladesh)",,r,"fi333, fi367, fi467, 091001, AF2-AAG15, SR27-15261",0.81,,448,106,76.7,3.12,19.5,3.1,0,0,,1.6,108,0.04,1.0,300,26,67,189,1.04,11,39,10,tr,20,0.95,0.03,0.1,5.6,2.2,0.68,0.21,13,1.6,tr,1190,1240,2230,214,3120,1010,457,904,1560,1760,576,787,736,790,923,204,661,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091070,12,TLN,"Nile tilapia, dressed w/ head, steamed (Bangladesh)",,c,calc. from 091004,0.81,,515,122,73.2,3.59,22.4,3.6,0,0,,1.8,124,0.04,0.9,259,25,65,184,1.20,11,40,10,tr,21,1.1,0.03,0.08,5.7,1.8,0.55,0.16,11,1.5,tr,1360,1430,2570,246,3590,1170,525,1040,1790,2020,662,905,846,908,1060,235,760,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091131,12,TLN,"Nile tilapia, dressed w/ head, boiled in recipe (Bangladesh)",,c,calc. from 091004,0.81,,515,122,73.2,3.59,22.4,3.6,0,0,,1.8,124,0.04,1.1,345,29,76,217,1.20,12.6,45,10,tr,21,1.1,0.03,0.11,6.3,2.4,0.66,0.20,13,1.7,tr,1360,1430,2570,246,3590,1170,525,1040,1790,2020,662,905,846,908,1060,235,760,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091192,12,TLN,"Nile tilapia, dressed w/ head, grilled (Bangladesh)",,c,calc. from 091004,0.81,,567,135,70.5,3.95,24.7,4.0,0,0,,2.0,136,0.04,1.0,323,29,72,215,1.32,13.9,49,11,tr,23,1.2,0.03,0.11,6.7,2.4,0.76,0.23,13,1.8,tr,1500,1570,2830,271,3950,1280,578,1140,1970,2230,730,997,931,1000,1170,258,837,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091005,12,TLN,"Nile tilapia, wild, fillet w/ bones, raw (Africa)",W,r,"fi023, fi028, fi038, fi100, fi118, fi278, fi445, 091001, SR27-15261",0.30,0.98,352,83,80.5,2.61,16.3,2.0,0,0,41,3.6,[883],0.3,[3],269,36,72,508,[7],[100],24,1,tr,20,0.81,0.04,0.06,6.4,3.5,0.68,0.21,13,1.3,tr,992,1040,1870,179,2610,848,382,756,1300,1470,482,659,616,661,773,171,553,789,0.86,1.73,0.63,0.34,0.67,0.09,,0.28,,,,,,0.01,0.01,0.03,0.02,0.36,0.03,0.15,,tr,,0.01,,0.01,,,,,tr,0.01,,,,,,0.10,,,,0.01,,,,,,,,,,0.19,,,,,,,,0.01,,,,,tr,,,0.01,,,tr,tr,,,,,,0.07,,,,,0.01,,,,,,,,,,0.04,,,,,0.02,,,,,,,,tr,,,,0.10,,,,0.04,,0.06,0.06,,tr,,,,0.08,,0.23,0.23,,
091071,12,TLN,"Nile tilapia, wild, fillet w/ bones, steamed (Africa)",W,c,calc. from 091005,0.30,0.98,405,96,77.6,3.00,18.8,2.3,0,0,47,4.1,[1010],0.31,[2.8],232,35,70,496,[8.05],[100],25,1,tr,21,0.93,0.03,0.05,6.1,2.8,0.55,0.16,11,1.2,tr,1140,1190,2150,206,3000,975,439,869,1500,1690,554,757,708,760,888,196,636,907,0.87,2.01,0.73,0.40,0.77,0.11,,0.33,,,,,,0.01,0.01,0.04,0.02,0.42,0.03,0.18,,tr,,0.01,,0.01,,,,,tr,0.01,,,,,,0.12,,,,0.01,,,,,,,,,,0.22,,,,,,,,0.02,,,,,tr,,,0.01,,,tr,tr,,,,,,0.08,,,,,0.01,,,,,,,,,,0.05,,,,,0.02,,,,,,,,tr,,,,0.12,,,,0.05,,0.06,0.06,,tr,,,,0.09,,0.27,0.27,,
091132,12,TLN,"Nile tilapia, wild, fillet w/ bones, boiled in recipe (Africa)",W,c,calc. from 091005,0.30,0.98,405,96,77.6,3.00,18.8,2.3,0,0,47,4.1,[1010],0.34,[3.4],309,41,83,584,[8.05],[110],28,1,tr,21,0.93,0.04,0.07,7.1,3.8,0.66,0.20,13,1.4,tr,1140,1190,2150,206,3000,975,439,869,1500,1690,554,757,708,760,888,196,636,907,0.87,2.01,0.73,0.40,0.77,0.11,,0.33,,,,,,0.01,0.01,0.04,0.02,0.42,0.03,0.18,,tr,,0.01,,0.01,,,,,tr,0.01,,,,,,0.12,,,,0.01,,,,,,,,,,0.22,,,,,,,,0.02,,,,,tr,,,0.01,,,tr,tr,,,,,,0.08,,,,,0.01,,,,,,,,,,0.05,,,,,0.02,,,,,,,,tr,,,,0.12,,,,0.05,,0.06,0.06,,tr,,,,0.09,,0.27,0.27,,
