Food Item ID,ISSCAAP,3-Alpha,Food name in English,Habitat,State of food,RefID,EDIBLE,EDIBLE,ENERC(kJ),ENERC(kcal),WATER(g),NT(g),PROTCNT(g),FAT(g),CHOAVLDF(g),FIBTG(g),CHOLE(mg),ASH(g),CA(mg),CU(mg),FE(mg),K(mg),MG(mg),NA(mg),P(mg),ZN(mg),ID(mcg),SE(mcg),RETOL(mcg),CARTB(mcg),CHOCAL(mcg),TOCPHA(mg),THIA(mg),RIBF(mg),NIAEQ(mg),NIA(mg),PANTAC(mg),VITB6C(mg),FOL(mcg),VITB12(mcg),VITC(mg),ALA(mg),ARG(mg),ASP(mg),CYS(mg),GLU(mg),GLY(mg),HIS(mg),ILE(mg),LEU(mg),LYS(mg),MET(mg),PHE(mg),PRO(mg),SER(mg),THR(mg),TRP(mg),TYR(mg),VAL(mg),XFA,FACID(g),FASAT(g),FAMS(g),FAPU(g),FAUN(g),FATRN(g),FAPUN3(g),FAPUN6(g),F4D0(g),F6D0(g),F8D0(g),F10D0(g),F12D0(g),F13D0(g),F14D0(g),F15D0(g),F16D0(g),F17D0(g),F18D0(g),F19D0(g),F20D0(g),F21D0(g),F22D0(g),F23D0(g),F24D0(g),F26D0(g),F30D0(g),F10D1(g),F14D1N7(g),F14D1(g),F15D1(g),F16D1N9(g),F16D1N7(g),F16D1N5(g),F16D1C(g),F16D1T(g),F16D1(g),F17D1N9(g),F17D1N7(g),F17D1C(g),F17D1(g),F18D1N11(g),F18D1CN9(g),F18D1TN9(g),F18D1N9(g),F18D1CN7(g),F18D1N7(g),F18D1N5(g),F18D1C(g),F18D1T(g),F18D1(g),F19D1(g),F20D1CN11(g),F20D1N11(g),F20D1CN9(g),F20D1N9(g),F20D1N7(g),F20D1C(g),F20D1(g),F22D1N11(g),F22D1N9(g),F22D1C(g),F22D1T(g),F22D1(g),F24D1N9(g),F24D1C(g),F24D1(g),F16D2N6(g),F16D2N4(g),F16D2(g),F17D2(g),F18D2CN6(g),F18D2N6(g),F18D2CLA(g),F18D2C(g),F18D2T(g),F18D2(g),F20D2N9(g),F20D2CN6(g),F20D2N6(g),F20D2C(g),F20D2(g),F22D2N6(g),F22D2(g),F16D3N3(g),F16D3(g),F18D3CN6(g),F18D3N6(g),F18D3N4(g),F18D3CN3(g),F18D3N3(g),F18D3(g),F20D3N9(g),F20D3CN6(g),F20D3N6(g),F20D3N3(g),F20D3(g),F22D3N6(g),F22D3(g),F16D4N3(g),F16D4C(g),F16D4(g),F18D4CN3(g),F18D4N3(g),F18D4(g),F20D4CN6(g),F20D4N6(g),F20D4N3(g),F20D4(g),F22D4CN6(g),F22D4N6(g),F22D4N3(g),F22D4(g),F20D5CN3(g),F20D5N3(g),F20D5(g),F21D5N3,F21D5(g),F22D5N6(g),F22D5CN3(g),F22D5N3(g),F22D5(g),F22D6CN3(g),F22D6N3(g),F22D6(g),F24D6N3(g),F24D6(g)
091033,23,SAL,"Atlantic salmon, wild, fillet w/o skin, raw (Northeast Atlantic)",W,r,"fi074, fi105, fi443, DTU-30, UK7-16-360, 091026, 091032",0.65,1,804,193,68.6,3.24,20.2,12.4,0,0,60,1.2,18,0.07,0.7,356,27,53,225,0.5,21,30,18,tr,14,1.2,0.21,0.1,11.4,7.9,1.3,0.82,13,6.4,1,1240,1740,1960,173,2730,961,499,981,1590,1830,618,823,713,832,879,210,716,1130,0.92,11.5,2.84,4.18,3.99,0.45,,3.06,0.30,0,0,0,0,0,,0.48,0.04,1.88,0.03,0.39,,0.02,,0.01,,0,,,,,0.03,,,,,,,0.58,,,,,,,,,,,,,,2.45,,,,,,,,0.61,,,,,0.39,,,0.12,,,,,,0.30,,,,0.30,,,,,0.08,,,,,,,,,,0.29,,,,,0.05,,,,,0.04,,0.12,0.12,,,,0.14,,,,0.02,,0.64,0.64,,,,,0.40,0.40,,1.90,1.90,,
091099,23,SAL,"Atlantic salmon, wild, fillet w/o skin, boiled_ (Northeast Atlantic)",W,c,calc. from 091033,0.65,1,915,219,63.6,3.90,24.4,13.5,0,0,73,1.4,21,0.08,0.6,322,27,54,230,0.60,23,32,15,tr,12,1.0,0.19,0.08,11,6.7,1.1,0.69,11,6.1,1.0,1500,2090,2360,209,3290,1160,601,1180,1920,2210,744,992,859,1000,1060,253,863,1360,0.92,12.5,3.09,4.56,4.35,0.49,,3.34,0.33,0,0,0,0,0,,0.53,0.04,2.05,0.04,0.42,,0.02,,0.01,,0,,,,,0.03,,,,,,,0.64,,,,,,,,,,,,,,2.67,,,,,,,,0.67,,,,,0.42,,,0.13,,,,,,0.33,,,,0.33,,,,,0.09,,,,,,,,,,0.31,,,,,0.05,,,,,0.05,,0.14,0.14,,,,0.16,,,,0.02,,0.69,0.69,,,,,0.43,0.43,,2.07,2.07,,
091160,23,SAL,"Atlantic salmon, wild, fillet w/o skin, boiled in recipe (Northeast Atlantic)",W,c,calc. from 091033,0.65,1,968,232,62.2,3.90,24.4,15.0,0,0,73,1.4,21,0.08,0.8,429,32,63,271,0.60,25,36,20,tr,16,1.5,0.22,0.12,13,9.0,1.3,0.84,13,6.9,1.0,1500,2090,2360,209,3290,1160,601,1180,1920,2210,744,992,859,1000,1060,253,863,1360,0.92,13.8,3.42,5.05,4.81,0.54,,3.70,0.37,0,0,0,0,0,,0.58,0.04,2.27,0.04,0.47,,0.02,,0.01,,0,,,,,0.03,,,,,,,0.71,,,,,,,,,,,,,,2.96,,,,,,,,0.74,,,,,0.47,,,0.14,,,,,,0.37,,,,0.37,,,,,0.10,,,,,,,,,,0.35,,,,,0.06,,,,,0.05,,0.15,0.15,,,,0.17,,,,0.02,,0.77,0.77,,,,,0.48,0.48,,2.30,2.30,,
091221,23,SAL,"Atlantic salmon, wild, fillet w/o skin, grilled_ (Northeast Atlantic)",W,c,calc. from 091033,0.65,1,893,214,64.6,3.76,23.5,13.3,0,0,70,1.4,20,0.08,0.6,352,28,52,235,0.58,24,34,17,tr,13,1.1,0.21,0.10,12,8.3,1.3,0.86,13,6.6,0.9,1450,2020,2280,201,3170,1120,580,1140,1850,2130,718,957,829,968,1020,245,832,1320,0.92,12.3,3.04,4.48,4.27,0.48,,3.28,0.33,0,0,0,0,0,,0.52,0.04,2.01,0.04,0.42,,0.02,,0.01,,0,,,,,0.03,,,,,,,0.63,,,,,,,,,,,,,,2.63,,,,,,,,0.66,,,,,0.42,,,0.13,,,,,,0.33,,,,0.33,,,,,0.09,,,,,,,,,,0.31,,,,,0.05,,,,,0.05,,0.13,0.13,,,,0.15,,,,0.02,,0.68,0.68,,,,,0.43,0.43,,2.04,2.04,,
091034,23,SAL,"Atlantic salmon, wild, fillet w/o skin, raw (Northwest Atlantic)",W,r,"fi444, SR27-15076, 091026, 091032",0.65,1,584,139,68.5,3.17,19.8,6.7,0,0,55,1.6,12,0.16,0.8,490,29,44,200,0.64,12,27,12,tr,14,1.2,0.23,0.38,11.3,7.9,1.7,0.82,13,3.2,tr,1220,1700,1920,170,2680,943,489,962,1560,1800,606,807,699,816,862,206,702,1110,0.91,6.08,1.06,2.28,2.75,0,,1.86,,,,,,,,0.15,,0.68,,0.23,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,1.46,,,,,,,,0.24,,,,,0.30,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,0.09,,,,0.29,,,,,,0.35,0.35,,,,,0.31,0.31,,1.21,1.21,,
091100,23,SAL,"Atlantic salmon, wild, fillet w/o skin, boiled_ (Northwest Atlantic)",W,c,calc. from 091034,0.65,1,651,155,63.5,3.82,23.9,6.6,0,0,66,2.0,14,0.17,0.8,443,30,45,205,0.77,13,29,10,tr,12,1.0,0.20,0.32,11,6.6,1.4,0.69,11,3.1,tr,1470,2050,2310,205,3220,1140,589,1160,1890,2170,730,973,843,983,1040,249,846,1340,0.91,6.02,1.05,2.25,2.72,0,,1.84,,,,,,,,0.15,,0.68,,0.23,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,1.45,,,,,,,,0.24,,,,,0.30,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,0.09,,,,0.29,,,,,,0.34,0.34,,,,,0.31,0.31,,1.19,1.19,,
091161,23,SAL,"Atlantic salmon, wild, fillet w/o skin, boiled in recipe (Northwest Atlantic)",W,c,calc. from 091034,0.65,1,704,168,62.0,3.82,23.9,8.0,0,0,66,2.0,14,0.19,1.0,590,35,53,241,0.77,14,33,13,tr,16,1.5,0.23,0.46,13,9.0,1.7,0.84,13,3.4,tr,1470,2050,2310,205,3220,1140,589,1160,1890,2170,730,973,843,983,1040,249,846,1340,0.92,7.35,1.28,2.75,3.32,0,,2.25,,,,,,,,0.18,,0.83,,0.28,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,1.77,,,,,,,,0.29,,,,,0.36,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,0.11,,,,0.35,,,,,,0.42,0.42,,,,,0.38,0.38,,1.46,1.46,,
091222,23,SAL,"Atlantic salmon, wild, fillet w/o skin, grilled_ (Northwest Atlantic)",W,c,calc. from 091034,0.65,1,637,152,64.5,3.69,23.1,6.6,0,0,64,1.9,14,0.18,0.8,484,30,43,209,0.74,14,31,11,tr,13,1.1,0.22,0.40,12,8.2,1.7,0.86,13,3.3,tr,1420,1980,2230,198,3110,1100,569,1120,1820,2090,704,939,813,949,1000,240,816,1290,0.91,6.03,1.05,2.26,2.72,0,,1.85,,,,,,,,0.15,,0.68,,0.23,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,1.45,,,,,,,,0.24,,,,,0.30,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,0.09,,,,0.29,,,,,,0.34,0.34,,,,,0.31,0.31,,1.20,1.20,,
091062,23,SAL,"Atlantic salmon, smoked (n.s.)",,p,"fi045, fi105, fi115, fi243, fi269, fi446, fi451, fi453, fi454, fi455, fi457, DTU-1552/1553/998, SWD-1288/1269",0.75,,794,190,62.4,3.55,22.2,11.0,0.6,0,65,3.8,13,0.04,0.4,398,30,1141,276,0.43,12,21,11,tr,8,2.0,0.32,0.13,12.3,8.7,1.1,0.62,15,5.7,4.6,1240,1810,2060,195,2700,1030,604,1100,1630,1920,888,888,746,852,959,217,746,1310,0.92,10.1,2.46,4.09,3.55,0,,2.21,,0,0,0,0,tr,tr,0.40,0.02,1.43,0.09,0.49,,0.02,,0.01,,tr,,,,,0.04,,,,,,,0.60,,,,,,,,,,,,,,2.42,,,,,,,,0.53,,,,,0.45,,,0.06,,,,,,,,,,0.54,,,,,0.08,,,,,,,,,,0.28,,,,,0.02,,,,,,,,0.19,,,,0.21,,,,0.02,,0.70,0.70,,,,,0.29,0.29,,1.22,1.22,,
091063,23,SAL,"Atlantic salmon, fillet w/o skin, cold-smoked",,p,"fi269, fi453, fi454, fi455, SWD-1269, DTU-1552/998, 091062",0.75,1,773,185,62.6,3.50,21.9,10.8,0.1,0,64,4.6,10,0.03,0.3,403,30,1279,260,0.42,13,21,11,tr,6,2.0,0.31,0.12,12.2,8.6,0.98,0.73,15,5.2,5.8,1220,1780,2030,192,2660,1010,595,1080,1610,1890,875,875,735,840,945,213,735,1290,0.92,9.94,2.21,4.22,3.52,0,,2.34,,0,0,0,0,tr,,0.43,0.03,1.35,0.09,0.29,,0.01,,tr,,tr,,,,,0.04,,,,,,,0.60,,,,,,,,,,,,,,2.44,,,,,,,,0.60,,,,,0.48,,,0.06,,,,,,,,,,0.52,,,,,0.08,,,,,,,,,,0.24,,,,,0.02,,,,,,,,0.16,,,,0.15,,,,0.01,,0.71,0.71,,,,,0.27,0.27,,1.36,1.36,,
091064,23,SAL,"Atlantic salmon, fillet w/o skin, hot-smoked",,p,"fi269, DTU-1553, SWD-1288, 091062",0.75,1,853,204,61.3,3.77,23.6,11.9,0.8,0,70,2.5,11,0.05,0.4,405,30,581,269,0.46,10,24,12,tr,8,3.8,0.41,0.14,12.6,8.8,1.2,0.51,14,6.5,4.6,1320,1920,2190,207,2870,1090,641,1170,1740,2040,943,943,792,905,1020,230,792,1400,0.92,10.9,2.45,4.83,3.59,0.07,,2.15,,0,0,0,0,tr,tr,0.45,0.01,1.51,0.10,0.34,,0.02,,0.01,,tr,,,,,0.04,,,,,,,0.75,,,,,,,,,,,,,,3.14,,,,,,,,0.43,,,,,0.41,,,0.06,,,,,,,,,,0.71,,,,,0.09,,,,,,,,,,0.26,,,,,0.03,,,,,,,,0.16,,,,0.17,,,,0.02,,0.73,0.73,,,,,0.33,0.33,,1.08,1.08,,
091065,23,SAL,"Atlantic salmon, wild, fillet w/o skin, cold-smoked (NE Atlantic)",W,p,"fi454, fi455, fi105, SWD-1269, DTU-998, 091062, 091063",0.75,1,654,156,62.4,3.52,22.0,7.3,0.6,0,73,6.2,15,0.03,0.5,348,30,1535,260,0.42,30,21,15,tr,13,1.2,0.31,0.14,13.6,10,0.71,0.73,15,6.6,5.6,1230,1790,2040,193,2670,1020,598,1090,1620,1900,880,880,739,844,950,215,739,1300,0.91,6.64,1.41,2.96,2.27,0,,1.87,,0,0,0,0,0,,0.26,0.04,0.93,,0.18,,0,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,1.60,,,,,,,,0.41,,,,,0.51,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,0.06,,,,,,0.51,0.51,,,,,0.16,0.16,,1.20,1.20,,
091066,23,SAL,"Atlantic salmon, farmed, fillet w/o skin, cold-smoked",F,p,"fi453, fi454, fi455, fi269, DTU-1552, 091062, 091063",0.75,1,854,205,63.3,3.49,21.8,13.0,0.1,0,45,4.0,8,0.03,0.2,426,30,1177,260,0.42,9.2,21,6,tr,6,2.3,0.35,0.10,11.5,7.9,1.1,0.73,15,3.9,4.7,1220,1780,2030,192,2650,1010,594,1080,1610,1890,873,873,733,838,943,213,733,1290,0.92,12.0,2.62,4.80,3.94,0.64,,2.38,0.91,,,0,0,tr,,0.57,0.02,1.54,0.11,0.35,,0.02,,0.01,,tr,,,,,0.04,,,,,,,0.63,,,,,,,,,,,,,,2.93,,,,,,,,0.71,,,,,0.40,,,0.08,,,,,,0.91,,,,0.91,,,,,0.09,,,,,,,,,,0.30,,,,,0.03,,,,,,,0.19,0.19,,,,0.22,,,,0.01,,0.78,0.78,,,,,0.35,0.35,,1.07,1.07,,
091035,23,TRR,"Rainbow trout, fillet, raw (n.s.) ",,r,"fi018, fi055, fi074, fi099, fi105, fi119, fi120, fi122, fi141, fi154, fi180, fi195, fi244, fi269, fi361, fi438, fi440, fi441, SR27-15240/15115, DK7-0886, NIFES-Rainbow trout - farmed (Onocorhynchus mykiss), CAN-3205/3186, CH02-121130, NZ13-K50, USY-2565, fi472",0.62,1,565,135,73.0,3.08,19.2,6.4,0,0,66,1.3,29,0.08,0.7,440,31,60,230,0.96,12,17,18,tr,11,1.8,0.14,0.11,9.6,6.2,1.3,0.37,9,4.0,2.4,1000,951,1650,216,2350,803,669,666,1250,1290,479,719,624,681,694,205,599,715,0.91,5.87,1.50,2.24,2.13,0,,,,0,0,tr,0,0.01,,0.28,0.02,0.96,0.02,0.18,,0.01,,0.01,,tr,,,,,0.02,0.01,,,,,,0.37,,,,0.02,,,,,,,,,,1.05,,,,,,,,0.34,,,,,0.38,,,0.04,,,0.03,,,,,,,0.32,,,,,0.05,,,,0.02,,,,,,0.11,,,,,0.03,,,,,0.02,,,0.11,,,,0.10,,,,0.04,,,0.32,,,,,,0.11,,,0.89,,
091101,23,TRR,"Rainbow trout, fillet, boiled_ (n.s.) ",,c,calc. from 091035,0.62,1,599,143,70.8,3.42,21.3,6.4,0,0,73,1.4,32,0.08,0.6,367,29,56,217,1.07,12,17,14,tr,9,1.4,0.12,0.08,8.6,4.8,1.0,0.29,7,3.6,2.1,1120,1060,1840,240,2610,892,743,740,1390,1440,532,799,693,756,771,228,666,795,0.91,5.82,1.49,2.22,2.11,0,,,,0,0,tr,0,0.01,,0.27,0.02,0.96,0.02,0.18,,0.01,,0.01,,tr,,,,,0.02,0.01,,,,,,0.37,,,,0.02,,,,,,,,,,1.04,,,,,,,,0.34,,,,,0.38,,,0.04,,,0.03,,,,,,,0.32,,,,,0.05,,,,0.02,,,,,,0.11,,,,,0.03,,,,,0.02,,,0.10,,,,0.09,,,,0.04,,,0.32,,,,,,0.11,,,0.88,,
091162,23,TRR,"Rainbow trout, fillet, boiled in recipe (n.s.) ",,c,calc. from 091035,0.62,1,628,150,70.0,3.42,21.3,7.2,0,0,73,1.4,32,0.09,0.8,489,34,66,255,1.07,14,19,18,tr,11,2.0,0.13,0.12,10,6.5,1.3,0.35,9,4.0,2.2,1120,1060,1840,240,2610,892,743,740,1390,1440,532,799,693,756,771,228,666,795,0.91,6.54,1.67,2.49,2.38,0,,,,0,0,tr,0,0.01,,0.31,0.02,1.07,0.02,0.21,,0.01,,0.01,,tr,,,,,0.02,0.01,,,,,,0.42,,,,0.02,,,,,,,,,,1.17,,,,,,,,0.38,,,,,0.43,,,0.05,,,0.03,,,,,,,0.36,,,,,0.05,,,,0.02,,,,,,0.12,,,,,0.03,,,,,0.03,,,0.12,,,,0.11,,,,0.04,,,0.36,,,,,,0.13,,,0.99,,
091223,23,TRR,"Rainbow trout, fillet, grilled_ (n.s.) ",,c,calc. from 091035,0.62,1,652,155,67.4,3.94,24.6,6.3,0,0,85,1.6,37,0.10,0.8,480,35,65,265,1.24,16,22,19,tr,12,1.9,0.15,0.13,11,7.1,1.5,0.43,10,4.6,2.4,1290,1220,2120,277,3020,1030,858,854,1600,1660,614,922,800,873,890,263,768,917,0.91,5.73,1.47,2.18,2.08,0,,,,0,0,tr,0,0.01,,0.27,0.02,0.94,0.02,0.18,,0.01,,0.01,,tr,,,,,0.02,0.01,,,,,,0.37,,,,0.02,,,,,,,,,,1.03,,,,,,,,0.33,,,,,0.38,,,0.04,,,0.03,,,,,,,0.32,,,,,0.04,,,,0.02,,,,,,0.11,,,,,0.03,,,,,0.02,,,0.10,,,,0.09,,,,0.04,,,0.31,,,,,,0.11,,,0.87,,
091036,23,TRR,"Rainbow trout, farmed, fillet, raw (n.s.)",F,r,"fi018, fi055, fi074, fi105, fi119, fi120, fi122, fi154, fi180, fi244, fi361, fi269, fi438, fi440, fi441, NIFES-Rainbow trout - farmed (Onocorhynchus mykiss), SR27-1524, CAN-3186, UK7-16-395, 091035",0.62,1,576,138,72.8,3.06,19.1,6.8,0,0,60,1.2,16,0.04,0.4,390,26,59,211,0.43,12,17,18,tr,8,1.9,0.16,0.11,10.3,6.51,1.5,0.37,9,3.8,2.9,1090,962,1730,215,2390,907,720,714,1360,1580,425,697,708,711,791,224,574,800,0.91,6.19,1.54,2.40,2.25,0,,,,0,0,tr,0,0.01,,0.31,0.02,0.98,0.02,0.18,,0.01,,0.01,,tr,,,,,0.02,0.01,,,,,,0.40,,,,0,,,,,,,,,,1.11,,,,,,,,0.38,,,,,0.44,,,0.04,,,0.03,,,,,,,0.34,,,,,0.05,,,,0.02,,,,,,0.11,,,,,0.03,,,,,0.02,,,0.11,,,,0.09,,,,0.04,,,0.34,,,,,,0.11,,,0.95,,
091102,23,TRR,"Rainbow trout, farmed, fillet, boiled_ (n.s.)",F,c,calc. from 091036,0.62,1,612,146,70.6,3.40,21.3,6.8,0,0,67,1.4,18,0.04,0.3,325,25,55,199,0.48,12,17,14,tr,6,1.5,0.13,0.08,9.2,5.1,1.2,0.29,7,3.4,2.6,1210,1070,1920,239,2660,1010,800,793,1520,1760,472,775,787,790,879,249,637,889,0.91,6.17,1.54,2.40,2.24,0,,,,0,0,tr,0,0.01,,0.31,0.02,0.98,0.02,0.17,,0.01,,0.01,,tr,,,,,0.02,0.01,,,,,,0.40,,,,0,,,,,,,,,,1.11,,,,,,,,0.38,,,,,0.44,,,0.04,,,0.03,,,,,,,0.34,,,,,0.05,,,,0.02,,,,,,0.11,,,,,0.03,,,,,0.02,,,0.11,,,,0.09,,,,0.04,,,0.33,,,,,,0.11,,,0.94,,
091163,23,TRR,"Rainbow trout, farmed, fillet, boiled in recipe (n.s.)",F,c,calc. from 091036,0.62,1,640,153,69.8,3.40,21.3,7.5,0,0,67,1.4,18,0.05,0.4,433,29,65,235,0.48,14,19,18,tr,8,2.1,0.15,0.12,11,6.9,1.4,0.35,8,3.8,2.7,1210,1070,1920,239,2660,1010,800,793,1520,1760,472,775,787,790,879,249,637,889,0.91,6.89,1.72,2.68,2.50,0,,,,0,0,tr,0,0.01,,0.35,0.03,1.09,0.02,0.19,,0.02,,0.01,,tr,,,,,0.03,0.01,,,,,,0.44,,,,0,,,,,,,,,,1.24,,,,,,,,0.43,,,,,0.49,,,0.05,,,0.03,,,,,,,0.38,,,,,0.05,,,,0.02,,,,,,0.13,,,,,0.03,,,,,0.03,,,0.13,,,,0.10,,,,0.04,,,0.37,,,,,,0.13,,,1.06,,
091224,23,TRR,"Rainbow trout, farmed, fillet, grilled_ (n.s.)",F,c,calc. from 091036,0.62,1,666,159,67.2,3.92,24.5,6.7,0,0,77,1.6,21,0.05,0.4,425,30,64,244,0.55,16,22,19,tr,8,1.9,0.17,0.12,12,7.5,1.7,0.43,10,4.4,3.0,1400,1230,2220,275,3070,1160,923,915,1750,2030,545,894,908,912,1010,288,735,1030,0.91,6.13,1.53,2.38,2.22,0,,,,0,0,tr,0,0.01,,0.31,0.02,0.97,0.02,0.17,,0.01,,0.01,,tr,,,,,0.02,0.01,,,,,,0.39,,,,0,,,,,,,,,,1.10,,,,,,,,0.38,,,,,0.43,,,0.04,,,0.03,,,,,,,0.34,,,,,0.05,,,,0.02,,,,,,0.11,,,,,0.03,,,,,0.02,,,0.11,,,,0.09,,,,0.04,,,0.33,,,,,,0.11,,,0.94,,
091037,23,TRR,"Rainbow trout, farmed, fillet w/o skin, raw (Germany)",F,r,"fi105, fi154, 091035, 091036",0.62,1,471,112,76.6,3.12,19.5,3.8,0,0,60,1.3,16,0.04,0.4,390,26,59,211,0.43,12,17,18,tr,8,1.9,0.16,0.11,10.3,6.5,1.5,0.37,9,3.8,2.9,1110,982,1760,219,2440,925,735,728,1390,1620,434,712,722,726,807,229,585,817,0.90,3.38,0.84,1.31,1.22,0,,,,0,0,tr,0,tr,,0.17,0.01,0.54,0.01,0.10,,0.01,,tr,,tr,,,,,0.01,tr,,,,,,0.22,,,,0,,,,,,,,,,0.61,,,,,,,,0.21,,,,,0.24,,,0.02,,,0.02,,,,,,,0.19,,,,,0.03,,,,0.01,,,,,,0.06,,,,,0.02,,,,,0.01,,,0.06,,,,0.05,,,,0.02,,,0.18,,,,,,0.06,,,0.52,,
091103,23,TRR,"Rainbow trout, farmed, fillet w/o skin, boiled_ (Germany)",F,c,calc. from 091037,0.62,1,524,124,74,3.47,21.7,4.2,0,0,67,1.4,18,0.04,0.3,325,25,55,199,0.48,12,17,18,tr,8,2.1,0.13,0.08,9.3,5.1,1.2,0.29,7,3.4,2.6,1240,1090,1960,244,2710,1030,817,809,1550,1800,482,791,803,807,897,255,650,907,0.90,3.77,0.94,1.46,1.37,0,,,,0,0,tr,0,tr,,0.19,0.01,0.60,0.01,0.11,,0.01,,tr,,tr,,,,,0.01,tr,,,,,,0.24,,,,0,,,,,,,,,,0.68,,,,,,,,0.23,,,,,0.27,,,0.03,,,0.02,,,,,,,0.21,,,,,0.03,,,,0.01,,,,,,0.07,,,,,0.02,,,,,0.01,,,0.07,,,,0.05,,,,0.02,,,0.20,,,,,,0.07,,,0.58,,
091164,23,TRR,"Rainbow trout, farmed, fillet w/o skin, boiled in recipe (Germany)",F,c,calc. from 091037,0.62,1,524,124,74,3.47,21.7,4.2,0,0,67,1.4,18,0.05,0.4,433,29,65,235,0.48,14,19,18,tr,8,2.1,0.15,0.12,11,6.9,1.4,0.35,8,3.8,2.7,1240,1090,1960,244,2710,1030,817,809,1550,1800,482,791,803,807,897,255,650,907,0.90,3.77,0.94,1.46,1.37,0,,,,0,0,tr,0,tr,,0.19,0.01,0.60,0.01,0.11,,0.01,,tr,,tr,,,,,0.01,tr,,,,,,0.24,,,,0,,,,,,,,,,0.68,,,,,,,,0.23,,,,,0.27,,,0.03,,,0.02,,,,,,,0.21,,,,,0.03,,,,0.01,,,,,,0.07,,,,,0.02,,,,,0.01,,,0.07,,,,0.05,,,,0.02,,,0.20,,,,,,0.07,,,0.58,,
091225,23,TRR,"Rainbow trout, farmed, fillet w/o skin, grilled_ (Germany)",F,c,calc. from 091037,0.62,1,604,144,70,4.00,25.0,4.8,0,0,77,1.6,21,0.05,0.4,425,30,64,244,0.55,16,22,21,tr,10,2.4,0.16,0.12,12,7.1,1.7,0.43,9,4.4,3.0,1430,1260,2260,281,3130,1190,942,934,1780,2070,556,912,926,931,1040,294,750,1050,0.90,4.37,1.09,1.70,1.58,0,,,,0,0,tr,0,tr,,0.22,0.02,0.69,0.01,0.12,,0.01,,tr,,tr,,,,,0.02,tr,,,,,,0.28,,,,0,,,,,,,,,,0.79,,,,,,,,0.27,,,,,0.31,,,0.03,,,0.02,,,,,,,0.24,,,,,0.03,,,,0.01,,,,,,0.08,,,,,0.02,,,,,0.02,,,0.08,,,,0.06,,,,0.03,,,0.24,,,,,,0.08,,,0.67,,
091038,23,TRR,"Rainbow trout, farmed, fillet w/ skin, raw (Denmark)",F,r,"fi438, fi440, f441, DK7-0886, 091035, 091036",0.62,0.95,589,141,73.2,3.01,18.8,7.3,0,0,57,1.3,16,0.04,0.4,390,26,59,211,0.43,13,17,19,tr,15,1.9,0.16,0.11,10.2,6.5,1.5,0.37,9,3.9,2.9,1070,946,1700,211,2350,892,708,702,1340,1560,418,686,696,699,777,221,564,787,0.91,6.66,1.62,2.64,2.13,0.27,,,,,,,,,,0.36,,1.07,,0.17,,0.01,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,1.10,,,,,,,,0.49,,,,,0.55,,,0.05,,,,,,,,,,0.30,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,0.15,,,,,,,,,,,0.36,,,,,,0.10,,,1.11,,
091104,23,TRR,"Rainbow trout, farmed, fillet w/ skin, boiled_ (Denmark)",F,c,calc. from 091038,0.62,0.95,626,149,71.0,3.34,20.9,7.3,0,0,63,1.4,18,0.04,0.3,325,25,55,199,0.48,13,17,15,tr,11,1.5,0.13,0.08,9.2,5.1,1.2,0.29,7,3.4,2.6,1190,1050,1890,235,2610,991,787,780,1490,1730,464,762,773,777,864,245,627,874,0.91,6.69,1.63,2.65,2.14,0.27,,,,,,,,,,0.36,,1.08,,0.17,,0.01,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,1.10,,,,,,,,0.49,,,,,0.55,,,0.05,,,,,,,,,,0.30,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,0.15,,,,,,,,,,,0.37,,,,,,0.10,,,1.12,,
091165,23,TRR,"Rainbow trout, farmed, fillet w/ skin, boiled in recipe (Denmark)",F,c,calc. from 091038,0.62,0.95,655,156,70.2,3.34,20.9,8.1,0,0,63,1.4,18,0.05,0.4,433,29,65,235,0.48,14,19,19,tr,15,2.1,0.15,0.12,11,6.9,1.4,0.35,8,3.9,2.7,1190,1050,1890,235,2610,991,787,780,1490,1730,464,762,773,777,864,245,627,874,0.92,7.41,1.80,2.94,2.38,0.30,,,,,,,,,,0.40,,1.19,,0.19,,0.01,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,1.22,,,,,,,,0.54,,,,,0.61,,,0.06,,,,,,,,,,0.33,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,0.16,,,,,,,,,,,0.40,,,,,,0.11,,,1.24,,
