Order,Family,Species,Occurrence,FishBase name,Name
Beloniformes,Belonidae,Ablennes hians,native ,Flat needlefish ,Flat needle fish 
Perciformes,Pomacentridae,Abudefduf saxatilis,native ,Sergeant-major ,
Perciformes,Pomacentridae,Abudefduf taurus,native ,Night sergeant ,
Ophidiiformes,Ophidiidae,Abyssobrotula galatheae,native ,,
Perciformes,Centrarchidae,Acantharchus pomotis,endemic ,Mud sunfish ,
Perciformes,Chaenopsidae,Acanthemblemaria aspera,native ,Roughhead blenny ,
Perciformes,Chaenopsidae,Acanthemblemaria chaplini,native ,Papillose blenny ,
Perciformes,Chaenopsidae,Acanthemblemaria spinosa,native ,Spinyhead blenny ,Spinyhead blenny 
Stephanoberyciformes,Stephanoberycidae,Acanthochaenus luetkenii,native ,Pricklefish ,
Perciformes,Scombridae,Acanthocybium solandri,native ,Wahoo ,
Perciformes,Gobiidae,Acanthogobius flavimanus,introduced ,Yellowfin goby ,
Scorpaeniformes,Liparidae,Acantholiparis caecus,native ,,
Scorpaeniformes,Liparidae,Acantholiparis opercularis,native ,Spiny snailfish ,
Tetraodontiformes,Ostraciidae,Acanthostracion polygonius,native ,Honeycomb cowfish ,Cowfish 
Tetraodontiformes,Ostraciidae,Acanthostracion quadricornis,native ,Scrawled cowfish ,
Perciformes,Acanthuridae,Acanthurus bahianus,native ,Ocean surgeon ,
Perciformes,Acanthuridae,Acanthurus chirurgus,native ,Doctorfish ,
Perciformes,Acanthuridae,Acanthurus coeruleus,native ,Blue tang surgeonfish ,
Perciformes,Acanthuridae,Acanthurus guttatus,introduced ,Whitespotted surgeonfish ,Mustard surgeonfish 
Perciformes,Acanthuridae,Acanthurus randalli,native ,Gulf surgeonfish ,
Pleuronectiformes,Achiridae,Achirus lineatus,native ,Lined sole ,
Acipenseriformes,Acipenseridae,Acipenser brevirostrum,native ,Shortnose sturgeon ,Pinkster 
Acipenseriformes,Acipenseridae,Acipenser fulvescens,native ,Lake sturgeon ,
Acipenseriformes,Acipenseridae,Acipenser medirostris,native ,Green sturgeon ,
Acipenseriformes,Acipenseridae,Acipenser oxyrinchus,native ,Atlantic sturgeon ,
Acipenseriformes,Acipenseridae,Acipenser transmontanus,native ,White sturgeon ,
Cypriniformes,Cyprinidae,Acrocheilus alutaceus,native ,Chiselmouth ,
Anguilliformes,Congridae,Acromycter atlanticus,native ,,
Gobiesociformes,Gobiesocidae,Acyrtops beryllinus,native ,Emerald clingfish ,
Cyprinodontiformes,Fundulidae,Adinia xenica,native ,Diamond killifish ,
Myliobatiformes,Myliobatidae,Aetobatus narinari,native ,Spotted eagle ray ,Spotted duckbill ray 
Scorpaeniformes,Agonidae,Agonomalus mozinoi,native ,Kelp poacher ,
Scorpaeniformes,Agonidae,Agonopsis sterletus,native ,Southern spearnose poacher ,
Scorpaeniformes,Agonidae,Agonopsis vulsa,native ,Northern spearnose poacher ,
Mugiliformes,Mugilidae,Agonostomus monticola,native ,Mountain mullet ,
Cypriniformes,Cyprinidae,Agosia chrysogaster,native ,Longfin dace ,
Anguilliformes,Ophichthidae,Ahlia egmontis,native ,Key worm eel ,
Aulopiformes,Notosudidae,Ahliesaurus berryi,native ,,
Gadiformes,Macrouridae,Albatrossia pectoralis,native ,Giant grenadier ,Giant rattail 
Albuliformes,Albulidae,Albula gilberti,native ,Cortez bonefish ,Cortez bonefish 
Albuliformes,Albulidae,Albula vulpes,native ,Bonefish ,
Notacanthiformes,Halosauridae,Aldrovandia affinis,native ,Gilbert's halosaurid fish ,
Notacanthiformes,Halosauridae,Aldrovandia gracilis,native ,,
Notacanthiformes,Halosauridae,Aldrovandia oleosa,native ,,
Notacanthiformes,Halosauridae,Aldrovandia phalacra,native ,Hawaiian halosaurid fish ,
Perciformes,Carangidae,Alectis ciliaris,native ,African pompano ,Cobblerfish 
Perciformes,Stichaeidae,Alectrias alectrolophus,native ,Stone cockscomb ,
Aulopiformes,Alepisauridae,Alepisaurus brevirostris,native ,Short snouted lancetfish ,
Aulopiformes,Alepisauridae,Alepisaurus ferox,native ,Long snouted lancetfish ,
Osmeriformes,Alepocephalidae,Alepocephalus agassizii,native ,Agassiz' slickhead ,
Osmeriformes,Alepocephalidae,Alepocephalus australis,native ,Small scaled brown slickhead ,
Osmeriformes,Alepocephalidae,Alepocephalus bairdii,native ,Baird's slickhead ,
Osmeriformes,Alepocephalidae,Alepocephalus productus,native ,Smalleye smooth-head ,
Osmeriformes,Alepocephalidae,Alepocephalus tenebrosus,native ,California slickhead ,California slickhead 
Perciformes,Labrisomidae,Alloclinus holderi,native ,Island kelpfish ,
Zeiformes,Oreosomatidae,Allocyttus folletti,native ,Oxeye oreo ,Oxeye oreo 
Osmeriformes,Osmeridae,Allosmerus elongatus,native ,Whitebait smelt ,
Perciformes,Scombridae,Allothunnus fallai,native ,Slender tuna ,
Lamniformes,Alopiidae,Alopias pelagicus,native ,Pelagic thresher ,Pelagic thresher shark 
Lamniformes,Alopiidae,Alopias superciliosus,native ,Bigeye thresher ,Bigeye thresher shark 
Lamniformes,Alopiidae,Alopias vulpinus,native ,Thresher ,Common thresher 
Clupeiformes,Clupeidae,Alosa aestivalis,native ,Blueback shad ,Herring 
Clupeiformes,Clupeidae,Alosa alabamae,native ,Alabama shad ,Gulf shad 
Clupeiformes,Clupeidae,Alosa chrysochloris,native ,Skipjack shad ,Blue herring 
Clupeiformes,Clupeidae,Alosa mediocris,native ,Hickory shad ,Bonejack 
Clupeiformes,Clupeidae,Alosa pseudoharengus,native ,Alewife ,Bigeye herring 
Clupeiformes,Clupeidae,Alosa sapidissima,native ,American shad ,Atlantic shad 
Perciformes,Serranidae,Alphestes afer,native ,Mutton hamlet ,
Tetraodontiformes,Monacanthidae,Aluterus heudelotii,native ,Dotterel filefish ,
Tetraodontiformes,Monacanthidae,Aluterus monoceros,native ,Unicorn leatherjacket filefish ,Filefish 
Tetraodontiformes,Monacanthidae,Aluterus schoepfii,native ,Orange filefish ,Filefish 
Tetraodontiformes,Monacanthidae,Aluterus scriptus,native ,Scribbled leatherjacket filefish ,loulu 
Perciformes,Cichlidae,Amatitlania nigrofasciata,introduced ,Convict cichlid ,White convict cichlid 
Perciformes,Centrarchidae,Ambloplites ariommus,endemic ,Shadow bass ,
Perciformes,Centrarchidae,Ambloplites cavifrons,endemic ,Roanoke bass ,Bass 
Perciformes,Centrarchidae,Ambloplites constellatus,endemic ,Ozark bass ,Bass 
Perciformes,Centrarchidae,Ambloplites rupestris,native ,Rock bass ,
Perciformes,Cirrhitidae,Amblycirrhitus pinos,native ,Redspotted hawkfish ,
Percopsiformes,Amblyopsidae,Amblyopsis hoosieri,native ,,Hoosier cavefish 
Percopsiformes,Amblyopsidae,Amblyopsis rosae,endemic ,Ozark cavefish ,
Percopsiformes,Amblyopsidae,Amblyopsis spelaea,endemic ,Northern cavefish ,
Rajiformes,Rajidae,Amblyraja jenseni,native ,Shorttail skate ,
Rajiformes,Rajidae,Amblyraja radiata,native ,Starry ray ,
Siluriformes,Ictaluridae,Ameiurus brunneus,endemic ,Snail bullhead ,
Siluriformes,Ictaluridae,Ameiurus catus,native ,White catfish ,Catfish 
Siluriformes,Ictaluridae,Ameiurus melas,native ,Black bullhead ,Bullhead 
Siluriformes,Ictaluridae,Ameiurus natalis,native ,Yellow bullhead ,Bullhead 
Siluriformes,Ictaluridae,Ameiurus nebulosus,native ,Brown bullhead ,
Siluriformes,Ictaluridae,Ameiurus platycephalus,endemic ,Flat bullhead ,Bullhead 
Siluriformes,Ictaluridae,Ameiurus serracanthus,endemic ,Spotted bullhead ,
Amiiformes,Amiidae,Amia calva,native ,Bowfin ,Choupique 
Perciformes,Percidae,Ammocrypta beanii,endemic ,Naked sand darter ,
Perciformes,Percidae,Ammocrypta bifascia,endemic ,Florida sand darter ,
Perciformes,Percidae,Ammocrypta clara,endemic ,Western sand darter ,
Perciformes,Percidae,Ammocrypta meridiana,endemic ,Southern sand darter ,
Perciformes,Percidae,Ammocrypta pellucida,native ,Eastern sand darter ,
Perciformes,Percidae,Ammocrypta vivax,endemic ,Scaly sand darter ,
Perciformes,Ammodytidae,Ammodytes americanus,native ,American sand lance ,Sand lance 
Perciformes,Ammodytidae,Ammodytes dubius,native ,Northern sand lance ,Sand lance 
Perciformes,Ammodytidae,Ammodytes hexapterus,native ,Pacific sand lance ,Sand lance 
Perciformes,Ammodytidae,Ammodytes personatus,native ,Pacific sandlance ,
Syngnathiformes,Syngnathidae,Amphelikturus dendriticus,native ,Pipehorse ,
Perciformes,Cichlidae,Amphilophus citrinellus,introduced ,Midas cichlid ,Red devil cichlid 
Perciformes,Embiotocidae,Amphistichus argenteus,native ,Barred surfperch ,
Perciformes,Embiotocidae,Amphistichus koelzi,native ,Calico surfperch ,
Perciformes,Embiotocidae,Amphistichus rhodoterus,native ,Redtail surfperch ,
Cyprinodontiformes,Rivulidae,Anablepsoides hartii,introduced ,Hart's rivulus ,
Anguilliformes,Muraenidae,Anarchias similis,native ,Pygmy moray ,
Syngnathiformes,Syngnathidae,Anarchopterus criniger,native ,Fringed pipefish ,
Syngnathiformes,Syngnathidae,Anarchopterus tectus,native ,Insular pipefish ,
Perciformes,Anarhichadidae,Anarhichas lupus,native ,Atlantic wolffish ,Ocean whitefish 
Perciformes,Anarhichadidae,Anarhichas minor,native ,Spotted wolffish ,
Perciformes,Anarhichadidae,Anarrhichthys ocellatus,native ,Wolf-eel ,
Clupeiformes,Engraulidae,Anchoa cayorum,native ,Key anchovy ,Anchovy 
Clupeiformes,Engraulidae,Anchoa compressa,native ,Deep body anchovy ,Anchovy 
