species	code	area	site	part	MERCURY	LEAD	 CADMIUM	ARSENIC	selenium	silver	chromium	copper	zinc	nickel	molyb	vanadium	mang	antimony	tin
ANCHOA HEPSETUS	1006	AREA- GULF	SITE- 04	"H&G, TAILLESS"	0.091	0.891	0.143	0.848	0.436	0.112	0.213	0.359	13.09	0.469	0.179	0.356	1.327	0.854	0.894
ANCHOA HEPSETUS	1006	AREA- GULF	SITE- 05	"H&G, TAILLESS"	0.082	0.786	0.139	1.313	0.578	0.103	0.28	0.436	13.11	0.443	0.202	0.442	1.398	1.195	0.91
ANCHOA HEPSETUS	1006	AREA- CALIFORNIA	SITE- F4	WHOLE	0.08	1.603	0.164	3.255	0.531	0.131	0.447	1.066	23.15	0.927	0.332	0.709	4.872	2.269	1.955
ANCHOA HEPSETUS	1006	AREA- CALIFORNIA	SITE- FS 	WHOLE	0.025	1.233	0.357	5.641	0.469	0.111	0.341	1.193	21.76	0.779	0.271	0.371	1.645	1.728	1.155
ANCHOA HEPSETUS	1006	AREA- CALIFORNIA	SITE- 18	WHOLE	0.02	2.253	0.428	2.848	0.688	0.245	0.407	1.399	27.38	0.768	1.267	1.05	1.912	2.556	2.198
ANCHOA HEPSETUS	1006	AREA- CALIFORNIA	SITE- K3	WHOLE	0.048	1.438	0.31	2.629	0.671	0.158	0.352	0.944	23.68	0.466	0.252	0.863	1.198	1.922	2.615
Argentina silus	2002	AREA- NORTH ATLANTIC	SITE- S4 	"HCG, TAILLESS "	0.055	0.51	0.098	2.49	0.438	0.06	0.205	0.473	7.15	0.28	0.11	0.392	0.36	1.025	1.155
SPHYRAENA ARGENTEA 	5001	area-california	site-k3	muscle	0.172	0.638	0.11	2.53	0.415	0.034	0.381	0.423	6.35	0.202	0.293	0.06	0.156	0.912	0.869
SPHYRAENA BARRACUDA 	5002	area-gulf	site-l5	muscle	2.168	0.297	0.064	3.047	0.692	0.021	0.219	0.482	4.82	0.266	0	0	0.115	0.09	0.566
CENTROPRISTIS  striata	6006	area-north atlantic	site-n3	muscle	0.05	0.31	0.07	3	0.35	0.01	0.13	0.07	3.56	0.15	0	0	0.08	0	0.41
CENTROPRISTIS  striata	6006	area-north atlantic	site-r6	muscle	0.138	0.5	0.076	3.855	0.539	0.05	0.241	0.212	3.88	0.275	0.13	0.273	0.354	0	0.521
CENTROPRISTIS  striata	6006	area-north atlantic	site-s4	muscle	0	0.38	0.04	7.5	0.65	0.03	0.06	0.63	4.75	0.26	0.19	0	0.48	0.69	0.63
CENTROPRISTIS  striata	6006	area-south atlantic	site-b5	muscle	0.113	0.729	0.088	12.402	0.725	0.058	0.213	0.218	4.52	0.34	0.258	0.403	0.21	1.262	0.59
CENTROPRISTIS  striata	6006	area-south atlantic	site-b5	liver	0.29	1	0.7	6.77	1.93	0.06	0.23	3.31	35.69	0.22	0.81	1.88	1.07	1.69	1.12
CENTROPRISTIS  striata	6006	area-south atlantic	site-c2	muscle	0.193	0.379	0.059	11.681	0.568	0.04	0.166	0.145	3.97	0.269	0.23	0.288	0.139	0.592	0.441
CENTROPRISTIS  striata	6006	area-south atlantic	site-c2	liver	0.47	1.81	1.79	12.8	1.7	0.06	0.19	5.31	22.94	0.32	19	0.31	1.16	0.63	0.82
CENTROPRISTIS  striata	6006	area-south atlantic	site-j1	muscle	0.094	0.404	0.08	9.216	0.484	0.034	0.184	0.133	3.76	0.21	0.195	0.227	0.124	0.728	0.545
DIPLECTRUM FORMOSUM	6010	area-south atlantic	site-j4	muscle	0.62	0.1	0.04	2.125	0.51	0.13	0.09	0.19	6.4	0	0	0	0.125	0.15	0.4
Epinephelus drummondhayi	6013	area-south atlantic	site-c2	muscle	0.179	0.453	0.069	2.798	0.907	0.032	0.163	0.34	5.31	0.169	0.06	0.31	0.071	0.63	0.492
Epinephelus drummondhayi	6013	area-south atlantic	site-c2	liver	0.941	0.308	0.612	4.997	4.864	0.036	0.121	7.034	25.4	0.185	0.246	0.22	0.468	0.514	0.337
Epinephelus itajara	6016	area-gulf	site-b8	muscle	0.165	0.471	0	5.48	0.69	0.07	0.227	0.09	3.93	0.16	0	0	0.055	0.96	0.418
Epinephelus itajara	6016	area-gulf	site-l9	muscle	0.298	0.407	0.056	2.504	0.352	0.028	0.114	0.225	6.14	0.151	0.33	0.213	0.101	0.819	0.493
Epinephelus morio	6017	area-gulf	site-l5	muscle	0.57	0.344	0.058	2.463	0.78	0.033	0.16	0.187	4.03	0.178	0.13	0	0.062	0.512	0.535
Epinephelus morio	6017	area-gulf	site-l8	muscle	0.453	0.308	0.056	2.405	0.666	0.028	0.196	0.211	5.03	0.181	0	0.44	0.07	0.521	0.491
Epinephelus morio	6017	area-gulf	site-l9	muscle	0.262	0.354	0.062	2.203	0.755	0.029	0.26	0.205	3.83	0.223	0.368	0.172	0.082	0.651	0.495
Mycteroperca bonaci	6037	area-gulf	site-i9	muscle	1.014	0.348	0.05	3.286	1.197	0.034	0.118	0.169	3.67	0.185	0.184	0.582	0.075	0.692	0.525
Mycteroperca bonaci	6037	area-gulf	site-l5	muscle	0.748	0.303	0.064	2.533	0.626	0.029	0.24	0.244	4.5	0.208	0	0	0.069	0.619	0.482
Mycteroperca bonaci	6037	area-gulf	site-r3	muscle	0.487	0.7	0.076	4.822	1.037	0.038	0.205	0.17	5.27	0.263	0.265	0.253	0.082	0.598	0.57
Mycteroperca interstitialis	6038	area-south atlantic	site-b6	muscle	0.228	0.583	0.074	7.498	0.761	0.044	0.18	0.144	3.66	0.174	0.2	0.367	0.072	0.962	0.573
Mycteroperca interstitialis	6038	area-south atlantic	site-b6	liver	2.52	0.04	2.24	1.72	1.015	0.05	0.05	9.08	41.9	0.22	0.9	0.65	1.22	1	0
Mycteroperca microlepsis	6040	area-gulf	site-l5	muscle	0.683	0.272	0.066	3.323	1.042	0.031	0.244	0.183	3.84	0.178	0	0	0.064	0.453	0.505
Mycteroperca microlepsis	6040	area-gulf	site-l9	muscle	0.429	0.319	0.051	4.547	0.664	0.033	0.16	0.176	4.2	0.158	0.204	0.309	0.075	0.639	0.475
Mycteroperca phenax	6041	area-south atlantic	site-b5	muscle	0.347	0.336	0.051	3.267	0.662	0.028	0.146	0.196	3.23	0.179	0.133	0.5	0.076	0.552	0.483
Mycteroperca phenax	6041	area-south atlantic	site-b5	liver	3.7	0.63	1.69	4.25	3.3	0.13	0.19	18.13	59.38	0.21	0	1.81	1.25	1.3	0.22
Morone americana	7001	area-north atlantic	site-m8	h-g-tailless	0.055	1.584	0.119	2.143	1.166	0.158	0.459	1.224	14.66	0.479	0.4	0.963	2.927	2.067	1.883
