ntbl.non.match,slb.name
Anadara granosa,Tegillarca granosa
Bivalvia,
Chamelea gallina,
Chionoecetes spp,Chionoecetes opilio
Cipangopaludina chinensis,Cipangopaludina japonica
Eriocheir sinensis,
Euphausia spp,
Gastropoda,
Loligo pealeii,Doryteuthis pealeii
Loligo plei,Doryteuthis pleii
Macrobrachium spp.,
Moroteuthis ingens,
Mytilus spp,
Palaemonidae,
Panaeus brasiliensis,Farfantepenaeus brasiliensis
Penaeus indicus,Fenneropenaeus indicus
Penaeus kerathurus,Melicertus kerathurus
Penaeus notialis,Farfantepenaeus notialis
Penaeus schmitti,Litopenaeus schmitti
Procambarus clarkii,
Rapana spp,
Saxidomus gigantea,Saxidomus gigantea 
Sepia officinalis,
Strombus gracilior,
Tellina palatam,Quidnipagus palatam
Trachypenaeus curvirostris,Trachysalambria curvirostris
Velesunio ambiguus,
