EEZ_Name,Taxonkey,Taxon_name,Common_name
Sardinia (Italy),690123,Ostrea edulis,European flat oyster
Sardinia (Italy),690196,Ruditapes philippinarum,Japanese carpet shell
Sardinia (Italy),690241,Mytilus galloprovincialis,Mediterranean mussel
Sardinia (Italy),690283,Crassostrea gigas,Pacific cupped oyster
Russia (Far East),690241,Mytilus galloprovincialis,Mediterranean mussel
Russia (Black Sea),690241,Mytilus galloprovincialis,Mediterranean mussel
Russia (Barents Sea),690445,Pecten yessoensis,Yesso scallop
Puerto Rico (USA),690232,Crassostrea rhizophorae,Mangrove cupped oyster
Portugal,48550,Ensis ensis,
Portugal,690123,Ostrea edulis,European flat oyster
Portugal,690166,Ruditapes decussatus,Grooved carpet shell
Portugal,690283,Crassostrea gigas,Pacific cupped oyster
Portugal,690306,Crassostrea angulata,Portuguese cupped oyster
Portugal,690309,Tapes pullastra,Pullet carpet shell
Portugal,690605,Cerastoderma edule,Cerastoderma edule
Portugal,690687,Scrobicularia plana,Peppery furrow
Portugal,690689,Bolinus brandaris,Purple dye murex
Philippines,690060,Perna viridis,Brown mussel
Philippines,690364,Crassostrea iredalei,Slipper cupped oyster
Peru,690283,Crassostrea gigas,Pacific cupped oyster
Peru,690302,Haliotis midae,Perlemoen abalone
Peru,690303,Argopecten purpuratus,Peruvian calico scallop
Papua New Guinea,690363,Pinctada maxima,Silver-lip pearl oyster
Norway,690053,Mytilus edulis,Blue mussel
Norway,690123,Ostrea edulis,European flat oyster
Norway,690156,Pecten maximus,Great Atlantic scallop
Norway,690283,Crassostrea gigas,Pacific cupped oyster
New Zealand,690258,Perna canaliculus,New Zealand mussel
New Zealand,690283,Crassostrea gigas,Pacific cupped oyster
New Caledonia (France),690283,Crassostrea gigas,Pacific cupped oyster
Netherlands,690053,Mytilus edulis,Blue mussel
Netherlands,690123,Ostrea edulis,European flat oyster
Netherlands,690283,Crassostrea gigas,Pacific cupped oyster
Namibia,690053,Mytilus edulis,Blue mussel
Namibia,690123,Ostrea edulis,European flat oyster
Namibia,690241,Mytilus galloprovincialis,Mediterranean mussel
Namibia,690283,Crassostrea gigas,Pacific cupped oyster
Namibia,690302,Haliotis midae,Perlemoen abalone
Myanmar,690363,Pinctada maxima,Silver-lip pearl oyster
