Species,Common name,Area,n,mean_min_length_mm,max_length_mm,Mean_hg_ppm,med_min_mg_ppm,max_gh_ppm
Makaira nigricans,Blue marlin,KY,8,"2,254 2,080","2,565",3.08,2.75 0.98,6.8
Tetrapturus albidus,White marlin,IR,1,"1,831** 1,831","1,831",0.27,0.27 0.27,0.27
Tetrapturus albidus,White marlin,KY,1,"1,545** 1,545","1,545",0.31,0.31 0.31,0.31
Paralichthys dentatus,Summer flounder,JX,3,170 153,182,0.04,0.04 0.04,0.04
Paralichthys albigutta,Gulf flounder,AP,5,272 220,341,0.13,0.10 0.07,0.29
Paralichthys albigutta,Gulf flounder,CH,70,295 116,456,0.31,0.28 0.06,1.1
Paralichthys albigutta,Gulf flounder,CK,1,260 260,260,0.1,0.10 0.10,0.1
Paralichthys albigutta,Gulf flounder,FW,18,290 204,448,0.2,0.20 0.08,0.35
Paralichthys albigutta,Gulf flounder,IR,8,302 176,412,0.38,0.41 0.10,0.58
Paralichthys albigutta,Gulf flounder,JX,1,145 145,145,0.02,0.02 0.02,0.02
Paralichthys albigutta,Gulf flounder,KY,5,281 235,336,0.08,0.09 0.05,0.11
Paralichthys albigutta,Gulf flounder,TB,65,275 172,412,0.2,0.16 0.01,0.6
Paralichthys albigutta,Gulf flounder,TQ,2,485 471,500,0.39,0.39 0.32,0.46
Paralichthys albigutta,Gulf flounder,VC,15,220 115,340,0.14,0.11 0.04,0.35
Paralichthys albigutta,Southern flounder,AP,6,338 275,410,0.16,0.12 0.07,0.3
Paralichthys albigutta,Southern flounder,FW,3,347 275,423,0.17,0.19 0.13,0.2
Paralichthys albigutta,Southern flounder,IR,23,340 162,576,0.18,0.13 0.07,0.5
Paralichthys albigutta,Southern flounder,JX,18,273 137,395,0.08,0.07 0.04,0.25
Paralichthys albigutta,Southern flounder,VC,17,245 175,320,0.11,0.10 0.06,0.21
Balistes capriscus,Gray triggerfish,VC,3,268 250,287,0.13,0.15 0.06,0.17
Mola mola,Ocean sunfish,IR,1,"1,740* 1,740","1,740",0.02,0.02 0.02,0.02
