species,taxon,max_size,max_length,TL,CA_mg,EPA_g,DHA_g,FE_mg,ZN_mg,HG_mcg,FAT,PROTCNT_g,lwA,lwB,Habitat,Subgroup,Abs_lat
Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00871,3.14,marine,Finfish,53.875369
Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,11.6,NA,NA,0.17,0.39294,NA,NA,NA,0.00871,3.14,freshwater,Finfish,54.084241
Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,53,NA,NA,0.6,1,61,NA,138,0.00871,3.14,freshwater,Finfish,41.53
Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,20.92,NA,NA,0.21,0.373252,NA,NA,NA,0.00871,3.14,freshwater,Finfish,54.00394
Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,11.46,NA,NA,0.18,0.372708,NA,NA,NA,0.00871,3.14,freshwater,Finfish,54.117096
Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,12.11,NA,NA,0.19,0.36618,NA,NA,NA,0.00871,3.14,freshwater,Finfish,54.117096
Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,52,NA,NA,0.7,0.9,25,NA,180,0.00871,3.14,freshwater,Finfish,41.53
Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,NA,0.09322,0.12087,NA,NA,NA,1,NA,0.00871,3.14,freshwater,Finfish,41.53
Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00871,3.14,marine,Finfish,61.92411
Ageneiosus inermis,Miscellaneous freshwater fishes,2.45121049059286,59,4,NA,0.001647504,0.021005676,NA,NA,NA,0.36,92,0.0055,3.19,freshwater,Finfish,19.427757
Albatrossia pectoralis,"Cods, hakes, haddocks",35.9594366751993,210,4.3,NA,0.018676001,0.033661436,NA,NA,NA,NA,NA,0.00102,3.25,marine,Finfish,57.79
Alectis alexandrina,Miscellaneous pelagic fishes,NA,70,3.6,NA,0.071736104,0.10450176,NA,NA,NA,1.32,NA,NA,NA,marine,Finfish,37.370157
Alepocephalus bairdii,Miscellaneous demersal fishes,6.76265706879437,100,3.7,NA,NA,NA,NA,NA,NA,NA,3,0.00513,3.06,marine,Finfish,57.596278
Alepocephalus australis,Miscellaneous demersal fishes,4.63956715804349,79,3.4,NA,NA,NA,NA,NA,NA,NA,5,0.00724,3.06,marine,Finfish,71.706936
Alosa alosa,Shads,2.78599417907132,68,3.62,NA,0.670366968,1.859680295,NA,NA,NA,15.91,249,0.0096,2.980999947,marine,Finfish,42.163403
Alosa sapidissima,Shads,1.30797837810506,62,3.19,14.4,NA,NA,0.94,0.3792,55,NA,NA,0.0065,2.959000111,freshwater,Finfish,45.993164
Aluterus monoceros,Miscellaneous coastal fishes,NA,76.2,3.5,NA,0.3231,1.09136,NA,NA,NA,3.59,NA,NA,NA,marine,Finfish,23.372169
Parambassis wolffii,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333
Parambassis wolffii,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333
Parambassis wolffii,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333
Parambassis wolffii,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333
Parambassis wolffii,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333
Parambassis wolffii,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333
Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333
Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333
Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333
Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333
Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333
Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333
Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333
Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333
Anabas testudineus,Miscellaneous freshwater fishes,0.304860446034431,25,2.7,NA,NA,NA,NA,NA,NA,NA,NA,0.02692,2.9,freshwater,Finfish,22.816667
Anabas testudineus,Miscellaneous freshwater fishes,0.304860446034431,25,2.7,NA,0.011866184,0.096490812,NA,NA,NA,0.99,NA,0.02692,2.9,freshwater,Finfish,15.116386
Anabas testudineus,Miscellaneous freshwater fishes,0.304860446034431,25,2.7,NA,0.008665437,0.073461047,NA,NA,NA,0.99,NA,0.02692,2.9,freshwater,Finfish,15.190255
Anabas testudineus,Miscellaneous freshwater fishes,0.304860446034431,25,2.7,NA,0.004215618,0.039345768,NA,NA,NA,0.99,NA,0.02692,2.9,freshwater,Finfish,14.761942
Anabas testudineus,Miscellaneous freshwater fishes,0.304860446034431,25,2.7,NA,NA,NA,NA,NA,NA,NA,NA,0.02692,2.9,freshwater,Finfish,24.4333
Anarhichas lupus,Miscellaneous demersal fishes,35.2649545901455,150,3.2,NA,0.169891253,0.179600693,NA,NA,NA,2.175,NA,0.00347,3.22,marine,Finfish,63.968654
Anarhichas lupus,Miscellaneous demersal fishes,35.2649545901455,150,3.2,NA,0.181546446,0.10213356,NA,NA,NA,1.3,NA,0.00347,3.22,marine,Finfish,63.968654
Anarhichas lupus,Miscellaneous demersal fishes,35.2649545901455,150,3.2,NA,0.131686107,0.163997287,NA,NA,NA,1.5,NA,0.00347,3.22,marine,Finfish,63.968654
Anarhichas lupus,Miscellaneous demersal fishes,35.2649545901455,150,3.2,6.8,NA,NA,0.15,0.78,26,NA,48,0.00347,3.22,marine,Finfish,63.968654
Anchoa hepsetus,"Herrings, sardines, anchovies",0.0292866361782307,12,3.33,NA,NA,NA,NA,NA,NA,NA,33,0.002,3.859999895,marine,Finfish,19.173773
Anguilla anguilla,River eels,0.228682834415693,50,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0.00087,3.19,freshwater,Finfish,39.019184
