Food.Item.ID,species,taxon,max_size,max_length,TL,CA_mg,EPA_g,DHA_g,FE_mg,ZN_mg,HG_mcg,FAT,PROTEIN,lwA,lwB,Habitat,Subgroup,Abs_lat,Latitude,max_length_study
900159,Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,53,NA,NA,0.6,1,6,1.4,19,0.00871,3.14,freshwater,Finfish,41.53,41.53,30
900158,Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,52,NA,NA,0.7,0.9,14,0.7,20,0.00871,3.14,freshwater,Finfish,41.53,41.53,36
900684,Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,NA,NA,NA,NA,NA,NA,6.4,NA,0.00871,3.14,marine,Finfish,53.875369,53.875369,NA
900123,Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,11.6,NA,NA,0.17,0.39294,NA,NA,NA,0.00871,3.14,freshwater,Finfish,54.084241,54.084241,33.2
900122,Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,20.92,NA,NA,0.21,0.373252,NA,NA,NA,0.00871,3.14,freshwater,Finfish,54.00394,54.00394,31.6
900124,Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,11.46,NA,NA,0.18,0.372708,NA,NA,NA,0.00871,3.14,freshwater,Finfish,54.117096,54.117096,38
900125,Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,12.11,NA,NA,0.19,0.36618,NA,NA,NA,0.00871,3.14,freshwater,Finfish,54.117096,54.117096,50.5
900225,Abramis brama,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,NA,0.09322,0.12087,NA,NA,NA,1,NA,0.00871,3.14,freshwater,Finfish,41.53,41.53,NA
902192,Abramis spp,"Carps, barbels and other cyprinids",8.90007469420244,82,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00871,3.14,marine,Finfish,61.92411,61.92411,NA
900073,Ageneiosus brevifilis,Miscellaneous freshwater fishes,2.45121049059286,59,4,NA,0.001647504,0.021005676,NA,NA,NA,0.36,17.77,0.0055,3.19,freshwater,Finfish,19.427757,-19.427757,39
900150,Albatrossia pectoralis,"Cods, hakes, haddocks",35.9594366751993,210,4.3,NA,0.018676001,0.033661436,NA,NA,NA,NA,NA,0.00102,3.25,marine,Finfish,57.79,57.79,NA
900328,Alectis alexandrinus,Miscellaneous pelagic fishes,NA,70,3.6,NA,0.071736104,0.10450176,NA,NA,NA,1.32,NA,NA,NA,marine,Finfish,37.370157,37.370157,NA
900082,Alepocephalus bairdii,Miscellaneous demersal fishes,6.76265706879437,100,3.7,NA,NA,NA,NA,NA,NA,NA,10.1,0.00513,3.06,marine,Finfish,57.596278,57.596278,NA
900083,Alepocephalus spp,Miscellaneous demersal fishes,4.63956715804349,79,3.4,NA,NA,NA,NA,NA,NA,NA,10.3,0.00724,3.06,marine,Finfish,71.706936,71.706936,NA
900290,Alosa alosa,Shads,2.78599417907132,68,3.62,NA,0.670366968,1.859680295,NA,NA,NA,15.91,22.42,0.0096,2.980999947,marine,Finfish,42.163403,42.163403,NA
900841,Alosa sapidissima,Shads,1.30797837810506,62,3.19,14.4,NA,NA,0.94,0.3792,5.1,NA,NA,0.0065,2.959000111,freshwater,Finfish,45.993164,45.993164,NA
900881,Aluterus monoceros,Miscellaneous coastal fishes,NA,76.2,3.5,NA,0.3231,1.09136,NA,NA,NA,3.59,NA,NA,NA,marine,Finfish,23.372169,-23.372169,NA
902227,Ambassidae,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,24.4333,NA
902228,Ambassidae,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,24.4333,NA
902229,Ambassidae,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,24.4333,NA
902230,Ambassidae,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,24.4333,NA
902231,Ambassidae,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,24.4333,NA
902232,Ambassidae,Miscellaneous coastal fishes,0.0102199229734787,8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.01955,3.01,marine,Finfish,24.4333,24.4333,NA
902265,Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,24.4333,NA
902266,Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,24.4333,NA
902267,Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,24.4333,NA
902270,Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,24.4333,NA
902278,Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,24.4333,NA
902279,Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,24.4333,NA
902268,Amblypharyngodon mola,"Carps, barbels and other cyprinids",0.108917054665815,20,2.9,NA,NA,NA,NA,NA,NA,NA,NA,0.00794,3.18,freshwater,Finfish,24.4333,24.4333,NA
