PageID,Level 1,Level 2,Common Name,Latin Name,Part,Preparation,Reference,Sample Size kCal,kCal (unit/100g),Sample Size H2O,H2O (g/100g),Sample Size Ash,Ash (g/100g),Sample Size CHO-T,CHO-T (g/100g),Sample Size Protein,Protein (g/100g),Sample Size Fat,Fat (g/100g),Sample Size PUFA,Total PUFA (g/100g),Sample Size Omega-3,Total Omega-3 (g/100g),Sample Size 18:3n3,Omega-3 18:3n3 (g/100g),Sample Size 20:3n3,Omega-3 20:3n3 (g/100g),Sample Size 20:5n3,Omega-3 20:5n3 (g/100g),Sample Size 22:3n3,Omega-3 22:3n3 (g/100g),Sample Size 22:6n3,Omega-3 22:6n3 (g/100g),Sample Size Omega-6,Total Omega-6 (g/100g),Sample Size 18:2n6,Omega-6 18:2n6 (g/100g),Sample Size 18:3n6,Omega-6 18:3n6 (g/100g),Sample Size 20:2n6,Omega-6 20:2n6 (g/100g),Sample Size 20:3n6,Omega-6 20:3n6 (g/100g),Sample Size 20:4n6,Omega-6 20:4n6 (g/100g),Sample Size 22:2n6,Omega-6 22:2n6 (g/100g),Sample Size 22:4n6,Omega-6 22:4n6 (g/100g),Sample Size MUFA,Total MUFA (g/100g),Sample Size 12:1,MUFA 12:1 (g/100g),Sample Size 14:1,MUFA 14:1 (g/100g),Sample Size 16:1,MUFA 16:1 (g/100g),Sample Size 18:1,MUFA 18:1 (g/100g),Sample Size 20:1,MUFA 20:1 (g/100g),Sample Size 22:1,MUFA 22:1 (g/100g),Sample Size 24:1,MUFA 24:1 (g/100g),Sample Size SFA,Total SFA (g/100g),Sample Size 8:0,SFA 8:0 (g/100g),Sample Size 10:0,SFA 10:0 (g/100g),Sample Size 12:0,SFA 12:0 (g/100g),Sample Size 14:0,SFA 14:0 (g/100g),Sample Size 16:0,SFA 16:0 (g/100g),Sample Size 18:0,SFA 18:0 (g/100g),Sample Size 20:0,SFA 20:0 (g/100g),Sample Size 22:0,SFA 22:0 (g/100g),Sample Size 24:0,SFA 24:0 (g/100g),Sample Size CHOL,CHOL (mg/100g),Sample Size A,A (units/100g),Sample Size D,D (units/100g),Sample Size E,Vitamin E (units/100g),Sample Size C,C (mg/100g),Sample Size THIA,THIA (mg/100g),Sample Size RIBO,RIBO (mg/100g),Sample Size NIAC,NIAC (mg/100g),Sample Size BIOT,BIOT (ug/100g),Sample Size B5/PA,B5/PA (mg/100g),Sample Size B6,B6 (mg/100g),Sample Size FOLA,FOLA (ug/100g),Sample Size B12,B12 (ug/100g),Sample Size Ca,Ca (mg/100g),Sample Size Fe,Fe (mg/100g),Sample Size Cu,Cu (mg/100g),Sample Size Zn,Zn (mg/100g),Sample Size P,P (mg/100g),Sample Size Mg,Mg (mg/100g),Sample Size Na,Na (mg/100g),Sample Size Mn,Mn (mg/100g),Sample Size K,K (mg/100g),Sample Size Se,Se (mg/100g)
6388,Fish,Freshwater Fish,Whitefish and Cisco,"Stenodus spp., Coegonus spp., Prosopium spp.",meat,raw (Alaska Native),88,,131,1,72.8,,2.2,,0,1,18.9,1,6.1,1,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.56,,,,,,,,,,,,,,,1,"1,37",,,,,,,,,,,,,,,,,,,1,55,1,540 IU,,,,,,,1,0.13,1,0.13,,,,,,,,,,,,,,,1,0.29,1,0.072,1,0.99,1,280,1,33,1,51,,,1,317,,
6446,Fish,Searun Fish,Chum Salmon,Oncorhynchus keta,not specified,raw (Alaska Native),88,,116,1,72.3,1,1.27,,0,1,20.7,1,3.67,,0.77,,,,,,,1,0.17,,,1,"0,41",,,,,,,1,0,,,,,,,,,,0.94,,,1,0,1,"0,11",1,"0,47",1,0.17,1,0.17,1,0.02,,"0,547",1,0,1,0,1,0,1,"0,14",1,"0,3",1,"0,08",1,0.007,1,0,1,0,1,59,,105 IU,,,1,0.49 mg AT,1,0,1,0.16,1,0.22,1,8.8,,,1,1,1,"0,19",1,18,1,"8,1",1,7,1,0.56,,0.137,1,0.54,1,230,1,26,1,59,,0.03,1,370,1,0.04
6446,Fish,Searun Fish,Coho Salmon,Oncorhynchus kisutch,not specified,raw (Alaska Native),88,,140,1,69.4,1,1.24,,0,1,22.6,1,5.57,,2.41,,,,0.089,,,1,0.491,,,1,"1,38",,,,"0,089",,,,,,,,"0,67",,,,,,1.79,,,1,0,1,"0,169",1,"0,629",1,0.581,1,0.363,1,0.036,,"0,904",1,0,1,0,1,0,1,"0,157",1,"0,605",1,"0,109",1,0.009,1,0,1,0,1,58,,100 IU,,,1,0.81 mg AT,1,0,1,0.15,1,0.19,1,7.9,,,1,"1,2",1,"0,22",1,13,1,"8,5",1,5,1,0.55,1,0.051,,0.41,1,240,1,28,1,58,,,1,380,1,0.028
6446,Fish,Searun Fish,Sockeye Salmon,Oncorhynchus nerka,meat,raw (Alaska Native),88,,153,1,69.6,1,1.29,,0,1,21.9,1,7.28,,1.37,,,,,,,1,0.33,,,1,"0,63",,,,,,,1,0.01,,,,,,,,,,2.2,,,1,0.01,1,"0,2",1,"0,88",1,0.61,1,0.45,1,0.04,,"1,01",1,0,1,0,1,0,1,"0,17",1,"0,67",1,"0,13",1,0.007,1,0,1,0,1,64,,193 IU,,,1,1.25 mg AT,1,0,1,0.25,1,0.3,1,8,,,1,"1,1",1,"0,28",1,11,1,"7,8",1,7,1,0.53,,0.052,1,0.52,1,240,1,27,1,60,,0.014,1,360,1,0.03
6446,Fish,Searun Fish,Chinook Salmon,Oncorhynchus tshawytscha,not specified,raw (Alaska Native),88,,187,2,66,1,1.25,,0,2,20.2,2,11.7,,1.6,,,,,,,1,0.44,,,1,"0,71",,,,,,,1,0.02,,,,,,,,,,4.09,,,1,0.01,1,"0,55",1,"2,1",1,0.76,1,0.58,1,0.07,,"1,87",1,0,1,0,1,0,1,"0,3",1,"1,23",1,"0,29",1,0.01,1,0,1,0,1,61,,453 IU,,,1,1.49,1,0,1,0.16,2,0.17,2,8.4,,,1,"0,99",1,"0,27",1,15,1,"7,4",2,42,2,0.79,,,1,0.52,2,208,1,24,1,48,,,1,370,1,0.031
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",meat,raw,88,,148,95,71.4 (SE 0.615),54,1.17 (SE 0.023),,0,58,20.8 (SE 3.875),111,6.61,,1.499,,,,,,,17,0.202,,,18,"0,528",,,,,,,,,,,,,,,,,,3.25,,,,,18,"0,701",18,"1,44",9,0.28,1,0.83,,,,"1,15",,0,,0,,0,17,"0,185",18,"0,815",17,"0,148",,,,,,,6,58,,57 IU,,155 IU,,0.20 mg AT,1,0.5,1,0.35,1,0.33,,4.5,,,1,"1,9",,"0,2",1,13,1,"7,8",15,43,3,1.5,13,0.188,18,0.66,3,245,19,22 (SE 1.296),25,52 (SE 3.843),2,0.851,20,361 (SE 11.1),,0.013
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",meat,raw,36,,103,,76.3,,1.32,,,,19.5,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,32.14 RE,,,,1670 ug,,,,0.08,,0.08,,3.4,,4.5,,"1,7",,,,"9,23",,,,11.6,,0.441,,0.153,,0.514,,245,,26.27,,62.86,,0.03,,413,,0.024
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",meat,raw,40,,136,,,,,,,,21.3,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",meat,raw,53,4,113,4,75 (SD 7.0),5,0.9 (SD 0.45),,,4,19 (SD 4.6),4,3 (SD 2.8),,,,,2,trace,2,trace,2,0.2 (SD 0.17),2,trace,2,,,,2,,2,0.1 (SD 0.13),2,trace,2,trace,2,,2,trace,2,trace,,,,,2,trace,2,,2,,2,trace,2,trace,,,,,,,2,trace,2,trace,2,,2,,2,,2,trace,2,trace,2,trace,,,,,,,,,,,,,,,,,,,,,,,,,,,11,38 (SD 71),11,0.4 (SD 0.13),11,0.03 (SD 0.021),11,0.4 (SD 0.19),6,240 (SD 68),10,26 (SD 5.8),6,50 (SD 23),10,0.01 (SD 0.005),6,273 (SD 199),10,0.03 (SD 0.018)
6151,Fish,Freshwater Fish,Trout,"Salvelinus spp., Oncorhynchus spp., Salmo salar",meat,raw,62,,148,,71.4,,,,0,,20.8,,6.6,,2.33,,,,,,,,,,,,,,,,"0,17",,,,,,,,,,,,,,2.42,,,,,,,,,,,,,,,,"1,15",,,,,,,,,,,,,,,,,,,,58,,17 RE,,,,,,,,0.03,,0.03,,4.5,,,,"1,7",,"0,2",,"8,3",,"7,8",,43,,1.5,,0.188,,0.66,,245,,22,,52,,0.851,,361,,
