Temp,dO2,treatment,T.ev,T.acc,Diff
38.28689133,-5.496768305,G2,16,16,
38.54128928,-4.791499764,G2,16,16,
38.79909055,-5.843044542,G2,16,16,
41.88060677,-6.214608098,G2,16,16,
39.32517991,-5.776353167,G2,16,16,
39.59361117,-5.626821434,G2,16,16,
39.86573221,-5.521460918,G2,16,16,
40.14161963,-5.65499231,G2,16,16,
40.42135218,-5.546778726,G2,16,16,
40.70501079,-5.914503506,G2,16,16,
38.28689133,-5.381698975,D2,28,28,
38.54128928,-4.906275279,D2,28,28,
38.79909055,-4.947660495,D2,28,28,
41.88060677,-5.381698975,D2,28,28,
39.32517991,-5.626821434,D2,28,28,
39.59361117,-5.496768305,D2,28,28,
39.86573221,-5.298317367,D2,28,28,
40.14161963,-5.278514739,D2,28,28,
40.42135218,-5.713832811,D2,28,28,
40.70501079,-6.907755279,D2,28,28,
38.28689133,-4.86653495,B2,28,16,
38.54128928,-4.947660495,B2,28,16,
38.79909055,-5.599422459,B2,28,16,
41.88060677,-6.43775165,B2,28,16,
39.32517991,-5.318520074,B2,28,16,
39.59361117,-6.074846156,B2,28,16,
39.86573221,-5.626821434,B2,28,16,
40.14161963,-6.165817934,B2,28,16,
40.42135218,-6.319968614,B2,28,16,
40.70501079,-7.13089883,B2,28,16,
38.28689133,-5.149897361,E2,16,28,
38.54128928,-4.254513314,E2,16,28,
38.79909055,-4.86653495,E2,16,28,
41.88060677,-4.815891217,E2,16,28,
39.32517991,-4.779523573,E2,16,28,
39.59361117,-4.767689115,E2,16,28,
39.86573221,-4.828313737,E2,16,28,
40.14161963,-4.853631545,E2,16,28,
40.42135218,-5.298317367,E2,16,28,
40.70501079,-5.426150738,E2,16,28,
