species_name,subgroup,RDI.CA,RDI.FE,RDI.ZN,RDI.EPA,RDI.DHA,RDI.micro.tot,ID
Cipangopaludina chinensis,mollusc,1.0,0.0,1.0,0.0,0.0,2.0,14
Dentex sp.,finfish,0.0,0.0,0.0,0.0,1.0,1.0,24
Thunnus alalunga,finfish,0.0,0.0,0.0,1.0,1.0,2.0,101
Cipangopaludina chinensis,mollusc,1.0,0.0,1.0,0.0,0.0,2.0,14
Oncorhynchus mykiss,finfish,0.0,0.0,0.0,1.0,1.0,2.0,62
Puntius sophore,finfish,1.0,1.0,1.0,1.0,1.0,5.0,81
Perna viridis,mollusc,1.0,1.0,0.0,1.0,1.0,4.0,75
Thymallus arcticus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,102
Liza parsia,finfish,0.0,0.0,0.0,1.0,0.0,1.0,44
Oncorhyncus spp,finfish,0.0,0.0,0.0,0.0,0.0,0.0,64
Cipangopaludina chinensis,mollusc,1.0,0.0,1.0,0.0,0.0,2.0,14
Botia dario,finfish,1.0,0.0,1.0,0.0,0.0,2.0,7
Lucioperca lucioperca,finfish,0.0,0.0,0.0,0.0,0.0,0.0,46
Lucioperca lucioperca,finfish,0.0,0.0,0.0,0.0,0.0,0.0,46
Pollachius virens,finfish,0.0,0.0,0.0,0.0,0.0,0.0,77
Schizothorax richardsonii,finfish,1.0,0.0,0.0,1.0,1.0,3.0,91
Gadus macrocephalus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,28
Chamelea gallina,mollusc,0.0,1.0,0.0,0.0,0.0,1.0,11
Gadus morhua,finfish,0.0,0.0,0.0,0.0,0.0,0.0,29
Pomacea canaliculata,mollusc,1.0,1.0,1.0,0.0,0.0,3.0,78
Oncorhynchus gorbuscha,finfish,0.0,0.0,0.0,0.0,1.0,1.0,61
Mytilus galloprovincialis,mollusc,0.0,0.0,0.0,0.0,0.0,0.0,56
Carcinus maenus,crustacean,0.0,0.0,1.0,1.0,1.0,3.0,9
Liza parsia,finfish,0.0,0.0,0.0,1.0,0.0,1.0,44
Coregonus lavaretus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,18
Tenualosa ilisha (juvenile),finfish,1.0,0.0,0.0,1.0,0.0,2.0,99
Mya spp,mollusc,0.0,0.0,1.0,0.0,0.0,1.0,54
Leuciscus idus,finfish,0.0,0.0,0.0,0.0,0.0,0.0,41
Lates calcarifer,finfish,0.0,1.0,1.0,1.0,1.0,4.0,38
Octopus vulgaris,mollusc,0.0,0.0,0.0,0.0,0.0,0.0,59
Mytilus galloprovincialis,mollusc,0.0,0.0,0.0,0.0,0.0,0.0,56
Pangasianodon hypophthalmus (juvenile),finfish,0.0,0.0,0.0,0.0,0.0,0.0,69
Pangasianodon hypophthalmus (juvenile),finfish,0.0,0.0,0.0,0.0,0.0,0.0,69
Salvelinus namaycush,finfish,0.0,0.0,0.0,0.0,1.0,1.0,84
Pomacea canaliculata,mollusc,1.0,1.0,1.0,0.0,0.0,3.0,78
Cyprinus carpio,finfish,0.0,0.0,0.0,0.0,1.0,1.0,23
Ctenopharyngodon idella,finfish,0.0,0.0,0.0,0.0,0.0,0.0,21
Stenodus leucichthys,finfish,0.0,0.0,0.0,0.0,0.0,0.0,97
Puntius sophore,finfish,1.0,1.0,1.0,1.0,1.0,5.0,81
Neolissochilus hexagonolepis,finfish,1.0,0.0,0.0,1.0,1.0,3.0,57
Oncorhynchus mykiss,finfish,0.0,0.0,0.0,1.0,1.0,2.0,62
Esox lucius,finfish,0.0,0.0,0.0,0.0,0.0,0.0,26
Gadus morhua,finfish,0.0,0.0,0.0,0.0,0.0,0.0,29
Tenualosa ilisha (juvenile),finfish,1.0,0.0,0.0,1.0,0.0,2.0,99
Pomacea canaliculata,mollusc,1.0,1.0,1.0,0.0,0.0,3.0,78
Crassostrea madrasensis,mollusc,0.0,0.0,0.0,1.0,1.0,2.0,19
Sperata seenghala,finfish,0.0,0.0,0.0,1.0,1.0,2.0,96
Oncorhynchus tshawytscha,finfish,0.0,0.0,0.0,1.0,1.0,2.0,63
